Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,96.396411,[95 14] ; [ 40 115],[55.73863636 53.26136364] ; [79.26136364 75.73863636],1
s8,1,0.0,45.651089,[75 34] ; [ 42 114],[48.1245283 60.8754717] ; [68.8754717 87.1245283],1
s6,1,0.0,36.981402,[89 19] ; [71 86],[65.20754717 42.79245283] ; [94.79245283 62.20754717],1
s7,1,1e-06,23.216414,[68 35] ; [52 96],[49.24302789 53.75697211] ; [70.75697211 77.24302789],1
d2,1,0.001047,10.743346,[66 43] ; [63 94],[52.86090226 56.13909774] ; [76.13909774 80.86090226],0
d4,1,0.00235,9.253965,[96 13] ; [114  43],[86.05263158 22.94736842] ; [123.94736842  33.05263158],0
p12,1,0.003439,8.558727,[16 92] ; [  7 149],[ 9.40909091 98.59090909] ; [ 13.59090909 142.40909091],0
d1,1,0.016534,5.745195,[71 38] ; [79 78],[61.46616541 47.53383459] ; [88.53383459 68.46616541],0
s4,1,0.023471,5.133288,[20 89] ; [ 14 143],[13.93233083 95.06766917] ; [ 20.06766917 136.93233083],0
a3,1,0.024211,5.079432,[84 25] ; [100  56],[75.68301887 33.31698113] ; [108.31698113  47.68301887],0
b3,1,0.03769,4.318969,[35 37] ; [34 69],[28.38857143 43.61142857] ; [40.61142857 62.38857143],0
b2,1,0.03769,4.318969,[35 37] ; [34 69],[28.38857143 43.61142857] ; [40.61142857 62.38857143],0
u1,1,0.040127,4.21252,[26 83] ; [ 22 135],[19.66917293 89.33082707] ; [ 28.33082707 128.66917293],0
n5,1,0.060222,3.531271,[89 19] ; [113  43],[82.63636364 25.36363636] ; [119.36363636  36.63636364],0
p4,1,0.063804,3.435645,[91 18] ; [116  41],[84.82330827 24.17669173] ; [122.17669173  34.82330827],0
a1,1,0.064061,3.429006,[  8 101] ; [  4 153],[  4.91729323 104.08270677] ; [  7.08270677 149.91729323],0
a5,1,0.093707,2.80951,[87 22] ; [111  46],[81.13533835 27.86466165] ; [116.86466165  40.13533835],0
a4,1,0.113655,2.502652,[54 55] ; [62 94],[47.71320755 61.28679245] ; [68.28679245 87.71320755],0
a2,1,0.119591,2.422669,[32 77] ; [ 33 124],[26.63533835 82.36466165] ; [ 38.36466165 118.63533835],0
a6,1,0.124648,2.357927,[71 38] ; [116  41],[76.62781955 32.37218045] ; [110.37218045  46.62781955],0
p8,1,0.125391,2.348651,[61 47] ; [102  53],[66.93536122 41.06463878] ; [96.06463878 58.93536122],0
u2,1,0.129288,2.301039,[16  8] ; [27 29],[12.9 11.1] ; [30.1 25.9],0
p7,1,0.146183,2.111637,[75 33] ; [120  35],[80.07604563 27.92395437] ; [114.92395437  40.07604563],0
n4,1,0.152024,2.051825,[93 16] ; [123  34],[88.5112782 20.4887218] ; [127.4887218  29.5112782],0
n1,1,0.163444,1.942069,[ 9 11] ; [ 6 18],[ 6.81818182 13.18181818] ; [ 8.18181818 15.81818182],0
u3,1,0.17358,1.851752,[17  8] ; [29 27],[14.19753086 10.80246914] ; [31.80246914 24.19753086],0
a7,1,0.190108,1.716781,[77 31] ; [123  34],[81.50943396 26.49056604] ; [118.49056604  38.50943396],0
v3,1,0.31326,1.016883,[47 54] ; [61 91],[43.11462451 57.88537549] ; [64.88537549 87.11462451],0
v1,1,0.331023,0.944892,[54 48] ; [91 63],[57.7734375 44.2265625] ; [87.2265625 66.7734375],0
p6,1,0.341035,0.906538,[47 61] ; [58 96],[43.28244275 64.71755725] ; [61.71755725 92.28244275],0
s1,1,0.378132,0.776767,[  4 105] ; [  3 154],[  2.86842105 106.13157895] ; [  4.13157895 152.86842105],0
d5,1,0.386852,0.748815,[92 17] ; [126  31],[89.33082707 19.66917293] ; [128.66917293  28.33082707],0
b1,1,0.392225,0.732032,[53 56] ; [68 89],[49.58270677 59.41729323] ; [71.41729323 85.58270677],0
r1,1,0.457518,0.551959,[88 21] ; [120  36],[85.55471698 23.44528302] ; [122.44528302  33.55471698],0
b5,1,0.459024,0.548274,[61 48] ; [95 62],[63.92481203 45.07518797] ; [92.07518797 64.92481203],0
v2,1,0.495935,0.463624,[56 46] ; [90 62],[58.62992126 43.37007874] ; [87.37007874 64.62992126],0
n6,1,0.51989,0.414111,[94 15] ; [130  26],[92.13584906 16.86415094] ; [131.86415094  24.13584906],0
p1,1,0.566734,0.328179,[12 96] ; [ 14 142],[10.63636364 97.36363636] ; [ 15.36363636 140.63636364],0
d3,1,0.589903,0.290495,[68 41] ; [103  54],[70.07142857 38.92857143] ; [100.92857143  56.07142857],0
n3,1,0.617401,0.249537,[17  3] ; [19  5],[16.36363636  3.63636364] ; [19.63636364  4.36363636],0
b4,1,0.625421,0.238322,[63 46] ; [86 71],[61.05639098 47.94360902] ; [87.94360902 69.05639098],0
v4,1,0.644631,0.212737,[102   7] ; [149   8],[102.85338346   6.14661654] ; [148.14661654   8.85338346],0
p9,1,0.685871,0.163592,[92 16] ; [130  26],[90.81818182 17.18181818] ; [131.18181818  24.81818182],0
p10,1,0.718031,0.130387,[89 19] ; [125  30],[87.878327 20.121673] ; [126.121673  28.878327],0
a8,1,0.75643,0.096206,[13 91] ; [ 15 119],[12.23529412 91.76470588] ; [ 15.76470588 118.23529412],0
r3,1,0.770478,0.085118,[103   6] ; [147  10],[102.44360902   6.55639098] ; [147.55639098   9.44360902],0
p11,1,0.775983,0.080973,[89 20] ; [126  31],[88.10150376 20.89849624] ; [126.89849624  30.10150376],0
r2,1,0.821742,0.050762,[101   7] ; [146   9],[101.42965779   6.57034221] ; [145.57034221   9.42965779],0
n2,1,0.865339,0.028758,[12  8] ; [15  9],[12.27272727  7.72727273] ; [14.72727273  9.27272727],0
p2,1,0.871233,0.026274,[92 16] ; [134  22],[92.45454545 15.54545455] ; [133.54545455  22.45454545],0
p5,1,0.905333,0.014144,[10 97] ; [ 14 143],[ 9.72727273 97.27272727] ; [ 14.27272727 142.72727273],0
r4,1,0.978951,0.000696,[98 11] ; [141  16],[97.93609023 11.06390977] ; [141.06390977  15.93609023],0
