Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.1e-05,16.409266,[ 5 32] ; [10  4],[10.88235294 26.11764706] ; [4.11764706 9.88235294],1
s7,1,0.00035,12.784091,[ 6 27] ; [9 3],[11. 22.] ; [4. 8.],1
s6,1,0.009408,6.743603,[14 23] ; [11  3],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
n4,1,0.010496,6.548686,[17 20] ; [12  2],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
p9,1,0.017024,5.693879,[20 16] ; [12  1],[23.51020408 12.48979592] ; [8.48979592 4.51020408],0
s3,1,0.033958,4.496799,[ 8 28] ; [7 6],[11.02040816 24.97959184] ; [3.97959184 9.02040816],0
p2,1,0.053463,3.729379,[21 16] ; [12  2],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
p8,1,0.070763,3.265228,[11 26] ; [8 6],[13.78431373 23.21568627] ; [5.21568627 8.78431373],0
b1,1,0.090277,2.86943,[23 14] ; [5 9],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
r1,1,0.106745,2.601769,[12 25] ; [8 6],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
r4,1,0.129388,2.299832,[ 8 29] ; [6 8],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
n6,1,0.132205,2.266419,[20 16] ; [11  3],[22.32 13.68] ; [8.68 5.32],0
u3,1,0.140711,2.170163,[4 9] ; [4 2],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
p4,1,0.144561,2.12872,[18 19] ; [10  4],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
a4,1,0.144758,2.126641,[13 24] ; [ 2 12],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
r3,1,0.144758,2.126641,[24 13] ; [12  2],[26.11764706 10.88235294] ; [9.88235294 4.11764706],0
p11,1,0.202463,1.624517,[22 15] ; [11  3],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
s5,1,0.206994,1.59233,[ 7 30] ; [5 9],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
u2,1,0.215508,1.534035,[7 6] ; [5 1],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
s2,1,0.282209,1.156422,[11 26] ; [6 7],[12.58 24.42] ; [4.42 8.58],0
v1,1,0.338205,0.917225,[16 21] ; [ 4 10],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
b4,1,0.338205,0.917225,[21 16] ; [10  4],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
p6,1,0.344704,0.892857,[ 6 30] ; [ 4 10],[ 7.2 28.8] ; [ 2.8 11.2],0
a6,1,0.374813,0.787645,[21 16] ; [6 8],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
b2,1,0.407016,0.6875,[ 7 17] ; [4 5],[ 8. 16.] ; [3. 6.],0
b3,1,0.407016,0.6875,[ 7 17] ; [4 5],[ 8. 16.] ; [3. 6.],0
n5,1,0.407431,0.686284,[19 18] ; [9 5],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
d2,1,0.486919,0.483327,[12 25] ; [6 8],[13.05882353 23.94117647] ; [4.94117647 9.05882353],0
p12,1,0.507924,0.438341,[ 3 34] ; [ 2 12],[ 3.62745098 33.37254902] ; [ 1.37254902 12.62745098],0
a8,1,0.514034,0.425846,[ 3 31] ; [ 2 11],[ 3.61702128 30.38297872] ; [ 1.38297872 11.61702128],0
n1,1,0.539222,0.376984,[ 2 10] ; [2 5],[2.52631579 9.47368421] ; [1.47368421 5.52631579],0
a3,1,0.610743,0.259094,[24 13] ; [8 6],[23.21568627 13.78431373] ; [8.78431373 5.21568627],0
d1,1,0.625872,0.2377,[16 21] ; [5 9],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
a7,1,0.66519,0.18728,[21 16] ; [7 7],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
b5,1,0.66519,0.18728,[21 16] ; [7 7],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
