Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.007467,7.157056,[2 1] ; [ 8 60],[0.42253521 2.57746479] ; [ 9.57746479 58.42253521],0
v1,1,0.17207,1.864819,[2 1] ; [20 48],[0.92957746 2.07042254] ; [21.07042254 46.92957746],0
v2,1,0.178997,1.805932,[2 1] ; [20 47],[0.94285714 2.05714286] ; [21.05714286 45.94285714],0
a4,1,0.425049,0.636314,[2 1] ; [29 38],[1.32857143 1.67142857] ; [29.67142857 37.32857143],0
n1,1,0.476108,0.507766,[2 1] ; [14 17],[1.41176471 1.58823529] ; [14.58823529 16.41176471],0
s8,1,0.511587,0.430819,[1 2] ; [12 54],[0.56521739 2.43478261] ; [12.43478261 53.56521739],0
a6,1,0.521536,0.410854,[2 1] ; [32 35],[1.45714286 1.54285714] ; [32.54285714 34.45714286],0
s6,1,0.537857,0.379526,[2 1] ; [32 34],[1.47826087 1.52173913] ; [32.52173913 33.47826087],0
d3,1,0.589354,0.291354,[2 1] ; [34 33],[1.54285714 1.45714286] ; [34.45714286 32.54285714],0
a2,1,0.596643,0.280089,[1 2] ; [14 54],[0.63380282 2.36619718] ; [14.36619718 53.63380282],0
n2,1,0.617918,0.248805,[2 1] ; [16 15],[1.58823529 1.41176471] ; [16.41176471 14.58823529],0
a7,1,0.712444,0.135848,[2 1] ; [38 30],[1.69014085 1.30985915] ; [38.30985915 29.69014085],0
n6,1,0.712444,0.135848,[2 1] ; [38 30],[1.69014085 1.30985915] ; [38.30985915 29.69014085],0
n3,1,0.738269,0.111654,[2 1] ; [17 13],[1.72727273 1.27272727] ; [17.27272727 12.72727273],0
a5,1,0.749267,0.102148,[2 1] ; [39 29],[1.73239437 1.26760563] ; [39.26760563 28.73239437],0
b4,1,0.749267,0.102148,[2 1] ; [39 29],[1.73239437 1.26760563] ; [39.26760563 28.73239437],0
a3,1,0.749267,0.102148,[2 1] ; [39 29],[1.73239437 1.26760563] ; [39.26760563 28.73239437],0
v3,1,0.758751,0.094323,[1 2] ; [16 47],[0.77272727 2.22727273] ; [16.22727273 46.77272727],0
v4,1,0.805332,0.060739,[2 1] ; [49 18],[2.18571429 0.81428571] ; [48.81428571 18.18571429],0
s3,1,0.809616,0.058043,[1 2] ; [27 40],[1.2 1.8] ; [26.8 40.2],0
n5,1,0.825072,0.048853,[2 1] ; [41 27],[1.81690141 1.18309859] ; [41.18309859 26.81690141],0
s2,1,0.897533,0.016584,[1 2] ; [20 47],[0.9 2.1] ; [20.1 46.9],0
s7,1,0.917542,0.010719,[1 2] ; [18 41],[0.91935484 2.08064516] ; [18.08064516 40.91935484],0
b3,1,0.956559,0.002967,[1 2] ; [14 30],[0.95744681 2.04255319] ; [14.04255319 29.95744681],0
b2,1,0.956559,0.002967,[1 2] ; [14 30],[0.95744681 2.04255319] ; [14.04255319 29.95744681],0
