Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.668969,[ 7 26] ; [76 17],[21.73809524 11.26190476] ; [61.26190476 31.73809524],1
r2,1,2.1e-05,18.094759,[18 13] ; [84  8],[25.70731707  5.29268293] ; [76.29268293 15.70731707],1
r3,1,2.9e-05,17.456153,[16 17] ; [79 14],[24.88095238  8.11904762] ; [70.11904762 22.88095238],1
n6,1,0.000294,13.109506,[12 20] ; [68 25],[20.48 11.52] ; [59.52 33.48],1
p10,1,0.0004,12.531812,[ 7 25] ; [53 38],[15.6097561 16.3902439] ; [44.3902439 46.6097561],1
p9,1,0.002462,9.168595,[ 8 24] ; [50 39],[15.33884298 16.66115702] ; [42.66115702 46.33884298],0
r1,1,0.002894,8.872834,[13 20] ; [64 29],[20.16666667 12.83333333] ; [56.83333333 36.16666667],0
u3,1,0.004983,7.885697,[ 2 14] ; [18 15],[6.53061224 9.46938776] ; [13.46938776 19.53061224],0
d3,1,0.005121,7.836335,[10 23] ; [54 38],[16.896 16.104] ; [47.104 44.896],0
n3,1,0.010278,6.586022,[ 6 12] ; [22  9],[10.28571429  7.71428571] ; [17.71428571 13.28571429],0
s6,1,0.01159,6.372539,[ 7 26] ; [43 50],[13.0952381 19.9047619] ; [36.9047619 56.0952381],0
a6,1,0.013631,6.085269,[13 20] ; [59 33],[19.008 13.992] ; [52.992 39.008],0
v2,1,0.015084,5.906589,[ 7 25] ; [40 46],[12.74576271 19.25423729] ; [34.25423729 51.74576271],0
p11,1,0.015801,5.824933,[ 9 24] ; [48 45],[14.92857143 18.07142857] ; [42.07142857 50.92857143],0
p1,1,0.025163,5.01266,[ 6 27] ; [ 5 88],[ 2.88095238 30.11904762] ; [ 8.11904762 84.88095238],0
s8,1,0.034689,4.460411,[ 3 30] ; [25 68],[ 7.33333333 25.66666667] ; [20.66666667 72.33333333],0
s2,1,0.038635,4.276859,[ 4 29] ; [28 64],[ 8.448 24.552] ; [23.552 68.448],0
n2,1,0.042044,4.133422,[ 8 11] ; [24 10],[11.47169811  7.52830189] ; [20.52830189 13.47169811],0
a2,1,0.044656,4.031571,[ 2 31] ; [20 73],[ 5.76190476 27.23809524] ; [16.23809524 76.76190476],0
p8,1,0.064881,3.408011,[ 3 29] ; [23 70],[ 6.656 25.344] ; [19.344 73.656],0
d5,1,0.071097,3.257513,[18 15] ; [66 26],[22.176 10.824] ; [61.824 30.176],0
a7,1,0.07138,3.250998,[15 18] ; [59 34],[19.38095238 13.61904762] ; [54.61904762 38.38095238],0
v3,1,0.073599,3.200864,[ 5 27] ; [28 59],[ 8.87394958 23.12605042] ; [24.12605042 62.87394958],0
b5,1,0.082082,3.023194,[13 20] ; [53 40],[17.28571429 15.71428571] ; [48.71428571 44.28571429],0
u1,1,0.085559,2.956012,[ 1 32] ; [13 80],[ 3.66666667 29.33333333] ; [10.33333333 82.66666667],0
