Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.9e-05,18.320573,[25 81] ; [17  8],[33.98473282 72.01526718] ; [ 8.01526718 16.98473282],1
s6,1,7.5e-05,15.691665,[51 57] ; [22  2],[59.72727273 48.27272727] ; [13.27272727 10.72727273],1
p4,1,0.000266,13.293258,[28 80] ; [16  9],[35.72932331 72.27067669] ; [ 8.27067669 16.72932331],1
s5,1,0.000416,12.459088,[21 82] ; [13 10],[27.79365079 75.20634921] ; [ 6.20634921 16.79365079],1
p3,1,0.000615,11.728532,[27 82] ; [15 10],[34.1641791 74.8358209] ; [ 7.8358209 17.1641791],1
v1,1,0.00087,11.085182,[30 75] ; [16  9],[37.15384615 67.84615385] ; [ 8.84615385 16.15384615],1
p8,1,0.000979,10.866365,[16 93] ; [11 14],[21.96268657 87.03731343] ; [ 5.03731343 19.96268657],1
p9,1,0.001309,10.329133,[55 49] ; [22  3],[62.07751938 41.92248062] ; [14.92248062 10.07751938],0
s8,1,0.003035,8.786089,[37 72] ; [16  8],[43.43609023 65.56390977] ; [ 9.56390977 14.43609023],0
s2,1,0.004301,8.152124,[40 69] ; [17  8],[46.36567164 62.63432836] ; [10.63432836 14.36567164],0
s7,1,0.007738,7.093207,[38 61] ; [17  8],[43.91129032 55.08870968] ; [11.08870968 13.91129032],0
r3,1,0.044305,4.044885,[86 23] ; [24  1],[89.47761194 19.52238806] ; [20.52238806  4.47761194],0
v2,1,0.051279,3.799147,[49 55] ; [16  7],[53.22834646 50.77165354] ; [11.77165354 11.22834646],0
v4,1,0.052935,3.745973,[87 22] ; [24  1],[90.29104478 18.70895522] ; [20.70895522  4.29104478],0
r4,1,0.062994,3.456753,[76 33] ; [22  3],[79.71641791 29.28358209] ; [18.28358209  6.71641791],0
n2,1,0.085063,2.965407,[27 19] ; [8 1],[29.27272727 16.72727273] ; [5.72727273 3.27272727],0
a7,1,0.110422,2.548172,[75 34] ; [13 12],[71.58208955 37.41791045] ; [16.41791045  8.58208955],0
n6,1,0.122572,2.384148,[74 34] ; [21  4],[77.14285714 30.85714286] ; [17.85714286  7.14285714],0
p1,1,0.15828,1.990584,[  5 104] ; [ 3 22],[  6.50746269 102.49253731] ; [ 1.49253731 23.50746269],0
u3,1,0.18042,1.794158,[17 12] ; [6 1],[18.52777778 10.47222222] ; [4.47222222 2.52777778],0
p10,1,0.181564,1.784773,[57 50] ; [17  8],[59.98484848 47.01515152] ; [14.01515152 10.98484848],0
a4,1,0.193967,1.687226,[58 50] ; [17  8],[60.90225564 47.09774436] ; [14.09774436 10.90225564],0
d1,1,0.232709,1.424224,[74 35] ; [20  5],[76.46268657 32.53731343] ; [17.53731343  7.46268657],0
n3,1,0.241461,1.372043,[25 19] ; [7 2],[26.56603774 17.43396226] ; [5.43396226 3.56603774],0
a6,1,0.256383,1.288186,[70 39] ; [13 12],[67.51492537 41.48507463] ; [15.48507463  9.51492537],0
a2,1,0.26697,1.23225,[29 80] ; [ 4 21],[26.84328358 82.15671642] ; [ 6.15671642 18.84328358],0
s4,1,0.29888,1.079185,[20 87] ; [ 7 18],[21.88636364 85.11363636] ; [ 5.11363636 19.88636364],0
p11,1,0.304828,1.052953,[53 56] ; [15 10],[55.31343284 53.68656716] ; [12.68656716 12.31343284],0
b2,1,0.317069,1.001001,[23 47] ; [ 9 11],[24.88888889 45.11111111] ; [ 7.11111111 12.88888889],0
b3,1,0.317069,1.001001,[23 47] ; [ 9 11],[24.88888889 45.11111111] ; [ 7.11111111 12.88888889],0
n1,1,0.388952,0.742216,[18 27] ; [5 4],[19.16666667 25.83333333] ; [3.83333333 5.16666667],0
a5,1,0.390516,0.737336,[78 31] ; [20  5],[79.71641791 29.28358209] ; [18.28358209  6.71641791],0
d2,1,0.449107,0.572906,[64 43] ; [17  8],[65.65909091 41.34090909] ; [15.34090909  9.65909091],0
d4,1,0.500526,0.453821,[95 14] ; [23  2],[95.98507463 13.01492537] ; [22.01492537  2.98507463],0
s1,1,0.644812,0.212503,[  7 102] ; [ 1 24],[  6.50746269 102.49253731] ; [ 1.49253731 23.50746269],0
p5,1,0.660337,0.193114,[  6 100] ; [ 2 23],[ 6.47328244 99.52671756] ; [ 1.52671756 23.47328244],0
