Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.098511,[ 1 12] ; [81 10],[10.25  2.75] ; [71.75 19.25],1
r1,1,2.4e-05,17.828571,[4 9] ; [76 15],[10.  3.] ; [70. 21.],1
r3,1,4.9e-05,16.483413,[8 5] ; [86  4],[11.86407767  1.13592233] ; [82.13592233  7.86407767],1
a5,1,0.000136,14.554964,[ 1 12] ; [58 33],[7.375 5.625] ; [51.625 39.375],1
v4,1,0.000262,13.321824,[9 4] ; [86  3],[12.10784314  0.89215686] ; [82.89215686  6.10784314],1
a7,1,0.00211,9.451442,[4 9] ; [66 24],[8.83495146 4.16504854] ; [61.16504854 28.83495146],0
d3,1,0.003707,8.422124,[4 9] ; [65 26],[8.625 4.375] ; [60.375 30.625],0
d5,1,0.010236,6.593407,[6 7] ; [72 19],[9.75 3.25] ; [68.25 22.75],0
n5,1,0.011175,6.437353,[ 3 10] ; [55 36],[7.25 5.75] ; [50.75 40.25],0
a3,1,0.011175,6.437353,[ 3 10] ; [55 36],[7.25 5.75] ; [50.75 40.25],0
d2,1,0.015787,5.826396,[ 2 11] ; [46 44],[6.05825243 6.94174757] ; [41.94174757 48.05825243],0
u3,1,0.021315,5.300842,[2 8] ; [22 14],[5.2173913 4.7826087] ; [18.7826087 17.2173913],0
s3,1,0.034474,4.471055,[ 3 10] ; [49 41],[6.5631068 6.4368932] ; [45.4368932 44.5631068],0
a6,1,0.036598,4.369043,[5 8] ; [62 29],[8.375 4.625] ; [58.625 32.375],0
a4,1,0.037835,4.312437,[ 1 12] ; [33 57],[4.29126214 8.70873786] ; [29.70873786 60.29126214],0
d4,1,0.049037,3.874071,[6 7] ; [65 24],[9.04901961 3.95098039] ; [61.95098039 27.04901961],0
n4,1,0.053949,3.714286,[6 7] ; [66 25],[9. 4.] ; [63. 28.],0
d1,1,0.063423,3.445534,[ 3 10] ; [46 45],[6.125 6.875] ; [42.875 48.125],0
v3,1,0.06578,3.385307,[ 1 12] ; [29 60],[3.82352941 9.17647059] ; [26.17647059 62.82352941],0
b5,1,0.081098,3.042752,[5 8] ; [58 33],[7.875 5.125] ; [55.125 35.875],0
n6,1,0.082174,3.021369,[6 7] ; [64 27],[8.75 4.25] ; [61.25 29.75],0
v1,1,0.173948,1.848585,[ 3 10] ; [39 52],[5.25 7.75] ; [36.75 54.25],0
s6,1,0.220869,1.498715,[4 9] ; [44 46],[6.05825243 6.94174757] ; [41.94174757 48.05825243],0
s7,1,0.238975,1.386628,[2 9] ; [31 55],[3.74226804 7.25773196] ; [29.25773196 56.74226804],0
s4,1,0.28776,1.13007,[4 9] ; [16 72],[ 2.57425743 10.42574257] ; [17.42574257 70.57425743],0
p11,1,0.290289,1.11828,[6 7] ; [56 35],[7.75 5.25] ; [54.25 36.75],0
s8,1,0.306311,1.046517,[ 2 11] ; [26 64],[3.53398058 9.46601942] ; [24.46601942 65.53398058],0
v2,1,0.318878,0.993542,[4 9] ; [40 48],[5.66336634 7.33663366] ; [38.33663366 49.66336634],0
p8,1,0.368005,0.81039,[4 9] ; [40 51],[5.5 7.5] ; [38.5 52.5],0
n1,1,0.376363,0.782547,[2 7] ; [10 16],[3.08571429 5.91428571] ; [ 8.91428571 17.08571429],0
b4,1,0.441496,0.59239,[7 6] ; [59 32],[8.25 4.75] ; [57.75 33.25],0
s2,1,0.533691,0.387359,[4 9] ; [35 53],[5.01980198 7.98019802] ; [33.98019802 54.01980198],0
n2,1,0.543999,0.368179,[6 3] ; [20  6],[6.68571429 2.31428571] ; [19.31428571  6.68571429],0
b1,1,0.552003,0.353741,[8 5] ; [48 43],[7. 6.] ; [49. 42.],0
p10,1,0.554959,0.348508,[ 3 10] ; [28 62],[3.91262136 9.08737864] ; [27.08737864 62.91262136],0
n3,1,0.571091,0.32086,[7 2] ; [19  9],[6.32432432 2.67567568] ; [19.67567568  8.32432432],0
p4,1,0.656263,0.198095,[6 7] ; [48 43],[6.75 6.25] ; [47.25 43.75],0
s5,1,0.668526,0.183331,[ 2 11] ; [18 70],[ 2.57425743 10.42574257] ; [17.42574257 70.57425743],0
p7,1,0.672985,0.17813,[7 6] ; [54 36],[7.69902913 5.30097087] ; [53.30097087 36.69902913],0
p6,1,0.792639,0.069109,[4 9] ; [24 64],[3.6039604 9.3960396] ; [24.3960396 63.6039604],0
p3,1,0.838243,0.041674,[5 8] ; [32 58],[4.66990291 8.33009709] ; [32.33009709 57.66990291],0
u2,1,0.936475,0.006352,[5 5] ; [18 17],[5.11111111 4.88888889] ; [17.88888889 17.11111111],0
