Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.894685,[ 5 30] ; [88 17],[23.25 11.75] ; [69.75 35.25],1
p11,1,0.0,25.77342,[ 4 31] ; [64 41],[17. 18.] ; [51. 54.],1
v4,1,0.0,25.714286,[15 20] ; [90 15],[26.25  8.75] ; [78.75 26.25],1
v2,1,5e-06,20.730289,[ 3 31] ; [52 45],[14.27480916 19.72519084] ; [40.72519084 56.27480916],1
n6,1,0.000176,14.075053,[13 22] ; [76 29],[22.25 12.75] ; [66.75 38.25],1
s2,1,0.000263,13.317554,[ 3 32] ; [44 60],[11.83453237 23.16546763] ; [35.16546763 68.83453237],1
p10,1,0.000446,12.328595,[ 8 26] ; [60 43],[16.87591241 17.12408759] ; [51.12408759 51.87591241],1
s6,1,0.001182,10.518506,[ 7 28] ; [53 50],[15.2173913 19.7826087] ; [44.7826087 58.2173913],0
a1,1,0.001401,10.203917,[ 8 27] ; [  5 100],[ 3.25 31.75] ; [ 9.75 95.25],0
p9,1,0.001442,10.151035,[ 9 23] ; [61 40],[16.84210526 15.15789474] ; [53.15789474 47.84210526],0
r2,1,0.001484,10.098887,[23 11] ; [93 10],[28.78832117  5.21167883] ; [87.21167883 15.78832117],0
p7,1,0.003199,8.690114,[ 2 32] ; [32 71],[ 8.4379562 25.5620438] ; [25.5620438 77.4379562],0
b5,1,0.004161,8.212318,[13 22] ; [68 37],[20.25 14.75] ; [60.75 44.25],0
s8,1,0.005224,7.800107,[ 3 32] ; [34 70],[ 9.31654676 25.68345324] ; [27.68345324 76.31654676],0
r1,1,0.006603,7.378009,[15 20] ; [72 33],[21.75 13.25] ; [65.25 39.75],0
d4,1,0.00719,7.224955,[19 16] ; [81 23],[25.17985612  9.82014388] ; [74.82014388 29.17985612],0
u3,1,0.016005,5.802317,[ 3 12] ; [21 16],[6.92307692 8.07692308] ; [17.07692308 19.92307692],0
n3,1,0.022504,5.206384,[ 6 12] ; [25 13],[9.96428571 8.03571429] ; [21.03571429 16.96428571],0
u2,1,0.025089,5.01774,[ 3 12] ; [20 17],[6.63461538 8.36538462] ; [16.36538462 20.63461538],0
s3,1,0.033484,4.520879,[ 8 24] ; [48 56],[13.17647059 18.82352941] ; [42.82352941 61.17647059],0
s7,1,0.035431,4.424276,[ 6 26] ; [39 61],[10.90909091 21.09090909] ; [34.09090909 65.90909091],0
p1,1,0.040276,4.206222,[ 7 28] ; [ 8 97],[ 3.75 31.25] ; [11.25 93.75],0
p6,1,0.055296,3.673143,[ 1 33] ; [16 88],[ 4.1884058 29.8115942] ; [12.8115942 91.1884058],0
s5,1,0.056424,3.639504,[ 3 32] ; [23 75],[ 6.84210526 28.15789474] ; [19.15789474 78.84210526],0
p5,1,0.067702,3.337869,[ 3 32] ; [  2 102],[ 1.25899281 33.74100719] ; [  3.74100719 100.25899281],0
d3,1,0.086435,2.939552,[14 21] ; [59 45],[18.38129496 16.61870504] ; [54.61870504 49.38129496],0
a7,1,0.089416,2.884848,[17 18] ; [68 37],[21.25 13.75] ; [63.75 41.25],0
b1,1,0.11827,2.440087,[22 13] ; [50 55],[18. 17.] ; [54. 51.],0
n5,1,0.128273,2.313285,[26  9] ; [63 42],[22.25 12.75] ; [66.75 38.25],0
v1,1,0.136785,2.213764,[ 8 27] ; [38 66],[11.58273381 23.41726619] ; [34.41726619 69.58273381],0
n2,1,0.171511,1.869684,[10  9] ; [29 12],[12.35  6.65] ; [26.65 14.35],0
p3,1,0.201869,1.628801,[ 4 31] ; [22 82],[ 6.54676259 28.45323741] ; [19.45323741 84.54676259],0
d1,1,0.203402,1.617778,[13 22] ; [52 53],[16.25 18.75] ; [48.75 56.25],0
n1,1,0.235322,1.408399,[11  8] ; [17 24],[ 8.86666667 10.13333333] ; [19.13333333 21.86666667],0
b2,1,0.23659,1.400797,[12 14] ; [20 41],[ 9.56321839 16.43678161] ; [22.43678161 38.56321839],0
b3,1,0.23659,1.400797,[12 14] ; [20 41],[ 9.56321839 16.43678161] ; [22.43678161 38.56321839],0
s1,1,0.246535,1.342833,[ 5 30] ; [ 8 96],[ 3.27338129 31.72661871] ; [ 9.72661871 94.27338129],0
a5,1,0.274615,1.193546,[18 17] ; [65 40],[20.75 14.25] ; [62.25 42.75],0
d5,1,0.276252,1.185436,[20 15] ; [70 34],[22.6618705 12.3381295] ; [67.3381295 36.6618705],0
a8,1,0.357777,0.845682,[ 2 31] ; [12 91],[ 3.39705882 29.60294118] ; [10.60294118 92.39705882],0
v3,1,0.365773,0.817976,[ 9 26] ; [33 64],[11.13636364 23.86363636] ; [30.86363636 66.13636364],0
a2,1,0.386641,0.749481,[ 5 30] ; [22 83],[ 6.75 28.25] ; [20.25 84.75],0
n4,1,0.410854,0.676329,[25 10] ; [67 38],[23. 12.] ; [69. 36.],0
s4,1,0.438268,0.600812,[ 5 30] ; [21 83],[ 6.54676259 28.45323741] ; [19.45323741 84.54676259],0
p12,1,0.495594,0.464358,[ 1 34] ; [ 6 98],[ 1.76258993 33.23741007] ; [ 5.23741007 98.76258993],0
a6,1,0.512753,0.428446,[19 16] ; [63 41],[20.64748201 14.35251799] ; [61.35251799 42.64748201],0
a3,1,0.664844,0.187693,[20 13] ; [68 37],[21.04347826 11.95652174] ; [66.95652174 38.04347826],0
b4,1,0.766884,0.087884,[21 14] ; [60 45],[20.25 14.75] ; [60.75 44.25],0
a4,1,0.79832,0.065291,[13 20] ; [44 61],[13.63043478 19.36956522] ; [43.36956522 61.63043478],0
d2,1,0.801025,0.063514,[15 19] ; [48 55],[15.6350365 18.3649635] ; [47.3649635 55.6350365],0
p8,1,0.891305,0.018674,[ 5 30] ; [16 89],[ 5.25 29.75] ; [15.75 89.25],0
