Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.5e-05,17.787726,[10 15] ; [71 15],[18.24324324  6.75675676] ; [62.75675676 23.24324324],1
r3,1,5.2e-05,16.362552,[20  6] ; [85  1],[24.375  1.625] ; [80.625  5.375],1
n6,1,0.00327,8.650215,[18  8] ; [78  7],[22.48648649  3.51351351] ; [73.51351351 11.48648649],0
b1,1,0.020139,5.399808,[14 12] ; [25 61],[ 9.05357143 16.94642857] ; [29.94642857 56.05357143],0
r4,1,0.020792,5.344114,[19  7] ; [78  8],[22.51785714  3.48214286] ; [74.48214286 11.51785714],0
s4,1,0.037972,4.306273,[ 7 19] ; [ 9 76],[ 3.74774775 22.25225225] ; [12.25225225 72.74774775],0
r2,1,0.072591,3.223443,[21  5] ; [78  6],[23.4  2.6] ; [75.6  8.4],0
v3,1,0.081858,3.027617,[ 8 17] ; [44 41],[11.81818182 13.18181818] ; [40.18181818 44.81818182],0
p11,1,0.094996,2.787612,[16 10] ; [67 19],[19.26785714  6.73214286] ; [63.73214286 22.26785714],0
v4,1,0.115703,2.474537,[22  4] ; [81  5],[23.91071429  2.08928571] ; [79.08928571  6.91071429],0
r1,1,0.116099,2.469168,[17  9] ; [69 17],[19.96428571  6.03571429] ; [66.03571429 19.96428571],0
a4,1,0.142333,2.152553,[ 8 18] ; [40 45],[11.24324324 14.75675676] ; [36.75675676 48.24324324],0
p6,1,0.16553,1.922971,[ 9 16] ; [44 41],[12.04545455 12.95454545] ; [40.95454545 44.04545455],0
d2,1,0.179324,1.80322,[10 16] ; [46 40],[13. 13.] ; [43. 43.],0
a5,1,0.185293,1.754648,[18  8] ; [70 16],[20.42857143  5.57142857] ; [67.57142857 18.42857143],0
d1,1,0.188771,1.727187,[11 15] ; [49 37],[13.92857143 12.07142857] ; [46.07142857 39.92857143],0
a7,1,0.191475,1.706231,[21  5] ; [58 28],[18.33928571  7.66071429] ; [60.66071429 25.33928571],0
u1,1,0.196306,1.669648,[ 4 22] ; [24 62],[ 6.5 19.5] ; [21.5 64.5],0
d5,1,0.22304,1.484703,[19  7] ; [72 14],[21.125  4.875] ; [69.875 16.125],0
d4,1,0.22304,1.484703,[19  7] ; [72 14],[21.125  4.875] ; [69.875 16.125],0
v2,1,0.240354,1.378517,[12 13] ; [52 33],[14.54545455 10.45454545] ; [49.45454545 35.54545455],0
b5,1,0.243726,1.358911,[13 13] ; [54 32],[15.55357143 10.44642857] ; [51.44642857 34.55357143],0
a3,1,0.250007,1.323263,[18  8] ; [68 17],[20.14414414  5.85585586] ; [65.85585586 19.14414414],0
d3,1,0.304866,1.052789,[20  6] ; [57 29],[17.875  8.125] ; [59.125 26.875],0
b3,1,0.32972,0.949996,[5 9] ; [34 34],[6.65853659 7.34146341] ; [32.34146341 35.65853659],0
b2,1,0.32972,0.949996,[5 9] ; [34 34],[6.65853659 7.34146341] ; [32.34146341 35.65853659],0
n1,1,0.332275,0.940012,[3 8] ; [ 9 11],[4.25806452 6.74193548] ; [ 7.74193548 12.25806452],0
a2,1,0.376164,0.783202,[ 5 21] ; [24 62],[ 6.73214286 19.26785714] ; [22.26785714 63.73214286],0
n3,1,0.389529,0.740413,[6 5] ; [14  6],[7.09677419 3.90322581] ; [12.90322581  7.09677419],0
