Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5e-06,21.001705,[ 6 26] ; [18  4],[14.22222222 17.77777778] ; [ 9.77777778 12.22222222],1
p2,1,0.000322,12.936898,[ 6 27] ; [14  7],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],1
n6,1,0.00064,11.656201,[11 22] ; [17  4],[17.11111111 15.88888889] ; [10.88888889 10.11111111],1
r3,1,0.002735,8.976623,[13 20] ; [17  4],[18.33333333 14.66666667] ; [11.66666667  9.33333333],0
p11,1,0.003483,8.535354,[ 8 25] ; [14  8],[13.2 19.8] ; [ 8.8 13.2],0
p7,1,0.013822,6.060745,[ 4 29] ; [ 9 13],[ 7.8 25.2] ; [ 5.2 16.8],0
s8,1,0.021705,5.269274,[ 1 32] ; [ 5 17],[ 3.6 29.4] ; [ 2.4 19.6],0
s3,1,0.058729,3.572932,[ 8 24] ; [11 11],[11.25925926 20.74074074] ; [ 7.74074074 14.25925926],0
n5,1,0.060504,3.523524,[19 14] ; [18  4],[22.2 10.8] ; [14.8  7.2],0
p6,1,0.064784,3.410474,[ 2 30] ; [ 5 16],[ 4.22641509 27.77358491] ; [ 2.77358491 18.22641509],0
n3,1,0.12695,2.329412,[ 7 10] ; [4 1],[8.5 8.5] ; [2.5 2.5],0
p4,1,0.129403,2.299652,[ 6 27] ; [ 8 14],[ 8.4 24.6] ; [ 5.6 16.4],0
a1,1,0.137135,2.209821,[ 6 27] ; [ 1 21],[ 4.2 28.8] ; [ 2.8 19.2],0
s4,1,0.137135,2.209821,[ 6 27] ; [ 1 21],[ 4.2 28.8] ; [ 2.8 19.2],0
u1,1,0.13785,2.201797,[ 1 32] ; [ 3 19],[ 2.4 30.6] ; [ 1.6 20.4],0
p3,1,0.142612,2.149548,[ 5 28] ; [ 7 15],[ 7.2 25.8] ; [ 4.8 17.2],0
s2,1,0.142612,2.149548,[ 5 28] ; [ 7 15],[ 7.2 25.8] ; [ 4.8 17.2],0
a5,1,0.149024,2.082213,[16 17] ; [15  7],[18.6 14.4] ; [12.4  9.6],0
v2,1,0.164778,1.929825,[ 9 24] ; [10 12],[11.4 21.6] ; [ 7.6 14.4],0
b4,1,0.196874,1.665415,[20 13] ; [17  5],[22.2 10.8] ; [14.8  7.2],0
v1,1,0.242818,1.364161,[ 7 25] ; [ 8 14],[ 8.88888889 23.11111111] ; [ 6.11111111 15.88888889],0
n2,1,0.28255,1.154783,[ 7 10] ; [4 2],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
n1,1,0.28255,1.154783,[ 7 10] ; [4 2],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
d4,1,0.283679,1.149381,[21 12] ; [17  5],[22.8 10.2] ; [15.2  6.8],0
s7,1,0.314419,1.01202,[ 6 23] ; [ 7 14],[ 7.54 21.46] ; [ 5.46 15.54],0
d2,1,0.377365,0.779268,[17 15] ; [ 9 13],[15.40740741 16.59259259] ; [10.59259259 11.40740741],0
u2,1,0.431923,0.617647,[ 2 12] ; [2 5],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
s6,1,0.467166,0.528671,[ 8 25] ; [ 7 14],[ 9.16666667 23.83333333] ; [ 5.83333333 15.16666667],0
a3,1,0.510225,0.433606,[19 13] ; [15  7],[20.14814815 11.85185185] ; [13.85185185  8.14814815],0
a8,1,0.563607,0.333498,[ 4 28] ; [ 4 18],[ 4.74074074 27.25925926] ; [ 3.25925926 18.74074074],0
r4,1,0.604259,0.26862,[ 7 26] ; [ 6 16],[ 7.8 25.2] ; [ 5.2 16.8],0
n4,1,0.704602,0.143728,[24  9] ; [17  5],[24.6  8.4] ; [16.4  5.6],0
d5,1,0.728369,0.120614,[21 12] ; [15  7],[21.6 11.4] ; [14.4  7.6],0
d3,1,0.740809,0.109416,[15 18] ; [11 11],[15.6 17.4] ; [10.4 11.6],0
s1,1,0.808466,0.058761,[ 2 31] ; [ 1 21],[ 1.8 31.2] ; [ 1.2 20.8],0
b1,1,0.820724,0.051354,[20 13] ; [14  8],[20.4 12.6] ; [13.6  8.4],0
r1,1,0.820724,0.051354,[13 20] ; [ 8 14],[12.6 20.4] ; [ 8.4 13.6],0
d1,1,0.824315,0.049283,[14 19] ; [10 12],[14.4 18.6] ; [ 9.6 12.4],0
a7,1,0.824315,0.049283,[14 19] ; [10 12],[14.4 18.6] ; [ 9.6 12.4],0
a6,1,0.825465,0.04863,[16 17] ; [10 12],[15.6 17.4] ; [10.4 11.6],0
b5,1,0.825465,0.04863,[17 16] ; [12 10],[17.4 15.6] ; [11.6 10.4],0
b2,1,0.861858,0.03028,[ 8 15] ; [ 6 10],[ 8.25641026 14.74358974] ; [ 5.74358974 10.25641026],0
b3,1,0.861858,0.03028,[ 8 15] ; [ 6 10],[ 8.25641026 14.74358974] ; [ 5.74358974 10.25641026],0
