Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.278352,[22 96] ; [12  5],[29.71851852 88.28148148] ; [ 4.28148148 12.71851852],1
s6,1,0.000177,14.057376,[46 75] ; [14  2],[52.99270073 68.00729927] ; [7.00729927 8.99270073],1
s2,1,0.000688,11.52039,[35 86] ; [12  5],[41.21014493 79.78985507] ; [ 5.78985507 11.21014493],1
p1,1,0.004682,7.99835,[  9 113] ; [ 5 12],[ 12.28776978 109.71223022] ; [ 1.71223022 15.28776978],0
s5,1,0.005276,7.782159,[19 98] ; [7 8],[23.04545455 93.95454545] ; [ 2.95454545 12.04545455],0
p3,1,0.011208,6.431959,[ 19 103] ; [ 7 10],[22.82014388 99.17985612] ; [ 3.17985612 13.82014388],0
p8,1,0.013113,6.153773,[ 15 107] ; [ 6 11],[ 18.43165468 103.56834532] ; [ 2.56834532 14.43165468],0
s1,1,0.021349,5.29805,[  8 112] ; [ 4 13],[ 10.51094891 109.48905109] ; [ 1.48905109 15.51094891],0
s7,1,0.022743,5.187995,[35 79] ; [10  7],[39.16030534 74.83969466] ; [ 5.83969466 11.16030534],0
b5,1,0.031626,4.618677,[67 55] ; [14  3],[71.09352518 50.90647482] ; [9.90647482 7.09352518],0
a6,1,0.034378,4.475802,[67 54] ; [14  3],[71.02173913 49.97826087] ; [9.97826087 7.02173913],0
r4,1,0.046058,3.97948,[78 44] ; [15  2],[81.62589928 40.37410072] ; [11.37410072  5.62589928],0
v4,1,0.055296,3.673143,[88 33] ; [16  1],[91.1884058 29.8115942] ; [12.8115942  4.1884058],0
r3,1,0.055296,3.673143,[88 33] ; [16  1],[91.1884058 29.8115942] ; [12.8115942  4.1884058],0
s3,1,0.059199,3.559671,[45 74] ; [10  6],[48.48148148 70.51851852] ; [6.51851852 9.48148148],0
v1,1,0.067026,3.3544,[37 84] ; [9 8],[40.33333333 80.66666667] ; [ 5.66666667 11.33333333],0
s8,1,0.103799,2.64618,[30 92] ; [7 9],[32.71014493 89.28985507] ; [ 4.28985507 11.71014493],0
a4,1,0.120066,2.416463,[52 68] ; [ 4 13],[49.05109489 70.94890511] ; [ 6.94890511 10.05109489],0
a2,1,0.131945,2.269469,[26 96] ; [ 1 16],[23.69784173 98.30215827] ; [ 3.30215827 13.69784173],0
p10,1,0.194835,1.680672,[57 62] ; [11  6],[59.5 59.5] ; [8.5 8.5],0
n6,1,0.244577,1.354019,[75 46] ; [13  4],[77.15942029 43.84057971] ; [10.84057971  6.15942029],0
d5,1,0.28782,1.129789,[80 41] ; [9 8],[78.03623188 42.96376812] ; [10.96376812  6.03623188],0
r2,1,0.298874,1.079212,[100  18] ; [16  1],[101.39259259  16.60740741] ; [14.60740741  2.39259259],0
a8,1,0.299018,1.07857,[ 11 106] ; [ 3 14],[ 12.2238806 104.7761194] ; [ 1.7761194 15.2238806],0
v2,1,0.338,0.918004,[46 68] ; [8 7],[47.72093023 66.27906977] ; [6.27906977 8.72093023],0
d1,1,0.342565,0.900808,[58 64] ; [ 6 11],[56.17266187 65.82733813] ; [7.82733813 9.17266187],0
u1,1,0.437664,0.602399,[ 15 107] ; [ 1 16],[ 14.04316547 107.95683453] ; [ 1.95683453 15.04316547],0
d4,1,0.491584,0.473056,[88 33] ; [11  6],[86.80434783 34.19565217] ; [12.19565217  4.80434783],0
b1,1,0.495352,0.46488,[61 61] ; [10  7],[62.31654676 59.68345324] ; [8.68345324 8.31654676],0
p11,1,0.495352,0.46488,[61 61] ; [ 7 10],[59.68345324 62.31654676] ; [8.31654676 8.68345324],0
u2,1,0.530703,0.393046,[20 25] ; [4 3],[20.76923077 24.23076923] ; [3.23076923 3.76923077],0
p5,1,0.594492,0.283384,[  4 117] ; [ 1 16],[  4.38405797 116.61594203] ; [ 0.61594203 16.38405797],0
s4,1,0.597512,0.278765,[22 99] ; [ 4 13],[22.79710145 98.20289855] ; [ 3.20289855 13.79710145],0
a1,1,0.599919,0.275119,[ 12 110] ; [ 1 16],[ 11.41007194 110.58992806] ; [ 1.58992806 15.41007194],0
u3,1,0.605806,0.266328,[21 24] ; [4 3],[21.63461538 23.36538462] ; [3.36538462 3.63461538],0
d3,1,0.606456,0.265369,[65 56] ; [8 9],[64.00724638 56.99275362] ; [8.99275362 8.00724638],0
p9,1,0.608121,0.26292,[60 55] ; [10  7],[60.98484848 54.01515152] ; [9.01515152 7.98484848],0
b3,1,0.615864,0.251724,[29 47] ; [3 7],[28.27906977 47.72093023] ; [3.72093023 6.27906977],0
