Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.5e-05,15.442618,[ 6 25] ; [36 21],[14.79545455 16.20454545] ; [27.20454545 29.79545455],1
s7,1,0.001919,9.625067,[ 5 26] ; [27 27],[11.67058824 19.32941176] ; [20.32941176 33.67058824],0
n6,1,0.007908,7.054184,[16 15] ; [45 12],[21.48863636  9.51136364] ; [39.51136364 17.48863636],0
b1,1,0.014887,5.929737,[ 9 22] ; [32 25],[14.44318182 16.55681818] ; [26.55681818 30.44318182],0
v3,1,0.022352,5.218208,[ 7 22] ; [27 27],[11.87951807 17.12048193] ; [22.12048193 31.87951807],0
a4,1,0.022856,5.179427,[ 8 23] ; [29 28],[13.03409091 17.96590909] ; [23.96590909 33.03409091],0
u1,1,0.024367,5.068304,[ 1 30] ; [12 45],[ 4.57954545 26.42045455] ; [ 8.42045455 48.57954545],0
s8,1,0.025358,4.99927,[ 5 26] ; [22 34],[ 9.62068966 21.37931034] ; [17.37931034 38.62068966],0
u2,1,0.033754,4.507119,[ 3 10] ; [10  6],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
d2,1,0.036199,4.387703,[11 20] ; [33 23],[15.67816092 15.32183908] ; [28.32183908 27.67816092],0
v1,1,0.039124,4.255481,[12 19] ; [34 21],[16.58139535 14.41860465] ; [29.41860465 25.58139535],0
n2,1,0.050088,3.838503,[5 5] ; [16  3],[7.24137931 2.75862069] ; [13.75862069  5.24137931],0
a8,1,0.054915,3.68468,[ 1 27] ; [ 9 38],[ 3.73333333 24.26666667] ; [ 6.26666667 40.73333333],0
b5,1,0.072405,3.227636,[17 14] ; [42 15],[20.78409091 10.21590909] ; [38.21590909 18.78409091],0
p6,1,0.085584,2.955532,[ 5 24] ; [19 35],[ 8.38554217 20.61445783] ; [15.61445783 38.38554217],0
n3,1,0.088212,2.906699,[7 4] ; [17  2],[8.8 2.2] ; [15.2  3.8],0
p11,1,0.142887,2.146591,[14 17] ; [35 22],[17.26136364 13.73863636] ; [31.73863636 25.26136364],0
n1,1,0.148808,2.084423,[2 9] ; [ 8 10],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
s3,1,0.195086,1.678783,[11 20] ; [27 27],[13.85882353 17.14117647] ; [24.14117647 29.85882353],0
s2,1,0.300104,1.07373,[10 21] ; [24 31],[12.25581395 18.74418605] ; [21.74418605 33.25581395],0
p2,1,0.306029,1.047738,[19 12] ; [41 16],[21.13636364  9.86363636] ; [38.86363636 18.13636364],0
p8,1,0.331046,0.944803,[14 17] ; [19 36],[11.89534884 19.10465116] ; [21.10465116 33.89534884],0
a3,1,0.331285,0.943869,[18 13] ; [39 18],[20.07954545 10.92045455] ; [36.92045455 20.07954545],0
r4,1,0.335111,0.929047,[21 10] ; [44 13],[22.89772727  8.10227273] ; [42.10227273 14.89772727],0
