Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,58.896435,[250   8] ; [3 5],[245.39097744  12.60902256] ; [7.60902256 0.39097744],1
r4,1,0.0,36.326967,[246  15] ; [3 5],[241.59479554  19.40520446] ; [7.40520446 0.59479554],1
d3,1,0.003323,8.621259,[189  71] ; [2 6],[185.29850746  74.70149254] ; [5.70149254 2.29850746],0
r1,1,0.031932,4.602156,[211  50] ; [4 4],[208.60594796  52.39405204] ; [6.39405204 1.60594796],0
d4,1,0.077748,3.111369,[221  38] ; [5 3],[219.22846442  39.77153558] ; [6.77153558 1.22846442],0
b5,1,0.086042,2.946905,[149 112] ; [7 1],[151.3605948 109.6394052] ; [4.6394052 3.3605948],0
p4,1,0.111618,2.531162,[218  42] ; [5 3],[216.34328358  43.65671642] ; [6.65671642 1.34328358],0
n6,1,0.123207,2.376069,[236  23] ; [6 2],[234.74906367  24.25093633] ; [7.25093633 0.74906367],0
u3,1,0.127399,2.323911,[43 25] ; [1 3],[41.55555556 26.44444444] ; [2.44444444 1.55555556],0
d5,1,0.133527,2.251017,[215  44] ; [5 3],[213.4082397  45.5917603] ; [6.5917603 1.4082397],0
a3,1,0.133944,2.246189,[192  68] ; [4 4],[190.14925373  69.85074627] ; [5.85074627 2.14925373],0
d1,1,0.138957,2.189474,[165  96] ; [3 5],[163.00371747  97.99628253] ; [4.99628253 3.00371747],0
a7,1,0.159068,1.983065,[189  71] ; [4 4],[187.23880597  72.76119403] ; [5.76119403 2.23880597],0
a4,1,0.176795,1.824358,[128 132] ; [2 6],[126.11940299 133.88059701] ; [3.88059701 4.11940299],0
b1,1,0.190441,1.714203,[103 158] ; [5 3],[104.78810409 156.21189591] ; [3.21189591 4.78810409],0
s7,1,0.191995,1.702245,[153 100] ; [3 5],[151.2183908 101.7816092] ; [4.7816092 3.2183908],0
p12,1,0.289084,1.123884,[ 37 223] ; [2 5],[ 37.97752809 222.02247191] ; [1.02247191 5.97752809],0
s8,1,0.298742,1.079803,[147 113] ; [6 2],[148.43283582 111.56716418] ; [4.56716418 3.43283582],0
s3,1,0.388232,0.744473,[155 104] ; [6 2],[156.17602996 102.82397004] ; [4.82397004 3.17602996],0
v1,1,0.396709,0.718278,[166  91] ; [4 4],[164.86792453  92.13207547] ; [5.13207547 2.86792453],0
a8,1,0.415925,0.661799,[ 35 205] ; [2 6],[ 35.80645161 204.19354839] ; [1.19354839 6.80645161],0
a2,1,0.433996,0.612105,[ 64 197] ; [1 7],[ 63.0669145 197.9330855] ; [1.9330855 6.0669145],0
n4,1,0.435627,0.607773,[222  39] ; [6 2],[221.21933086  39.78066914] ; [6.78066914 1.21933086],0
b3,1,0.514853,0.424192,[81 92] ; [2 4],[80.21787709 92.78212291] ; [2.78212291 3.21787709],0
b2,1,0.514853,0.424192,[81 92] ; [2 4],[80.21787709 92.78212291] ; [2.78212291 3.21787709],0
s6,1,0.53,0.394392,[193  63] ; [6 1],[193.70342205  62.29657795] ; [5.29657795 1.70342205],0
p5,1,0.571569,0.320065,[ 54 207] ; [1 7],[ 53.36431227 207.63568773] ; [1.63568773 6.36431227],0
u1,1,0.587145,0.294825,[ 53 208] ; [1 7],[ 52.39405204 208.60594796] ; [1.60594796 6.39405204],0
s2,1,0.601133,0.27329,[154 106] ; [4 4],[153.28358209 106.71641791] ; [4.71641791 3.28358209],0
s4,1,0.616582,0.250701,[ 50 205] ; [1 7],[ 49.4486692 205.5513308] ; [1.5513308 6.4486692],0
p9,1,0.618202,0.248402,[240  20] ; [7 1],[239.62686567  20.37313433] ; [7.37313433 0.62686567],0
n5,1,0.703665,0.144687,[214  46] ; [7 1],[214.40298507  45.59701493] ; [6.59701493 1.40298507],0
u2,1,0.709674,0.138602,[41 28] ; [2 2],[40.64383562 28.35616438] ; [2.35616438 1.64383562],0
s5,1,0.731851,0.117419,[109 141] ; [3 5],[108.52713178 141.47286822] ; [3.47286822 4.52713178],0
v3,1,0.767668,0.087277,[109 146] ; [3 5],[108.59315589 146.40684411] ; [3.40684411 4.59315589],0
v2,1,0.818076,0.05291,[149 106] ; [5 3],[149.31558935 105.68441065] ; [4.68441065 3.31558935],0
p3,1,0.847883,0.036795,[171  89] ; [5 3],[170.74626866  89.25373134] ; [5.25373134 2.74626866],0
b4,1,0.859771,0.031211,[155 106] ; [5 3],[155.24163569 105.75836431] ; [4.75836431 3.24163569],0
a6,1,0.872212,0.025873,[169  90] ; [5 3],[168.78651685  90.21348315] ; [5.21348315 2.78651685],0
p7,1,0.924227,0.009046,[221  35] ; [7 1],[221.09090909  34.90909091] ; [6.90909091 1.09090909],0
p10,1,0.939651,0.005732,[228  30] ; [7 1],[227.93233083  30.06766917] ; [7.06766917 0.93233083],0
d2,1,0.948727,0.004135,[127 133] ; [4 4],[127.08955224 132.91044776] ; [3.91044776 4.08955224],0
p8,1,0.955915,0.003056,[192  67] ; [6 2],[192.06741573  66.93258427] ; [5.93258427 2.06741573],0
a5,1,0.975262,0.000962,[197  64] ; [6 2],[196.96282528  64.03717472] ; [6.03717472 1.96282528],0
