Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,158.018373,[ 71 238] ; [243  92],[150.66149068 158.33850932] ; [163.33850932 171.66149068],1
s2,1,0.0,110.586275,[102 203] ; [252  85],[168.17757009 136.82242991] ; [185.82242991 151.17757009],1
s3,1,0.0,71.807667,[128 177] ; [251  84],[180.6171875 124.3828125] ; [198.3828125 136.6171875],1
s6,1,0.0,68.975242,[170 131] ; [286  46],[216.83412322  84.16587678] ; [239.16587678  92.83412322],1
a3,1,0.0,38.224302,[193 116] ; [282  54],[227.55813953  81.44186047] ; [247.44186047  88.55813953],1
s5,1,0.0,31.088969,[ 79 217] ; [157 167],[112.67096774 183.32903226] ; [123.32903226 200.67096774],1
p6,1,3e-06,21.691818,[ 92 213] ; [161 173],[120.75899844 184.24100156] ; [132.24100156 201.75899844],1
p3,1,1.1e-05,19.290614,[137 172] ; [207 129],[164.8 144.2] ; [179.2 156.8],1
u1,1,1.3e-05,19.022055,[ 37 272] ; [ 86 252],[ 58.74343122 250.25656878] ; [ 64.25656878 273.74343122],1
p4,1,0.000153,14.340458,[172 136] ; [236 100],[195.13043478 112.86956522] ; [212.86956522 123.13043478],1
p7,1,0.000155,14.309975,[184 119] ; [246  83],[206.15506329  96.84493671] ; [223.84493671 105.15506329],1
d2,1,0.000191,13.919198,[127 180] ; [189 148],[150.63975155 156.36024845] ; [165.36024845 171.63975155],1
v3,1,0.000239,13.49944,[101 193] ; [160 167],[123.56521739 170.43478261] ; [137.43478261 189.56521739],1
p5,1,0.000364,12.709395,[ 24 285] ; [ 57 276],[ 38.98598131 270.01401869] ; [ 42.01401869 290.98598131],1
a2,1,0.000398,12.543785,[ 57 252] ; [103 235],[ 76.41421947 232.58578053] ; [ 83.58578053 254.41421947],1
n4,1,0.000613,11.737324,[230  79] ; [288  50],[247.39103555  61.60896445] ; [270.60896445  67.39103555],1
n5,1,0.006274,7.469814,[227  80] ; [279  58],[241.21428571  65.78571429] ; [264.78571429  72.21428571],0
a5,1,0.007301,7.197309,[224  85] ; [275  63],[238.31684699  70.68315301] ; [260.68315301  77.31684699],0
r1,1,0.016446,5.754566,[251  56] ; [299  39],[261.78294574  45.21705426] ; [288.21705426  49.78294574],0
n6,1,0.016643,5.733618,[264  44] ; [308  28],[273.56521739  34.43478261] ; [298.43478261  37.56521739],0
a4,1,0.016908,5.70592,[126 183] ; [169 168],[141.10681115 167.89318885] ; [153.89318885 183.10681115],0
