Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00859,6.906087,[16  2] ; [7 8],[12.54545455  5.45454545] ; [10.45454545  4.54545455],0
v4,1,0.026091,4.95,[9 9] ; [13  2],[12.  6.] ; [10.  5.],0
s3,1,0.0315,4.6255,[ 7 11] ; [ 1 14],[ 4.36363636 13.63636364] ; [ 3.63636364 11.36363636],0
d3,1,0.037396,4.332308,[ 8 10] ; [12  3],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
a4,1,0.052821,3.749565,[ 8 10] ; [ 2 13],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
n2,1,0.085804,2.951389,[3 6] ; [6 2],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
p2,1,0.09453,2.795489,[ 8 10] ; [11  4],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
b3,1,0.115993,2.470604,[1 9] ; [3 4],[2.35294118 7.64705882] ; [1.64705882 5.35294118],0
b2,1,0.115993,2.470604,[1 9] ; [3 4],[2.35294118 7.64705882] ; [1.64705882 5.35294118],0
v1,1,0.138011,2.2,[ 8 10] ; [ 3 12],[ 6. 12.] ; [ 5. 10.],0
u3,1,0.196667,1.666955,[4 5] ; [1 6],[2.8125 6.1875] ; [2.1875 4.8125],0
b4,1,0.226942,1.459926,[ 7 11] ; [9 6],[8.72727273 9.27272727] ; [7.27272727 7.72727273],0
n5,1,0.24706,1.33985,[ 6 12] ; [8 7],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
p9,1,0.264521,1.244942,[ 8 10] ; [9 5],[9.5625 8.4375] ; [7.4375 6.5625],0
r4,1,0.265953,1.2375,[ 3 15] ; [ 5 10],[ 4.36363636 13.63636364] ; [ 3.63636364 11.36363636],0
p11,1,0.334746,0.930451,[9 9] ; [10  5],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
p7,1,0.373301,0.792647,[10  8] ; [6 9],[8.72727273 9.27272727] ; [7.27272727 7.72727273],0
d5,1,0.406669,0.688519,[ 7 11] ; [8 7],[8.18181818 9.81818182] ; [6.81818182 8.18181818],0
s7,1,0.410806,0.676467,[ 4 11] ; [ 2 12],[ 3.10344828 11.89655172] ; [ 2.89655172 11.10344828],0
d4,1,0.458318,0.55,[11  7] ; [11  4],[12.  6.] ; [10.  5.],0
p6,1,0.460866,0.543791,[ 4 13] ; [ 2 13],[ 3.1875 13.8125] ; [ 2.8125 12.1875],0
d1,1,0.47546,0.509259,[ 4 14] ; [ 5 10],[ 4.90909091 13.09090909] ; [ 4.09090909 10.90909091],0
p8,1,0.513328,0.427276,[ 6 11] ; [7 8],[ 6.90625 10.09375] ; [6.09375 8.90625],0
p3,1,0.537957,0.379339,[ 3 14] ; [ 4 11],[ 3.71875 13.28125] ; [ 3.28125 11.71875],0
a6,1,0.565659,0.33,[9 9] ; [9 6],[9.81818182 8.18181818] ; [8.18181818 6.81818182],0
n1,1,0.59969,0.275463,[2 7] ; [1 7],[1.58823529 7.41176471] ; [1.41176471 6.58823529],0
a8,1,0.621498,0.243768,[ 2 15] ; [ 1 14],[ 1.59375 15.40625] ; [ 1.40625 13.59375],0
b5,1,0.652605,0.202632,[11  7] ; [8 7],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
a7,1,0.652605,0.202632,[11  7] ; [8 7],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
p4,1,0.652605,0.202632,[ 7 11] ; [7 8],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
s4,1,0.658332,0.195556,[ 2 16] ; [ 1 14],[ 1.63636364 16.36363636] ; [ 1.36363636 13.63636364],0
a2,1,0.658332,0.195556,[ 2 16] ; [ 1 14],[ 1.63636364 16.36363636] ; [ 1.36363636 13.63636364],0
s6,1,0.678187,0.172174,[ 6 12] ; [ 4 11],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
u2,1,0.69627,0.152381,[6 3] ; [4 3],[5.625 3.375] ; [4.375 2.625],0
r3,1,0.74114,0.109127,[11  7] ; [10  5],[11.45454545  6.54545455] ; [9.54545455 5.45454545],0
s8,1,0.7903,0.070714,[ 3 15] ; [ 2 13],[ 2.72727273 15.27272727] ; [ 2.27272727 12.72727273],0
v3,1,0.7903,0.070714,[ 3 15] ; [ 2 13],[ 2.72727273 15.27272727] ; [ 2.27272727 12.72727273],0
v2,1,0.80955,0.058084,[ 4 13] ; [ 3 12],[ 3.71875 13.28125] ; [ 3.28125 11.71875],0
n3,1,0.818821,0.052469,[5 4] ; [4 4],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
s5,1,0.845582,0.037931,[ 2 16] ; [ 2 13],[ 2.18181818 15.81818182] ; [ 1.81818182 13.18181818],0
a3,1,0.848698,0.036397,[9 9] ; [8 7],[9.27272727 8.72727273] ; [7.72727273 7.27272727],0
