Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,91.680791,[136   4] ; [12 26],[116.40449438  23.59550562] ; [31.59550562  6.40449438],1
p11,1,0.0,36.737818,[120  20] ; [15 24],[105.58659218  34.41340782] ; [29.41340782  9.58659218],1
n5,1,0.000153,14.336186,[111  29] ; [19 20],[101.67597765  38.32402235] ; [28.32402235 10.67597765],1
d1,1,0.000185,13.978857,[90 50] ; [12 27],[79.77653631 60.22346369] ; [22.22346369 16.77653631],1
p8,1,0.000501,12.111576,[95 45] ; [14 24],[85.73033708 54.26966292] ; [23.26966292 14.73033708],1
n6,1,0.000745,11.374422,[124  16] ; [25 13],[117.19101124  22.80898876] ; [31.80898876  6.19101124],1
a4,1,0.000782,11.2843,[71 69] ; [ 8 31],[61.7877095 78.2122905] ; [17.2122905 21.7877095],1
s1,1,0.000864,11.098127,[  3 136] ; [ 6 33],[  7.02808989 131.97191011] ; [ 1.97191011 37.02808989],1
r2,1,0.000899,11.024471,[133   6] ; [31  8],[128.06741573  10.93258427] ; [35.93258427  3.06741573],1
p2,1,0.001969,9.578142,[125  15] ; [27 12],[118.88268156  21.11731844] ; [33.11731844  5.88268156],0
d5,1,0.003894,8.332673,[118  21] ; [25 14],[111.66853933  27.33146067] ; [31.33146067  7.66853933],0
d3,1,0.004361,8.12719,[99 41] ; [18 21],[91.50837989 48.49162011] ; [25.49162011 13.50837989],0
s7,1,0.005827,7.603031,[77 53] ; [12 24],[69.69879518 60.30120482] ; [19.30120482 16.69879518],0
a5,1,0.005891,7.583249,[104  36] ; [20 19],[96.98324022 43.01675978] ; [27.01675978 11.98324022],0
d4,1,0.008496,6.925813,[116  23] ; [25 14],[110.10674157  28.89325843] ; [30.89325843  8.10674157],0
s8,1,0.009242,6.775376,[70 70] ; [10 28],[62.92134831 77.07865169] ; [17.07865169 20.92134831],0
s6,1,0.01131,6.415891,[100  35] ; [20 18],[93.6416185 41.3583815] ; [26.3583815 11.6416185],0
r3,1,0.015422,5.867656,[131   8] ; [32  7],[127.28651685  11.71348315] ; [35.71348315  3.28651685],0
p6,1,0.015744,5.83128,[69 69] ; [11 28],[62.37288136 75.62711864] ; [17.62711864 21.37288136],0
a3,1,0.019401,5.465036,[99 40] ; [20 19],[92.92696629 46.07303371] ; [26.07303371 12.92696629],0
s5,1,0.024819,5.036465,[56 78] ; [ 8 29],[50.15204678 83.84795322] ; [13.84795322 23.15204678],0
r4,1,0.030908,4.658052,[126  14] ; [30  9],[122.01117318  17.98882682] ; [33.98882682  5.01117318],0
u2,1,0.034897,4.450188,[27 14] ; [ 7 12],[23.23333333 17.76666667] ; [10.76666667  8.23333333],0
