Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002225,9.353606,[ 1 24] ; [12 19],[ 5.80357143 19.19642857] ; [ 7.19642857 23.80357143],0
r3,1,0.002868,8.889726,[11 13] ; [26  5],[16.14545455  7.85454545] ; [20.85454545 10.14545455],0
u2,1,0.006423,7.427625,[4 9] ; [15  4],[7.71875 5.28125] ; [11.28125  7.71875],0
d3,1,0.007297,7.198451,[ 3 22] ; [14 17],[ 7.58928571 17.41071429] ; [ 9.41071429 21.58928571],0
p2,1,0.021454,5.289522,[11 14] ; [23  8],[15.17857143  9.82142857] ; [18.82142857 12.17857143],0
u3,1,0.033464,4.521896,[ 1 12] ; [ 8 11],[3.65625 9.34375] ; [ 5.34375 13.65625],0
s6,1,0.035437,4.423971,[ 6 19] ; [16 15],[ 9.82142857 15.17857143] ; [12.17857143 18.82142857],0
p11,1,0.041426,4.158504,[11 14] ; [22  9],[14.73214286 10.26785714] ; [18.26785714 12.73214286],0
d5,1,0.074171,3.188209,[ 7 18] ; [16 15],[10.26785714 14.73214286] ; [12.73214286 18.26785714],0
p8,1,0.076645,3.134657,[ 6 18] ; [15 16],[ 9.16363636 14.83636364] ; [11.83636364 19.16363636],0
p4,1,0.087434,2.920997,[ 8 17] ; [17 14],[11.16071429 13.83928571] ; [13.83928571 17.16071429],0
p9,1,0.112435,2.519653,[12 12] ; [22  9],[14.83636364  9.16363636] ; [19.16363636 11.83636364],0
a6,1,0.120442,2.411565,[ 7 18] ; [15 16],[ 9.82142857 15.17857143] ; [12.17857143 18.82142857],0
a5,1,0.124713,2.357105,[14 11] ; [11 20],[11.16071429 13.83928571] ; [13.83928571 17.16071429],0
v2,1,0.164915,1.928571,[ 4 20] ; [10 20],[ 6.22222222 17.77777778] ; [ 7.77777778 22.22222222],0
s4,1,0.196087,1.671278,[ 3 22] ; [ 8 23],[ 4.91071429 20.08928571] ; [ 6.08928571 24.91071429],0
b1,1,0.230493,1.43782,[13 12] ; [21 10],[15.17857143  9.82142857] ; [18.82142857 12.17857143],0
n2,1,0.239113,1.385814,[5 6] ; [9 4],[6.41666667 4.58333333] ; [7.58333333 5.41666667],0
p10,1,0.253568,1.303539,[11 13] ; [19 12],[13.09090909 10.90909091] ; [16.90909091 14.09090909],0
s7,1,0.272186,1.205699,[ 5 19] ; [10 19],[ 6.79245283 17.20754717] ; [ 8.20754717 20.79245283],0
s5,1,0.304078,1.056224,[ 3 22] ; [ 7 24],[ 4.46428571 20.53571429] ; [ 5.53571429 25.46428571],0
n4,1,0.35176,0.867097,[16  9] ; [16 15],[14.28571429 10.71428571] ; [17.71428571 13.28571429],0
n6,1,0.402417,0.701093,[12 12] ; [19 12],[13.52727273 10.47272727] ; [17.47272727 13.52727273],0
a3,1,0.402417,0.701093,[12 12] ; [12 19],[10.47272727 13.52727273] ; [13.52727273 17.47272727],0
p7,1,0.452808,0.563613,[12 13] ; [18 13],[13.39285714 11.60714286] ; [16.60714286 14.39285714],0
n1,1,0.459033,0.548252,[5 6] ; [4 9],[4.125 6.875] ; [4.875 8.125],0
a4,1,0.461119,0.543176,[ 6 19] ; [ 5 26],[ 4.91071429 20.08928571] ; [ 6.08928571 24.91071429],0
p3,1,0.49648,0.462452,[ 6 19] ; [10 21],[ 7.14285714 17.85714286] ; [ 8.85714286 22.14285714],0
a8,1,0.496829,0.461704,[ 5 19] ; [ 4 25],[ 4.0754717 19.9245283] ; [ 4.9245283 24.0754717],0
b3,1,0.520171,0.413555,[ 6 11] ; [ 4 12],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
b2,1,0.520171,0.413555,[ 6 11] ; [ 4 12],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
b4,1,0.530244,0.393923,[15 10] ; [16 15],[13.83928571 11.16071429] ; [17.16071429 13.83928571],0
a7,1,0.530244,0.393923,[10 15] ; [15 16],[11.16071429 13.83928571] ; [13.83928571 17.16071429],0
a1,1,0.55536,0.347802,[ 2 23] ; [ 4 27],[ 2.67857143 22.32142857] ; [ 3.32142857 27.67857143],0
p6,1,0.586591,0.295699,[ 4 20] ; [ 7 24],[ 4.8 19.2] ; [ 6.2 24.8],0
b5,1,0.649953,0.205959,[13 12] ; [18 13],[13.83928571 11.16071429] ; [17.16071429 13.83928571],0
v3,1,0.660689,0.192688,[ 3 22] ; [ 5 26],[ 3.57142857 21.42857143] ; [ 4.42857143 26.57142857],0
d2,1,0.706918,0.141374,[ 5 20] ; [ 5 26],[ 4.46428571 20.53571429] ; [ 5.53571429 25.46428571],0
n3,1,0.729165,0.11988,[6 5] ; [8 5],[6.41666667 4.58333333] ; [7.58333333 5.41666667],0
r1,1,0.76875,0.086442,[ 9 16] ; [10 21],[ 8.48214286 16.51785714] ; [10.51785714 20.48214286],0
s3,1,0.805651,0.060536,[ 7 17] ; [10 21],[ 7.41818182 16.58181818] ; [ 9.58181818 21.41818182],0
p12,1,0.82302,0.050025,[ 2 23] ; [ 2 29],[ 1.78571429 23.21428571] ; [ 2.21428571 28.78571429],0
d4,1,0.832304,0.044837,[13 12] ; [17 14],[13.39285714 11.60714286] ; [16.60714286 14.39285714],0
v1,1,0.853802,0.033955,[ 7 18] ; [ 8 23],[ 6.69642857 18.30357143] ; [ 8.30357143 22.69642857],0
p5,1,0.86347,0.02957,[ 2 22] ; [ 3 28],[ 2.18181818 21.81818182] ; [ 2.81818182 28.18181818],0
s8,1,0.876666,0.024086,[ 6 19] ; [ 8 23],[ 6.25 18.75] ; [ 7.75 23.25],0
s2,1,0.900473,0.015641,[ 6 19] ; [ 7 24],[ 5.80357143 19.19642857] ; [ 7.19642857 23.80357143],0
n5,1,0.968036,0.001606,[16  9] ; [20 11],[16.07142857  8.92857143] ; [19.92857143 11.07142857],0
