Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.123172,[ 9 23] ; [69 21],[20.45901639 11.54098361] ; [57.54098361 32.45901639],1
s2,1,3e-06,21.769295,[ 7 26] ; [64 30],[18.4488189 14.5511811] ; [52.5511811 41.4488189],1
s3,1,3.6e-05,17.092037,[10 22] ; [68 26],[19.80952381 12.19047619] ; [58.19047619 35.80952381],1
s8,1,9.5e-05,15.243034,[10 23] ; [65 29],[19.48818898 13.51181102] ; [55.51181102 38.48818898],1
s5,1,0.004139,8.221874,[ 8 24] ; [49 41],[14.95081967 17.04918033] ; [42.04918033 47.95081967],0
p4,1,0.026319,4.934943,[19 14] ; [73 21],[23.90551181  9.09448819] ; [68.09448819 25.90551181],0
n1,1,0.029345,4.747253,[2 7] ; [12  6],[4.66666667 4.33333333] ; [9.33333333 8.66666667],0
p6,1,0.031345,4.633944,[ 8 24] ; [43 49],[13.16129032 18.83870968] ; [37.83870968 54.16129032],0
r3,1,0.071198,3.255186,[28  5] ; [89  5],[30.4015748  2.5984252] ; [86.5984252  7.4015748],0
r4,1,0.082287,3.019144,[25  8] ; [83 11],[28.06299213  4.93700787] ; [79.93700787 14.06299213],0
n3,1,0.083265,3.0,[8 1] ; [10  8],[6. 3.] ; [12.  6.],0
p9,1,0.083935,2.987019,[24  9] ; [80 13],[27.23809524  5.76190476] ; [76.76190476 16.23809524],0
u2,1,0.100752,2.693603,[4 7] ; [14  7],[6.1875 4.8125] ; [11.8125  9.1875],0
a4,1,0.121049,2.403697,[11 22] ; [46 48],[14.81102362 18.18897638] ; [42.18897638 51.81102362],0
d4,1,0.16134,1.961618,[24  9] ; [78 15],[26.71428571  6.28571429] ; [75.28571429 17.71428571],0
d3,1,0.17661,1.82592,[12 21] ; [47 47],[15.33070866 17.66929134] ; [43.66929134 50.33070866],0
a2,1,0.181287,1.787044,[ 1 32] ; [10 84],[ 2.85826772 30.14173228] ; [ 8.14173228 85.85826772],0
d5,1,0.193713,1.68915,[23 10] ; [75 18],[25.66666667  7.33333333] ; [72.33333333 20.66666667],0
r1,1,0.210786,1.566019,[22 11] ; [73 21],[24.68503937  8.31496063] ; [70.31496063 23.68503937],0
a3,1,0.210786,1.566019,[22 11] ; [73 21],[24.68503937  8.31496063] ; [70.31496063 23.68503937],0
v3,1,0.243584,1.359732,[12 20] ; [45 46],[14.82926829 17.17073171] ; [42.17073171 48.82926829],0
d1,1,0.27884,1.172736,[15 18] ; [53 41],[17.66929134 15.33070866] ; [50.33070866 43.66929134],0
b1,1,0.27884,1.172736,[15 18] ; [53 41],[17.66929134 15.33070866] ; [50.33070866 43.66929134],0
v4,1,0.278924,1.172325,[28  5] ; [86  8],[29.62204724  3.37795276] ; [84.37795276  9.62204724],0
a8,1,0.287895,1.129437,[ 2 30] ; [12 79],[ 3.64227642 28.35772358] ; [10.35772358 80.64227642],0
a5,1,0.326447,0.96294,[24  9] ; [76 18],[25.98425197  7.01574803] ; [74.01574803 19.98425197],0
p10,1,0.340923,0.906958,[24  9] ; [75 18],[25.92857143  7.07142857] ; [73.07142857 19.92857143],0
p5,1,0.358742,0.842293,[ 4 29] ; [18 76],[ 5.71653543 27.28346457] ; [16.28346457 77.71653543],0
n5,1,0.376212,0.783042,[23 10] ; [72 21],[24.88095238  8.11904762] ; [70.11904762 22.88095238],0
n2,1,0.386476,0.75,[5 4] ; [13  5],[6. 3.] ; [12.  6.],0
u3,1,0.388476,0.743706,[4 7] ; [11 10],[5.15625 5.84375] ; [ 9.84375 11.15625],0
r2,1,0.38998,0.739003,[28  5] ; [84  9],[29.33333333  3.66666667] ; [82.66666667 10.33333333],0
p8,1,0.504836,0.444756,[19 14] ; [59 33],[20.592 12.408] ; [57.408 34.592],0
n6,1,0.508728,0.436684,[26  7] ; [78 15],[27.23809524  5.76190476] ; [76.76190476 16.23809524],0
v2,1,0.52454,0.404958,[19 14] ; [46 44],[17.43902439 15.56097561] ; [47.56097561 42.43902439],0
