Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,201.115932,[486  51] ; [ 72 109],[417.33426184 119.66573816] ; [140.66573816  40.33426184],1
n6,1,0.0,78.261582,[487  49] ; [113  67],[449.16201117  86.83798883] ; [150.83798883  29.16201117],1
p4,1,0.0,26.481251,[353 183] ; [ 79 100],[323.84895105 212.15104895] ; [108.15104895  70.84895105],1
p11,1,2e-06,22.988175,[438 100] ; [116  65],[414.53685675 123.46314325] ; [139.46314325  41.53685675],1
v1,1,3e-06,21.603005,[314 210] ; [ 70 106],[287.45142857 236.54857143] ; [96.54857143 79.45142857],1
p9,1,1.1e-05,19.395206,[464  67] ; [129  47],[445.37906648  85.62093352] ; [147.62093352  28.37906648],1
p10,1,1.3e-05,19.042342,[454  79] ; [124  52],[434.5190409  98.4809591] ; [143.4809591  32.5190409],1
p7,1,5.8e-05,16.161096,[350 171] ; [89 88],[327.67765043 193.32234957] ; [111.32234957  65.67765043],1
s8,1,0.000104,15.064362,[267 267] ; [ 60 120],[244.56302521 289.43697479] ; [82.43697479 97.56302521],1
p2,1,0.000164,14.209664,[461  73] ; [132  46],[444.75  89.25] ; [148.25  29.75],1
a8,1,0.000335,12.865464,[ 76 408] ; [  8 157],[ 62.6440678 421.3559322] ; [ 21.3559322 143.6440678],1
p3,1,0.000375,12.651723,[293 242] ; [ 71 109],[272.36363636 262.63636364] ; [91.63636364 88.36363636],1
s6,1,0.000551,11.933983,[377 148] ; [103  75],[358.46372688 166.53627312] ; [121.53627312  56.46372688],1
s7,1,0.000641,11.654364,[274 239] ; [ 66 106],[254.62773723 258.37226277] ; [85.37226277 86.62773723],1
v3,1,0.000653,11.61827,[228 290] ; [ 49 119],[209.16326531 308.83673469] ; [ 67.83673469 100.16326531],1
p5,1,0.000753,11.354523,[ 69 464] ; [  7 171],[ 56.97327707 476.02672293] ; [ 19.02672293 158.97327707],1
p6,1,0.002717,8.988705,[209 318] ; [ 48 129],[192.38494318 334.61505682] ; [ 64.61505682 112.38494318],0
a2,1,0.003541,8.505142,[161 377] ; [ 34 147],[145.91098748 392.08901252] ; [ 49.08901252 131.91098748],0
p8,1,0.003594,8.478126,[288 238] ; [ 75 103],[271.21875 254.78125] ; [91.78125 86.21875],0
a3,1,0.004764,7.96675,[420 116] ; [123  58],[405.92468619 130.07531381] ; [137.07531381  43.92468619],0
a5,1,0.005494,7.709163,[431 107] ; [127  54],[417.52990264 120.47009736] ; [140.47009736  40.52990264],0
s3,1,0.014185,6.015012,[311 220] ; [86 93],[296.91126761 234.08873239] ; [100.08873239  78.91126761],0
u1,1,0.016735,5.72396,[122 416] ; [ 26 155],[110.74269819 427.25730181] ; [ 37.25730181 143.74269819],0
s2,1,0.018357,5.561747,[292 240] ; [ 81 100],[278.31136045 253.68863955] ; [94.68863955 86.31136045],0
n2,1,0.02535,4.999811,[90 26] ; [33 21],[83.92941176 32.07058824] ; [39.07058824 14.92941176],0
p12,1,0.027339,4.86926,[ 44 489] ; [  6 172],[ 37.48241913 495.51758087] ; [ 12.51758087 165.48241913],0
a4,1,0.033231,4.533848,[283 253] ; [ 79 102],[270.61645746 265.38354254] ; [91.38354254 89.61645746],0
r1,1,0.039131,4.25518,[452  83] ; [140  40],[442.96503497  92.03496503] ; [149.03496503  30.96503497],0
u4,1,0.052109,3.772271,[ 17 521] ; [  1 180],[ 13.46870654 524.53129346] ; [  4.53129346 176.46870654],0
v4,1,0.052573,3.757434,[519  18] ; [167  12],[514.5  22.5] ; [171.5   7.5],0
b4,1,0.059899,3.540167,[308 230] ; [118  63],[318.75938804 219.24061196] ; [107.24061196  73.75938804],0
s4,1,0.063347,3.447519,[ 82 446] ; [ 39 142],[ 90.1100141 437.8899859] ; [ 30.8899859 150.1100141],0
a6,1,0.075291,3.163739,[382 155] ; [116  65],[372.45961003 164.54038997] ; [125.54038997  55.45961003],0
r4,1,0.095638,2.776822,[502  36] ; [162  19],[496.84561892  41.15438108] ; [167.15438108  13.84561892],0
b2,1,0.107353,2.592762,[131 203] ; [29 67],[124.27906977 209.72093023] ; [35.72093023 60.27906977],0
b3,1,0.107353,2.592762,[131 203] ; [29 67],[124.27906977 209.72093023] ; [35.72093023 60.27906977],0
u3,1,0.109506,2.561342,[68 50] ; [40 17],[72.82285714 45.17714286] ; [35.17714286 21.82285714],0
d2,1,0.131686,2.272518,[300 234] ; [90 91],[291.27272727 242.72727273] ; [98.72727273 82.27272727],0
n1,1,0.15342,2.037911,[50 63] ; [18 37],[45.73809524 67.26190476] ; [22.26190476 32.73809524],0
a1,1,0.170819,1.875743,[ 32 506] ; [  6 175],[ 28.43393602 509.56606398] ; [  9.56606398 171.43393602],0
d3,1,0.206087,1.598705,[396 141] ; [142  39],[402.37604457 134.62395543] ; [135.62395543  45.37604457],0
s5,1,0.230729,1.436361,[188 328] ; [ 54 118],[181.5 334.5] ; [ 60.5 111.5],0
s1,1,0.2364,1.401935,[ 14 514] ; [  8 173],[ 16.38363893 511.61636107] ; [  5.61636107 175.38363893],0
a7,1,0.305518,1.049951,[394 142] ; [140  41],[399.19665272 136.80334728] ; [134.80334728  46.19665272],0
d1,1,0.308037,1.039074,[387 151] ; [123  58],[381.61335188 156.38664812] ; [128.38664812  52.61335188],0
b1,1,0.332193,0.940332,[209 329] ; [ 63 118],[203.527121 334.472879] ; [ 68.472879 112.527121],0
d4,1,0.386979,0.748414,[474  63] ; [164  17],[477.16713092  59.83286908] ; [160.83286908  20.16713092],0
b5,1,0.75948,0.093736,[326 212] ; [112  69],[327.73852573 210.26147427] ; [110.26147427  70.73852573],0
p1,1,0.77135,0.084454,[ 43 493] ; [ 13 164],[ 42.09817672 493.90182328] ; [ 13.90182328 163.09817672],0
r3,1,0.798729,0.065021,[511  23] ; [174   7],[511.59440559  22.40559441] ; [173.40559441   7.59440559],0
n3,1,0.811262,0.057025,[81 34] ; [39 15],[81.65680473 33.34319527] ; [38.34319527 15.65680473],0
v2,1,0.914069,0.011644,[300 217] ; [99 73],[299.39477504 217.60522496] ; [99.60522496 72.39477504],0
u2,1,0.941892,0.005313,[65 52] ; [32 25],[65.22413793 51.77586207] ; [31.77586207 25.22413793],0
