Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.553352,[32  6] ; [ 5 19],[22.67741935 15.32258065] ; [14.32258065  9.67741935],1
p11,1,0.002955,8.835028,[28 10] ; [ 9 16],[22.31746032 15.68253968] ; [14.68253968 10.31746032],0
p6,1,0.004775,7.962632,[13 25] ; [ 1 24],[ 8.44444444 29.55555556] ; [ 5.55555556 19.44444444],0
a6,1,0.013164,6.146947,[29  8] ; [12 13],[24.46774194 12.53225806] ; [16.53225806  8.46774194],0
n5,1,0.027897,4.834421,[31  7] ; [14 11],[27.14285714 10.85714286] ; [17.85714286  7.14285714],0
s8,1,0.031268,4.638198,[19 18] ; [ 6 19],[14.91935484 22.08064516] ; [10.08064516 14.91935484],0
a5,1,0.052184,3.769846,[30  8] ; [14 11],[26.53968254 11.46031746] ; [17.46031746  7.53968254],0
v2,1,0.05489,3.685436,[26 10] ; [12 13],[22.42622951 13.57377049] ; [15.57377049  9.42622951],0
a8,1,0.058488,3.579741,[ 1 33] ; [ 4 19],[ 2.98245614 31.01754386] ; [ 2.01754386 20.98245614],0
p8,1,0.073204,3.209684,[14 24] ; [ 4 21],[10.85714286 27.14285714] ; [ 7.14285714 17.85714286],0
r3,1,0.073875,3.194752,[34  4] ; [18  7],[31.36507937  6.63492063] ; [20.63492063  4.36507937],0
a1,1,0.092586,2.828821,[ 7 31] ; [ 1 24],[ 4.82539683 33.17460317] ; [ 3.17460317 21.82539683],0
s5,1,0.111131,2.538063,[13 25] ; [ 4 21],[10.25396825 27.74603175] ; [ 6.74603175 18.25396825],0
n4,1,0.116822,2.459416,[31  7] ; [16  9],[28.34920635  9.65079365] ; [18.65079365  6.34920635],0
u3,1,0.12707,2.327943,[6 5] ; [7 1],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
d1,1,0.134196,2.243282,[21 17] ; [ 9 16],[18.0952381 19.9047619] ; [11.9047619 13.0952381],0
p1,1,0.145187,2.122105,[ 6 32] ; [ 1 24],[ 4.22222222 33.77777778] ; [ 2.77777778 22.22222222],0
