Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,98.675182,[269  46] ; [61 89],[223.5483871  91.4516129] ; [106.4516129  43.5483871],1
n6,1,0.0,29.910145,[266  48] ; [93 57],[242.94396552  71.05603448] ; [116.05603448  33.94396552],1
p10,1,9e-06,19.662654,[246  67] ; [87 61],[226.09327549  86.90672451] ; [106.90672451  41.09327549],1
s7,1,0.000221,13.645422,[127 173] ; [ 35 109],[109.45945946 190.54054054] ; [52.54054054 91.45945946],1
p9,1,0.000341,12.830039,[254  56] ; [99 49],[238.930131  71.069869] ; [114.069869  33.930131],1
v1,1,0.000855,11.118365,[144 163] ; [ 44 101],[127.69026549 179.30973451] ; [60.30973451 84.69026549],1
a5,1,0.001433,10.162565,[228  88] ; [86 64],[212.92703863 103.07296137] ; [101.07296137  48.92703863],0
s6,1,0.001607,9.951315,[189 123] ; [67 82],[173.25813449 138.74186551] ; [82.74186551 66.25813449],0
n1,1,0.002608,9.063506,[41 40] ; [13 40],[32.64179104 48.35820896] ; [21.35820896 31.64179104],0
a8,1,0.003651,8.449588,[ 54 237] ; [ 11 129],[ 43.8863109 247.1136891] ; [ 21.1136891 118.8863109],0
p5,1,0.006335,7.452359,[ 34 279] ; [  5 145],[ 26.3650108 286.6349892] ; [ 12.6349892 137.3650108],0
p4,1,0.011239,6.427191,[174 141] ; [64 86],[161.22580645 153.77419355] ; [76.77419355 73.22580645],0
r2,1,0.01133,6.412752,[288  25] ; [123  23],[280.26797386  32.73202614] ; [130.73202614  15.26797386],0
a6,1,0.013708,6.075425,[216 100] ; [85 65],[204.11158798 111.88841202] ; [96.88841202 53.11158798],0
s8,1,0.017592,5.636313,[113 202] ; [ 37 112],[101.83189655 213.16810345] ; [ 48.16810345 100.83189655],0
r4,1,0.022079,5.239522,[266  50] ; [113  37],[257.00429185  58.99570815] ; [121.99570815  28.00429185],0
s2,1,0.024911,5.030069,[128 186] ; [ 45 105],[117.07327586 196.92672414] ; [55.92672414 94.07327586],0
u1,1,0.034794,4.455266,[ 50 266] ; [ 13 137],[ 42.72103004 273.27896996] ; [ 20.27896996 129.72103004],0
p8,1,0.042564,4.11262,[151 159] ; [58 92],[140.84782609 169.15217391] ; [68.15217391 81.84782609],0
p6,1,0.047059,3.943275,[103 208] ; [ 35 111],[ 93.91247265 217.08752735] ; [ 44.08752735 101.91247265],0
d2,1,0.054136,3.708497,[147 167] ; [56 94],[137.375 176.625] ; [65.625 84.375],0
b3,1,0.054401,3.700339,[ 81 114] ; [25 60],[ 73.82142857 121.17857143] ; [32.17857143 52.82142857],0
b2,1,0.054401,3.700339,[ 81 114] ; [25 60],[ 73.82142857 121.17857143] ; [32.17857143 52.82142857],0
a3,1,0.054574,3.69504,[218  96] ; [90 59],[208.8812095 105.1187905] ; [99.1187905 49.8812095],0
s3,1,0.060989,3.510272,[158 157] ; [60 87],[148.63636364 166.36363636] ; [69.36363636 77.63636364],0
d1,1,0.086498,2.938371,[168 148] ; [67 83],[159.35622318 156.64377682] ; [75.64377682 74.35622318],0
s1,1,0.129165,2.302507,[  8 303] ; [  8 142],[ 10.79392625 300.20607375] ; [  5.20607375 144.79392625],0
a2,1,0.133745,2.248493,[ 67 249] ; [ 23 127],[ 61.03004292 254.96995708] ; [ 28.96995708 121.03004292],0
