Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,87.546829,[117  40] ; [16 88],[80.00383142 76.99616858] ; [52.99616858 51.00383142],1
d5,1,0.0,82.276271,[155   1] ; [57 47],[127.2  28.8] ; [84.8 19.2],1
d3,1,0.0,69.330832,[139  18] ; [41 62],[108.69230769  48.30769231] ; [71.30769231 31.69230769],1
d4,1,0.0,63.374621,[152   4] ; [61 43],[127.8  28.2] ; [85.2 18.8],1
a5,1,0.0,36.610348,[139  19] ; [57 47],[118.19847328  39.80152672] ; [77.80152672 26.19847328],1
u1,1,0.0,26.320966,[ 49 109] ; [ 5 99],[ 32.5648855 125.4351145] ; [21.4351145 82.5648855],1
a2,1,1e-06,25.026103,[ 57 101] ; [ 9 95],[ 39.80152672 118.19847328] ; [26.19847328 77.80152672],1
a4,1,2e-06,22.517831,[95 63] ; [31 72],[76.27586207 81.72413793] ; [49.72413793 53.27586207],1
a3,1,5e-06,20.714103,[131  25] ; [61 43],[115.2  40.8] ; [76.8 27.2],1
p9,1,0.000303,13.051643,[149   8] ; [84 20],[140.15708812  16.84291188] ; [92.84291188 11.15708812],1
r2,1,0.00359,8.480222,[154   2] ; [94  9],[149.37451737   6.62548263] ; [98.62548263  4.37451737],0
n4,1,0.008345,6.95787,[144  14] ; [83 21],[136.89312977  21.10687023] ; [90.10687023 13.89312977],0
s3,1,0.023067,5.163451,[98 58] ; [50 53],[89.14285714 66.85714286] ; [58.85714286 44.14285714],0
p4,1,0.023567,5.126225,[129  28] ; [73 31],[121.50957854  35.49042146] ; [80.49042146 23.50957854],0
r4,1,0.030083,4.704538,[150   8] ; [91 13],[145.33587786  12.66412214] ; [95.66412214  8.33587786],0
v1,1,0.032825,4.554863,[108  47] ; [59 45],[99.94208494 55.05791506] ; [67.05791506 36.94208494],0
s2,1,0.040127,4.212495,[95 62] ; [49 54],[86.95384615 70.04615385] ; [57.04615385 45.95384615],0
r1,1,0.044102,4.052642,[133  25] ; [77 27],[126.64122137  31.35877863] ; [83.35877863 20.64122137],0
s8,1,0.044539,4.03601,[94 62] ; [49 54],[86.13127413 69.86872587] ; [56.86872587 46.13127413],0
u3,1,0.046866,3.950203,[20  7] ; [21 21],[16.04347826 10.95652174] ; [24.95652174 17.04347826],0
v4,1,0.052032,3.774727,[153   4] ; [96  8],[149.7816092   7.2183908] ; [99.2183908  4.7816092],0
a7,1,0.068383,3.321402,[122  36] ; [69 34],[115.62452107  42.37547893] ; [75.37547893 27.62452107],0
a6,1,0.079825,3.06847,[108  48] ; [61 43],[101.4  54.6] ; [67.6 36.4],0
a1,1,0.120827,2.406564,[ 16 142] ; [ 5 99],[ 12.66412214 145.33587786] ; [ 8.33587786 95.66412214],0
p10,1,0.1239,2.367309,[136  21] ; [81 21],[131.54054054  25.45945946] ; [85.45945946 16.54054054],0
p3,1,0.131851,2.27057,[105  52] ; [60 44],[99.25287356 57.74712644] ; [65.74712644 38.25287356],0
p7,1,0.148825,2.084254,[124  30] ; [90 13],[128.23346304  25.76653696] ; [85.76653696 17.23346304],0
p2,1,0.160312,1.971285,[144  14] ; [89 15],[140.51145038  17.48854962] ; [92.48854962 11.51145038],0
p5,1,0.167605,1.904235,[ 27 131] ; [25 79],[ 31.35877863 126.64122137] ; [20.64122137 83.35877863],0
r3,1,0.183763,1.76693,[154   3] ; [99  5],[152.18773946   4.81226054] ; [100.81226054   3.18773946],0
n5,1,0.188164,1.731932,[134  24] ; [80 22],[130.04615385  27.95384615] ; [83.95384615 18.04615385],0
b5,1,0.191554,1.705626,[89 69] ; [67 37],[94.07633588 63.92366412] ; [61.92366412 42.07633588],0
n6,1,0.21194,1.558124,[145  11] ; [92 12],[142.2  13.8] ; [94.8  9.2],0
p8,1,0.215828,1.531899,[109  47] ; [65 39],[104.4  51.6] ; [69.6 34.4],0
