Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,261.032896,[ 68 222] ; [288  40],[167.05501618 122.94498382] ; [188.94498382 139.05501618],1
s7,1,0.0,136.360493,[ 79 196] ; [243  74],[149.5777027 125.4222973] ; [172.4222973 144.5777027],1
s6,1,0.0,109.843683,[142 143] ; [288  37],[200.90163934  84.09836066] ; [229.09836066  95.90163934],1
s8,1,0.0,99.50592,[ 77 212] ; [221 110],[138.90645161 150.09354839] ; [159.09354839 171.90645161],1
s5,1,0.0,61.521911,[ 58 228] ; [161 154],[104.21630616 181.78369384] ; [114.78369384 200.21630616],1
a3,1,2e-05,18.224913,[187 102] ; [264  66],[210.5638126  78.4361874] ; [240.4361874  89.5638126],1
p6,1,3.9e-05,16.930128,[ 90 199] ; [155 172],[114.94318182 174.05681818] ; [130.05681818 196.94318182],1
s4,1,8.8e-05,15.37824,[ 29 259] ; [ 71 255],[ 46.90553746 241.09446254] ; [ 53.09446254 272.90553746],1
d1,1,0.000393,12.564497,[155 136] ; [223 109],[176.56179775 114.43820225] ; [201.43820225 130.56179775],1
d4,1,0.001124,10.611015,[221  69] ; [285  45],[236.67741935  53.32258065] ; [269.32258065  60.67741935],0
r2,1,0.001858,9.685017,[263  24] ; [322   9],[271.67475728  15.32524272] ; [313.32524272  17.67475728],0
p4,1,0.002779,8.947282,[169 120] ; [231  99],[186.75282714 102.24717286] ; [213.24717286 116.75282714],0
d2,1,0.003795,8.379485,[130 158] ; [188 143],[147.95476575 140.04523425] ; [170.04523425 160.95476575],0
u1,1,0.005612,7.671005,[ 45 246] ; [ 81 251],[ 58.85393258 232.14606742] ; [ 67.14606742 264.85393258],0
u4,1,0.006078,7.527116,[  3 288] ; [ 16 316],[  8.87479936 282.12520064] ; [ 10.12520064 321.87479936],0
r4,1,0.008411,6.943876,[256  35] ; [312  20],[265.30979133  25.69020867] ; [302.69020867  29.30979133],0
a4,1,0.009103,6.802423,[119 168] ; [172 159],[135.1407767 151.8592233] ; [155.8592233 175.1407767],0
p7,1,0.009296,6.765109,[172 115] ; [224  96],[187.23558484  99.76441516] ; [208.76441516 111.23558484],0
r1,1,0.01042,6.561625,[221  68] ; [280  51],[233.53064516  55.46935484] ; [267.46935484  63.53064516],0
p12,1,0.012535,6.233535,[ 18 270] ; [ 40 290],[ 27.02912621 260.97087379] ; [ 30.97087379 299.02912621],0
p9,1,0.013305,6.128067,[240  46] ; [297  31],[250.13355049  35.86644951] ; [286.86644951  41.13355049],0
v3,1,0.013426,6.112077,[110 177] ; [155 166],[125.09046053 161.90953947] ; [139.90953947 181.09046053],0
p10,1,0.015334,5.877629,[237  51] ; [294  36],[247.45631068  40.54368932] ; [283.54368932  46.45631068],0
p2,1,0.018787,5.521205,[233  57] ; [288  42],[243.69354839  46.30645161] ; [277.30645161  52.69354839],0
a2,1,0.0252,5.010082,[ 63 228] ; [ 98 234],[ 75.20224719 215.79775281] ; [ 85.79775281 246.20224719],0
p3,1,0.026996,4.891088,[143 147] ; [192 138],[156.69354839 133.30645161] ; [178.30645161 151.69354839],0
n4,1,0.032013,4.59782,[254  37] ; [306  25],[261.99356913  29.00643087] ; [298.00643087  32.99356913],0
v1,1,0.0399,4.222137,[153 133] ; [200 124],[165.50491803 120.49508197] ; [187.49508197 136.50491803],0
s1,1,0.047454,3.929232,[  5 283] ; [ 15 313],[  9.35064935 278.64935065] ; [ 10.64935065 317.35064935],0
r3,1,0.072378,3.228253,[267  22] ; [317  14],[272.21935484  16.78064516] ; [311.78064516  19.21935484],0
a7,1,0.079015,3.085038,[193  97] ; [241  89],[203.  87.] ; [231.  99.],0
v4,1,0.089536,2.882694,[273  18] ; [321  11],[277.45425361  13.54574639] ; [316.54574639  15.45425361],0
u3,1,0.101527,2.681397,[51 53] ; [42 26],[56.23255814 47.76744186] ; [36.76744186 31.23255814],0
d3,1,0.101782,2.677397,[186 105] ; [232  99],[195.55948553  95.44051447] ; [222.44051447 108.55948553],0
v2,1,0.113879,2.499552,[149 133] ; [189 130],[158.59567388 123.40432612] ; [179.40432612 139.59567388],0
