Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.1e-05,18.115374,[18  8] ; [20 64],[ 8.98181818 17.01818182] ; [29.01818182 54.98181818],1
p4,1,0.000152,14.346119,[16 12] ; [17 69],[ 8.10526316 19.89473684] ; [24.89473684 61.10526316],1
p6,1,0.000764,11.326728,[10 19] ; [ 7 76],[ 4.40178571 24.59821429] ; [12.59821429 70.40178571],1
p11,1,0.002965,8.828926,[20  9] ; [32 54],[13.11304348 15.88695652] ; [38.88695652 47.11304348],0
v4,1,0.006446,7.421099,[22  5] ; [43 40],[15.95454545 11.04545455] ; [49.04545455 33.95454545],0
p5,1,0.010357,6.572506,[ 5 23] ; [ 3 82],[ 1.98230088 26.01769912] ; [ 6.01769912 78.98230088],0
p3,1,0.016321,5.767957,[12 17] ; [16 68],[ 7.18584071 21.81415929] ; [20.81415929 63.18584071],0
p2,1,0.021757,5.26511,[20  8] ; [39 45],[14.75 13.25] ; [44.25 39.75],0
a3,1,0.033524,4.518822,[11 18] ; [51 33],[15.91150442 13.08849558] ; [46.08849558 37.91150442],0
p10,1,0.047988,3.910396,[17 10] ; [35 50],[12.53571429 14.46428571] ; [39.46428571 45.53571429],0
n6,1,0.054973,3.682899,[20  8] ; [42 41],[15.63963964 12.36036036] ; [46.36036036 36.63963964],0
p12,1,0.085983,2.948011,[ 2 26] ; [ 1 85],[ 0.73684211 27.26315789] ; [ 2.26315789 83.73684211],0
d1,1,0.109235,2.565248,[ 7 22] ; [35 51],[10.59130435 18.40869565] ; [31.40869565 54.59130435],0
b3,1,0.116208,2.467694,[ 3 13] ; [19 28],[ 5.58730159 10.41269841] ; [16.41269841 30.58730159],0
b2,1,0.116208,2.467694,[ 3 13] ; [19 28],[ 5.58730159 10.41269841] ; [16.41269841 30.58730159],0
a4,1,0.117049,2.456375,[ 6 23] ; [31 54],[ 9.4122807 19.5877193] ; [27.5877193 57.4122807],0
n2,1,0.127388,2.324047,[11  5] ; [18 21],[8.43636364 7.56363636] ; [20.56363636 18.43636364],0
a7,1,0.146383,2.109542,[18 11] ; [39 45],[14.62831858 14.37168142] ; [42.37168142 41.62831858],0
u3,1,0.171374,1.870882,[ 7 10] ; [ 8 27],[ 4.90384615 12.09615385] ; [10.09615385 24.90384615],0
s2,1,0.175245,1.83749,[ 9 19] ; [17 69],[ 6.38596491 21.61403509] ; [19.61403509 66.38596491],0
d2,1,0.178136,1.813105,[ 8 21] ; [35 49],[11.03539823 17.96460177] ; [31.96460177 52.03539823],0
r3,1,0.22934,1.44495,[17 11] ; [39 43],[14.25454545 13.74545455] ; [41.74545455 40.25454545],0
d4,1,0.249424,1.326528,[16 13] ; [57 28],[18.57017544 10.42982456] ; [54.42982456 30.57017544],0
b4,1,0.300278,1.07296,[14 15] ; [51 35],[16.39130435 12.60869565] ; [48.60869565 37.39130435],0
p9,1,0.305907,1.048267,[17 12] ; [39 43],[14.63063063 14.36936937] ; [41.36936937 40.63063063],0
u2,1,0.344354,0.894156,[9 9] ; [12 21],[ 7.41176471 10.58823529] ; [13.58823529 19.41176471],0
r1,1,0.350811,0.870521,[ 6 22] ; [26 59],[ 7.92920354 20.07079646] ; [24.07079646 60.92920354],0
s7,1,0.378228,0.776453,[ 7 22] ; [13 65],[ 5.42056075 23.57943925] ; [14.57943925 63.42056075],0
n1,1,0.379138,0.773494,[ 6 10] ; [10 29],[ 4.65454545 11.34545455] ; [11.34545455 27.65454545],0
s1,1,0.416596,0.659899,[ 3 26] ; [ 5 80],[ 2.03508772 26.96491228] ; [ 5.96491228 79.03508772],0
a6,1,0.421583,0.645899,[17 12] ; [43 43],[15.13043478 13.86956522] ; [44.86956522 41.13043478],0
n4,1,0.435722,0.607524,[15 14] ; [51 34],[16.78947368 12.21052632] ; [49.21052632 35.78947368],0
s4,1,0.436305,0.60598,[ 6 22] ; [13 73],[ 4.66666667 23.33333333] ; [14.33333333 71.66666667],0
p1,1,0.455485,0.556967,[ 4 24] ; [ 8 78],[ 2.94736842 25.05263158] ; [ 9.05263158 76.94736842],0
s5,1,0.459941,0.546037,[ 3 25] ; [14 71],[ 4.21238938 23.78761062] ; [12.78761062 72.21238938],0
b1,1,0.481279,0.495963,[14 15] ; [48 38],[15.63478261 13.36521739] ; [46.36521739 39.63478261],0
n3,1,0.551149,0.355263,[7 9] ; [20 18],[8. 8.] ; [19. 19.],0
b5,1,0.556451,0.345886,[17 12] ; [45 41],[15.63478261 13.36521739] ; [46.36521739 39.63478261],0
u1,1,0.559227,0.341045,[ 3 26] ; [ 6 80],[ 2.26956522 26.73043478] ; [ 6.73043478 79.26956522],0
v2,1,0.560842,0.338249,[ 8 20] ; [28 53],[ 9.24770642 18.75229358] ; [26.75229358 54.24770642],0
n5,1,0.580449,0.30551,[15 13] ; [50 34],[16.25 11.75] ; [48.75 35.25],0
v3,1,0.595688,0.281549,[ 6 21] ; [15 70],[ 5.0625 21.9375] ; [15.9375 69.0625],0
s3,1,0.619121,0.247105,[ 7 20] ; [26 58],[ 8.02702703 18.97297297] ; [24.97297297 59.02702703],0
a2,1,0.624524,0.23956,[ 4 25] ; [ 9 77],[ 3.27826087 25.72173913] ; [ 9.72173913 76.27826087],0
a1,1,0.727583,0.121342,[ 3 26] ; [11 75],[ 3.53043478 25.46956522] ; [10.46956522 75.53043478],0
d3,1,0.750971,0.100717,[16 13] ; [44 41],[15.26315789 13.73684211] ; [44.73684211 40.26315789],0
r2,1,0.751388,0.100368,[16 10] ; [47 34],[15.30841121 10.69158879] ; [47.69158879 33.30841121],0
a5,1,0.788011,0.072304,[14 15] ; [44 42],[14.62608696 14.37391304] ; [43.37391304 42.62608696],0
v1,1,0.806846,0.059779,[ 8 19] ; [27 57],[ 8.51351351 18.48648649] ; [26.48648649 57.51351351],0
s6,1,0.959723,0.00255,[ 8 20] ; [25 61],[ 8.10526316 19.89473684] ; [24.89473684 61.10526316],0
d5,1,0.966291,0.001786,[18 11] ; [53 33],[17.90434783 11.09565217] ; [53.09565217 32.90434783],0
