Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,34.056576,[302  26] ; [49 24],[287.10224439  40.89775561] ; [63.89775561  9.10224439],1
p10,1,0.0,31.635539,[293  35] ; [46 27],[277.28678304  50.71321696] ; [61.71321696 11.28678304],1
p8,1,4.9e-05,16.477771,[206 118] ; [28 46],[190.49246231 133.50753769] ; [43.50753769 30.49246231],1
v4,1,0.000345,12.806596,[326   5] ; [69  7],[321.24078624   9.75921376] ; [73.75921376  2.24078624],1
b1,1,0.001157,10.557558,[113 220] ; [41 35],[125.38386308 207.61613692] ; [28.61613692 47.38386308],0
n6,1,0.00123,10.44424,[293  38] ; [54 19],[284.29950495  46.70049505] ; [62.70049505 10.29950495],0
p4,1,0.002566,9.093199,[227 102] ; [38 37],[215.80445545 113.19554455] ; [49.19554455 25.80445545],0
r4,1,0.004383,8.117991,[325   8] ; [69  7],[320.78728606  12.21271394] ; [73.21271394  2.78728606],0
p7,1,0.004823,7.944619,[232  88] ; [40 32],[222.04081633  97.95918367] ; [49.95918367 22.04081633],0
n4,1,0.005347,7.758025,[281  52] ; [53 22],[272.60294118  60.39705882] ; [61.39705882 13.60294118],0
p2,1,0.007209,7.220093,[293  37] ; [57 17],[285.89108911  44.10891089] ; [64.10891089  9.89108911],0
n5,1,0.007248,7.210406,[278  54] ; [52 22],[269.85221675  62.14778325] ; [60.14778325 13.85221675],0
s1,1,0.008861,6.850531,[  7 320] ; [ 6 68],[ 10.60099751 316.39900249] ; [ 2.39900249 71.60099751],0
r3,1,0.018775,5.522351,[327   6] ; [70  5],[324.02205882   8.97794118] ; [72.97794118  2.02205882],0
s6,1,0.055792,3.658242,[228 101] ; [58 14],[234.64837905  94.35162095] ; [51.35162095 20.64837905],0
u2,1,0.068115,3.327879,[47 28] ; [ 8 12],[43.42105263 31.57894737] ; [11.57894737  8.42105263],0
b2,1,0.088978,2.892767,[103 124] ; [12 27],[ 98.13909774 128.86090226] ; [16.86090226 22.13909774],0
b3,1,0.088978,2.892767,[103 124] ; [12 27],[ 98.13909774 128.86090226] ; [16.86090226 22.13909774],0
a5,1,0.114435,2.491883,[272  61] ; [56 20],[267.05134474  65.94865526] ; [60.94865526 15.05134474],0
