Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.6e-05,18.674817,[104  15] ; [10 11],[96.9 22.1] ; [17.1  3.9],1
r4,1,5.1e-05,16.41731,[107  13] ; [12 10],[100.56338028  19.43661972] ; [18.43661972  3.56338028],1
d5,1,7.6e-05,15.658757,[97 23] ; [ 9 13],[89.57746479 30.42253521] ; [16.42253521  5.57746479],1
p11,1,0.000342,12.824628,[104  16] ; [12 10],[98.02816901 21.97183099] ; [17.97183099  4.02816901],1
p8,1,0.000387,12.594769,[70 48] ; [ 4 18],[62.37142857 55.62857143] ; [11.62857143 10.37142857],1
p10,1,0.001341,10.285364,[97 22] ; [11 11],[91.14893617 27.85106383] ; [16.85106383  5.14893617],0
s1,1,0.001357,10.263895,[  3 116] ; [ 4 17],[  5.95 113.05] ; [ 1.05 19.95],0
p9,1,0.001815,9.727748,[99 19] ; [12 10],[93.55714286 24.44285714] ; [17.44285714  4.55714286],0
p7,1,0.002389,9.223913,[81 38] ; [ 7 14],[74.8 44.2] ; [13.2  7.8],0
p6,1,0.004032,8.269448,[43 75] ; [ 1 20],[37.35251799 80.64748201] ; [ 6.64748201 14.35251799],0
v2,1,0.004595,8.032214,[82 35] ; [ 8 13],[76.30434783 40.69565217] ; [13.69565217  7.30434783],0
v4,1,0.006818,7.320261,[112   7] ; [16  5],[108.8  10.2] ; [19.2  1.8],0
p4,1,0.011653,6.362976,[73 47] ; [ 7 15],[67.6056338 52.3943662] ; [12.3943662  9.6056338],0
a5,1,0.031201,4.641872,[92 28] ; [12 10],[87.88732394 32.11267606] ; [16.11267606  5.88732394],0
d4,1,0.042513,4.114656,[95 25] ; [13  9],[91.26760563 28.73239437] ; [16.73239437  5.26760563],0
s3,1,0.044912,4.021943,[29 89] ; [10 12],[32.87142857 85.12857143] ; [ 6.12857143 15.87142857],0
n1,1,0.045465,4.001323,[ 5 13] ; [5 2],[ 7.2 10.8] ; [2.8 4.2],0
n6,1,0.056175,3.646862,[96 23] ; [13  8],[92.65 26.35] ; [16.35  4.65],0
r3,1,0.062872,3.459967,[111   8] ; [17  4],[108.8  10.2] ; [19.2  1.8],0
r2,1,0.062872,3.459967,[111   8] ; [17  4],[108.8  10.2] ; [19.2  1.8],0
d1,1,0.067361,3.346176,[69 51] ; [ 8 14],[65.07042254 54.92957746] ; [11.92957746 10.07042254],0
n4,1,0.084785,2.970704,[95 25] ; [13  8],[91.91489362 28.08510638] ; [16.08510638  4.91489362],0
u3,1,0.096412,2.76392,[17 16] ; [6 1],[18.975 14.025] ; [4.025 2.975],0
s5,1,0.102499,2.666216,[23 96] ; [ 1 20],[20.4 98.6] ; [ 3.6 17.4],0
d3,1,0.11415,2.495804,[81 39] ; [11 11],[77.74647887 42.25352113] ; [14.25352113  7.74647887],0
a6,1,0.154467,2.027569,[84 36] ; [12 10],[81.12676056 38.87323944] ; [14.87323944  7.12676056],0
p3,1,0.197505,1.660732,[64 56] ; [ 8 13],[61.27659574 58.72340426] ; [10.72340426 10.27659574],0
a7,1,0.211609,1.560387,[85 35] ; [12  9],[82.55319149 37.44680851] ; [14.44680851  6.55319149],0
b3,1,0.229694,1.442755,[34 40] ; [10  6],[36.17777778 37.82222222] ; [7.82222222 8.17777778],0
b2,1,0.229694,1.442755,[34 40] ; [10  6],[36.17777778 37.82222222] ; [7.82222222 8.17777778],0
s2,1,0.233845,1.417319,[24 94] ; [ 7 15],[26.12857143 91.87142857] ; [ 4.87142857 17.12857143],0
b4,1,0.252499,1.309423,[65 55] ; [ 9 13],[62.53521127 57.46478873] ; [11.46478873 10.53521127],0
v3,1,0.288077,1.128588,[55 60] ; [ 7 13],[52.81481481 62.18518519] ; [ 9.18518519 10.81481481],0
a1,1,0.326703,0.961921,[  5 115] ; [ 2 20],[  5.91549296 114.08450704] ; [ 1.08450704 20.91549296],0
s4,1,0.341477,0.904878,[  9 111] ; [ 3 19],[ 10.14084507 109.85915493] ; [ 1.85915493 20.14084507],0
s8,1,0.360014,0.837845,[33 87] ; [ 4 18],[31.26760563 88.73239437] ; [ 5.73239437 16.26760563],0
p1,1,0.427852,0.628648,[ 10 110] ; [ 3 19],[ 10.98591549 109.01408451] ; [ 2.01408451 19.98591549],0
a3,1,0.63503,0.225302,[87 32] ; [15  7],[86.08510638 32.91489362] ; [15.91489362  6.08510638],0
s7,1,0.663817,0.18892,[27 85] ; [ 6 15],[27.78947368 84.21052632] ; [ 5.21052632 15.78947368],0
a4,1,0.665213,0.187253,[54 66] ; [11 11],[54.92957746 65.07042254] ; [10.07042254 11.92957746],0
d2,1,0.665213,0.187253,[54 66] ; [11 11],[54.92957746 65.07042254] ; [10.07042254 11.92957746],0
n3,1,0.686494,0.162907,[15  4] ; [5 2],[14.61538462  4.38461538] ; [5.38461538 1.61538462],0
n5,1,0.729145,0.119898,[90 30] ; [15  6],[89.36170213 30.63829787] ; [15.63829787  5.36170213],0
u2,1,0.786529,0.073344,[16 17] ; [3 4],[15.675 17.325] ; [3.325 3.675],0
a2,1,0.913826,0.01171,[23 97] ; [ 4 18],[22.81690141 97.18309859] ; [ 4.18309859 17.81690141],0
b5,1,0.947152,0.004394,[70 50] ; [13  9],[70.14084507 49.85915493] ; [12.85915493  9.14084507],0
u1,1,0.947591,0.004321,[ 17 103] ; [ 3 19],[ 16.90140845 103.09859155] ; [ 3.09859155 18.90140845],0
n2,1,0.968346,0.001575,[13  5] ; [5 2],[12.96  5.04] ; [5.04 1.96],0
b1,1,0.994698,4.4e-05,[49 71] ; [ 9 13],[49.01408451 70.98591549] ; [ 8.98591549 13.01408451],0
