Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3.3e-05,17.245622,[39 22] ; [126  16],[49.58128079 11.41871921] ; [115.41871921  26.58128079],1
p10,1,0.000441,12.349174,[34 27] ; [114  29],[44.25490196 16.74509804] ; [103.74509804  39.25490196],1
a1,1,0.001098,10.65395,[ 6 56] ; [  1 143],[ 2.10679612 59.89320388] ; [  4.89320388 139.10679612],0
p4,1,0.004725,7.981613,[22 39] ; [83 61],[31.24390244 29.75609756] ; [73.75609756 70.24390244],0
p8,1,0.005304,7.772711,[ 7 55] ; [ 42 101],[14.8195122 47.1804878] ; [ 34.1804878 108.8195122],0
s3,1,0.021186,5.311388,[32 27] ; [101  41],[39.039801 19.960199] ; [93.960199 48.039801],0
s4,1,0.033906,4.499453,[18 42] ; [ 24 119],[12.4137931 47.5862069] ; [ 29.5862069 113.4137931],0
b1,1,0.034806,4.454666,[27 35] ; [ 41 103],[20.46601942 41.53398058] ; [47.53398058 96.46601942],0
n5,1,0.03577,4.408037,[37 25] ; [107  37],[43.33980583 18.66019417] ; [100.66019417  43.33980583],0
d5,1,0.043322,4.082799,[44 18] ; [120  24],[49.3592233 12.6407767] ; [114.6407767  29.3592233],0
n4,1,0.04713,3.940752,[40 22] ; [112  32],[45.74757282 16.25242718] ; [106.25242718  37.74757282],0
u4,1,0.047479,3.928336,[ 4 58] ; [  2 142],[ 1.80582524 60.19417476] ; [  4.19417476 139.80582524],0
v4,1,0.092623,2.828183,[55  7] ; [137   7],[57.78640777  4.21359223] ; [134.21359223   9.78640777],0
v3,1,0.099564,2.712515,[26 30] ; [47 92],[20.96410256 35.03589744] ; [52.03589744 86.96410256],0
v1,1,0.102385,2.667986,[25 34] ; [76 62],[30.24873096 28.75126904] ; [70.75126904 67.24873096],0
a7,1,0.122573,2.384136,[39 23] ; [106  38],[43.6407767 18.3592233] ; [101.3592233  42.6407767],0
d1,1,0.172883,1.857768,[32 30] ; [89 55],[36.41747573 25.58252427] ; [84.58252427 59.41747573],0
p11,1,0.183024,1.772895,[39 23] ; [104  40],[43.03883495 18.96116505] ; [99.96116505 44.03883495],0
p3,1,0.189947,1.718025,[19 43] ; [58 86],[23.17475728 38.82524272] ; [53.82524272 90.17475728],0
