Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.606161,[84 17] ; [10 22],[71.38345865 29.61654135] ; [22.61654135  9.38345865],1
n6,1,5e-06,20.898424,[93  9] ; [18 14],[84.49253731 17.50746269] ; [26.50746269  5.49253731],1
s4,1,0.009644,6.699518,[14 87] ; [11 21],[18.98496241 82.01503759] ; [ 6.01503759 25.98496241],0
a5,1,0.019261,5.477639,[79 23] ; [18 14],[73.8358209 28.1641791] ; [23.1641791  8.8358209],0
p7,1,0.021667,5.272311,[59 39] ; [10 18],[53.66666667 44.33333333] ; [15.33333333 12.66666667],0
a3,1,0.02501,5.02322,[80 21] ; [19 13],[75.18045113 25.81954887] ; [23.81954887  8.18045113],0
a8,1,0.027338,4.869344,[19 74] ; [ 1 29],[15.12195122 77.87804878] ; [ 4.87804878 25.12195122],0
a4,1,0.037771,4.315291,[50 52] ; [ 9 23],[44.91044776 57.08955224] ; [14.08955224 17.91044776],0
a7,1,0.051804,3.782103,[64 38] ; [26  6],[68.50746269 33.49253731] ; [21.49253731 10.50746269],0
s2,1,0.059314,3.556455,[61 41] ; [25  7],[65.46268657 36.53731343] ; [20.53731343 11.46268657],0
d2,1,0.085814,2.951199,[56 46] ; [12 20],[51.76119403 50.23880597] ; [16.23880597 15.76119403],0
b1,1,0.115319,2.479776,[48 54] ; [10 22],[44.14925373 57.85074627] ; [13.85074627 18.14925373],0
v3,1,0.140198,2.175787,[50 50] ; [10 19],[46.51162791 53.48837209] ; [13.48837209 15.51162791],0
v2,1,0.141326,2.163462,[64 34] ; [14 14],[60.66666667 37.33333333] ; [17.33333333 10.66666667],0
d1,1,0.197794,1.658586,[61 41] ; [15 17],[57.85074627 44.14925373] ; [18.14925373 13.85074627],0
p11,1,0.212092,1.557092,[81 21] ; [22 10],[78.40298507 23.59701493] ; [24.59701493  7.40298507],0
u1,1,0.217681,1.519595,[19 83] ; [ 3 29],[16.74626866 85.25373134] ; [ 5.25373134 26.74626866],0
a2,1,0.257718,1.280976,[22 80] ; [ 4 28],[19.79104478 82.20895522] ; [ 6.20895522 25.79104478],0
u3,1,0.28245,1.155266,[15  7] ; [11  2],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
p3,1,0.32478,0.969599,[35 67] ; [ 8 24],[32.73134328 69.26865672] ; [10.26865672 21.73134328],0
p8,1,0.339588,0.911987,[37 62] ; [15 17],[39.29770992 59.70229008] ; [12.70229008 19.29770992],0
a6,1,0.343466,0.89745,[60 41] ; [22 10],[62.27067669 38.72932331] ; [19.72932331 12.27067669],0
s3,1,0.351027,0.86974,[71 31] ; [25  7],[73.07462687 28.92537313] ; [22.92537313  9.07462687],0
b2,1,0.367881,0.810811,[28 46] ; [8 8],[29.6 44.4] ; [6.4 9.6],0
b3,1,0.367881,0.810811,[28 46] ; [8 8],[29.6 44.4] ; [6.4 9.6],0
