Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.005012,7.875,[6 1] ; [ 3 11],[3. 4.] ; [6. 8.],0
p7,1,0.008829,6.857143,[5 2] ; [ 2 12],[2.33333333 4.66666667] ; [4.66666667 9.33333333],0
s8,1,0.011213,6.43125,[4 3] ; [ 1 13],[1.66666667 5.33333333] ; [ 3.33333333 10.66666667],0
p4,1,0.061369,3.5,[6 1] ; [6 8],[4. 3.] ; [8. 6.],0
n4,1,0.061369,3.5,[6 1] ; [6 8],[4. 3.] ; [8. 6.],0
r4,1,0.101707,2.678571,[4 3] ; [ 3 11],[2.33333333 4.66666667] ; [4.66666667 9.33333333],0
a4,1,0.122398,2.386364,[5 2] ; [5 9],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
p9,1,0.12707,2.327943,[5 1] ; [6 7],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
p3,1,0.12764,2.320976,[4 3] ; [ 3 10],[2.45 4.55] ; [4.55 8.45],0
d2,1,0.19043,1.714286,[6 1] ; [8 6],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
v2,1,0.19043,1.714286,[6 1] ; [8 6],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
r1,1,0.203737,1.615385,[4 3] ; [ 4 10],[2.66666667 4.33333333] ; [5.33333333 8.66666667],0
u2,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
p11,1,0.305507,1.05,[6 1] ; [9 5],[5. 2.] ; [10.  4.],0
b4,1,0.349575,0.875,[3 4] ; [9 5],[4. 3.] ; [8. 6.],0
n5,1,0.349575,0.875,[5 2] ; [7 7],[4. 3.] ; [8. 6.],0
b3,1,0.408961,0.681818,[2 3] ; [2 8],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
b2,1,0.408961,0.681818,[2 3] ; [2 8],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
a2,1,0.431923,0.617647,[2 5] ; [ 2 12],[1.33333333 5.66666667] ; [ 2.66666667 11.33333333],0
a3,1,0.512691,0.428571,[4 3] ; [10  4],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
a6,1,0.512691,0.428571,[4 3] ; [10  4],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
a5,1,0.52511,0.403846,[5 2] ; [8 6],[4.33333333 2.66666667] ; [8.66666667 5.33333333],0
b5,1,0.536632,0.381818,[3 4] ; [8 6],[3.66666667 3.33333333] ; [7.33333333 6.66666667],0
v1,1,0.536632,0.381818,[4 3] ; [6 8],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
s6,1,0.536632,0.381818,[3 4] ; [8 6],[3.66666667 3.33333333] ; [7.33333333 6.66666667],0
s3,1,0.573138,0.31746,[2 4] ; [ 3 11],[1.5 4.5] ; [ 3.5 10.5],0
s1,1,0.599126,0.276316,[1 6] ; [ 1 13],[0.66666667 6.33333333] ; [ 1.33333333 12.66666667],0
u3,1,0.659243,0.194444,[1 2] ; [2 2],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
p5,1,0.71714,0.13125,[2 5] ; [ 3 11],[1.66666667 5.33333333] ; [ 3.33333333 10.66666667],0
v4,1,0.743421,0.107143,[5 2] ; [9 5],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
a7,1,0.750679,0.100962,[4 3] ; [9 5],[4.33333333 2.66666667] ; [8.66666667 5.33333333],0
b1,1,0.757354,0.095455,[4 3] ; [7 7],[3.66666667 3.33333333] ; [7.33333333 6.66666667],0
s2,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
s7,1,0.931175,0.007459,[1 4] ; [2 9],[0.9375 4.0625] ; [2.0625 8.9375],0
p1,1,1.0,0.0,[1 6] ; [ 2 12],[1. 6.] ; [ 2. 12.],0
s5,1,1.0,0.0,[1 6] ; [ 2 12],[1. 6.] ; [ 2. 12.],0
n6,1,1.0,0.0,[5 2] ; [10  4],[5. 2.] ; [10.  4.],0
n3,1,1.0,0.0,[1 1] ; [3 3],[1. 1.] ; [3. 3.],0
r3,1,1.0,0.0,[5 2] ; [10  4],[5. 2.] ; [10.  4.],0
