Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.81346,[10 41] ; [22  8],[20.14814815 30.85185185] ; [11.85185185 18.14814815],1
s8,1,0.000312,12.998674,[10 42] ; [17 12],[17.33333333 34.66666667] ; [ 9.66666667 19.33333333],1
s3,1,0.003503,8.525149,[15 35] ; [19 11],[21.25 28.75] ; [12.75 17.25],0
s6,1,0.004451,8.090012,[18 34] ; [19  9],[24.05 27.95] ; [12.95 15.05],0
a4,1,0.015391,5.871102,[15 36] ; [17 13],[20.14814815 30.85185185] ; [11.85185185 18.14814815],0
u3,1,0.033852,4.502188,[11 16] ; [8 2],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
p11,1,0.036603,4.368787,[24 28] ; [21  9],[28.53658537 23.46341463] ; [16.46341463 13.53658537],0
p9,1,0.046474,3.96434,[19 30] ; [18 11],[23.24358974 25.75641026] ; [13.75641026 15.24358974],0
r3,1,0.053047,3.742433,[35 17] ; [26  4],[38.68292683 13.31707317] ; [22.31707317  7.68292683],0
r1,1,0.054002,3.712625,[25 27] ; [21  9],[29.17073171 22.82926829] ; [16.82926829 13.17073171],0
v4,1,0.081393,3.036865,[34 18] ; [25  5],[37.41463415 14.58536585] ; [21.58536585  8.41463415],0
p10,1,0.083813,2.98937,[18 33] ; [16 13],[21.675 29.325] ; [12.325 16.675],0
s7,1,0.094153,2.801887,[12 37] ; [12 16],[15.27272727 33.72727273] ; [ 8.72727273 19.27272727],0
a3,1,0.103222,2.65504,[25 27] ; [20 10],[28.53658537 23.46341463] ; [16.46341463 13.53658537],0
p1,1,0.136536,2.216571,[ 7 45] ; [ 1 29],[ 5.07317073 46.92682927] ; [ 2.92682927 27.07317073],0
d5,1,0.142967,2.145733,[26 26] ; [20 10],[29.17073171 22.82926829] ; [16.82926829 13.17073171],0
d3,1,0.155261,2.019789,[13 39] ; [12 18],[15.85365854 36.14634146] ; [ 9.14634146 20.85365854],0
d4,1,0.156672,2.006062,[30 22] ; [22  8],[32.97560976 19.02439024] ; [19.02439024 10.97560976],0
b5,1,0.191185,1.70846,[20 32] ; [16 14],[22.82926829 29.17073171] ; [13.17073171 16.82926829],0
n5,1,0.193336,1.692012,[33 18] ; [15 15],[30.22222222 20.77777778] ; [17.77777778 12.22222222],0
n3,1,0.20082,1.636401,[11 10] ; [9 3],[12.72727273  8.27272727] ; [7.27272727 4.72727273],0
r4,1,0.210762,1.566185,[31 21] ; [22  8],[33.6097561 18.3902439] ; [19.3902439 10.6097561],0
s5,1,0.212985,1.55102,[10 39] ; [ 9 18],[12.25 36.75] ; [ 6.75 20.25],0
d1,1,0.251709,1.313795,[16 36] ; [13 17],[18.3902439 33.6097561] ; [10.6097561 19.3902439],0
