Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000115,14.879586,[25 93] ; [13  8],[32.25899281 85.74100719] ; [ 5.74100719 15.25899281],1
b4,1,0.002417,9.20275,[59 59] ; [18  3],[65.36690647 52.63309353] ; [11.63309353  9.36690647],0
s6,1,0.002912,8.861979,[38 79] ; [14  7],[44.08695652 72.91304348] ; [ 7.91304348 13.08695652],0
d4,1,0.004153,8.215608,[68 50] ; [19  2],[73.85611511 44.14388489] ; [13.14388489  7.85611511],0
p5,1,0.008704,6.882526,[  5 112] ; [ 4 16],[  7.68613139 109.31386861] ; [ 1.31386861 18.68613139],0
v1,1,0.022451,5.210528,[34 83] ; [11  9],[38.43065693 78.56934307] ; [ 6.56934307 13.43065693],0
n6,1,0.032771,4.557704,[79 38] ; [19  2],[83.08695652 33.91304348] ; [14.91304348  6.08695652],0
v4,1,0.037133,4.344289,[87 31] ; [19  1],[90.63768116 27.36231884] ; [15.36231884  4.63768116],0
a5,1,0.039596,4.235115,[50 68] ; [14  7],[54.33093525 63.66906475] ; [ 9.66906475 11.33093525],0
p1,1,0.052347,3.764649,[  8 110] ; [ 4 16],[ 10.26086957 107.73913043] ; [ 1.73913043 18.26086957],0
p9,1,0.084982,2.966953,[77 38] ; [18  3],[80.33088235 34.66911765] ; [14.66911765  6.33088235],0
r4,1,0.09032,2.86866,[55 63] ; [14  7],[58.57553957 59.42446043] ; [10.42446043 10.57553957],0
b5,1,0.105408,2.621752,[78 40] ; [10 11],[74.70503597 43.29496403] ; [13.29496403  7.70503597],0
s3,1,0.12381,2.368449,[35 80] ; [10 11],[38.05147059 76.94852941] ; [ 6.94852941 14.05147059],0
p6,1,0.126848,2.330662,[21 92] ; [ 7 14],[23.6119403 89.3880597] ; [ 4.3880597 16.6119403],0
a4,1,0.128092,2.315474,[31 86] ; [ 9 12],[33.91304348 83.08695652] ; [ 6.08695652 14.91304348],0
s8,1,0.137986,2.20028,[ 10 108] ; [ 4 17],[ 11.88489209 106.11510791] ; [ 2.11510791 18.88489209],0
p10,1,0.149018,2.082276,[66 48] ; [15  5],[68.91044776 45.08955224] ; [12.08955224  7.91044776],0
p3,1,0.159674,1.977307,[32 84] ; [ 9 12],[34.71532847 81.28467153] ; [ 6.28467153 14.71532847],0
d1,1,0.171024,1.873948,[38 80] ; [10 11],[40.74820144 77.25179856] ; [ 7.25179856 13.74820144],0
u1,1,0.202529,1.624044,[  4 114] ; [ 2 19],[  5.09352518 112.90647482] ; [ 0.90647482 20.09352518],0
p2,1,0.211195,1.563218,[70 46] ; [15  5],[72.5 43.5] ; [12.5  7.5],0
b1,1,0.230927,1.435144,[56 62] ; [ 7 14],[53.48201439 64.51798561] ; [ 9.51798561 11.48201439],0
d2,1,0.307418,1.041735,[42 75] ; [10 11],[44.08695652 72.91304348] ; [ 7.91304348 13.08695652],0
n5,1,0.307418,1.041735,[75 42] ; [11 10],[72.91304348 44.08695652] ; [13.08695652  7.91304348],0
a1,1,0.316811,1.002066,[  9 109] ; [ 3 18],[ 10.18705036 107.81294964] ; [ 1.81294964 19.18705036],0
p4,1,0.321372,0.983356,[42 74] ; [10 11],[44.02919708 71.97080292] ; [ 7.97080292 13.02919708],0
p7,1,0.360156,0.837351,[51 65] ; [11  9],[52.88235294 63.11764706] ; [ 9.11764706 10.88235294],0
p8,1,0.430297,0.622021,[39 76] ; [ 9 12],[40.58823529 74.41176471] ; [ 7.41176471 13.58823529],0
p11,1,0.525968,0.402174,[70 48] ; [14  7],[71.30935252 46.69064748] ; [12.69064748  8.30935252],0
