Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,43.009013,[107  15] ; [18 29],[90.23668639 31.76331361] ; [34.76331361 12.23668639],1
v3,1,0.001111,10.632871,[49 69] ; [ 7 40],[40.04848485 77.95151515] ; [15.95151515 31.04848485],0
a5,1,0.002977,8.821212,[74 48] ; [17 31],[65.30588235 56.69411765] ; [25.69411765 22.30588235],0
r1,1,0.003481,8.536469,[91 30] ; [25 23],[83.05325444 37.94674556] ; [32.94674556 15.05325444],0
v1,1,0.021437,5.290883,[60 58] ; [15 33],[53.31325301 64.68674699] ; [21.68674699 26.31325301],0
a4,1,0.029501,4.738125,[34 86] ; [ 6 42],[28.57142857 91.42857143] ; [11.42857143 36.57142857],0
a6,1,0.033943,4.497559,[80 42] ; [23 25],[73.91764706 48.08235294] ; [29.08235294 18.91764706],0
d3,1,0.039218,4.251394,[41 81] ; [ 8 38],[35.58333333 86.41666667] ; [13.41666667 32.58333333],0
n6,1,0.06012,3.53408,[100  22] ; [33 15],[95.44705882 26.55294118] ; [37.55294118 10.44705882],0
p3,1,0.067635,3.339509,[56 64] ; [15 33],[50.71428571 69.28571429] ; [20.28571429 27.71428571],0
n1,1,0.078551,3.094639,[16 15] ; [ 5 14],[13.02 17.98] ; [ 7.98 11.02],0
r4,1,0.083275,2.999803,[107  15] ; [37 11],[103.34117647  18.65882353] ; [40.65882353  7.34117647],0
s6,1,0.10953,2.560988,[69 47] ; [22 26],[64.36585366 51.63414634] ; [26.63414634 21.36585366],0
p11,1,0.117201,2.45433,[91 31] ; [30 18],[86.83529412 35.16470588] ; [34.16470588 13.83529412],0
s3,1,0.129584,2.297484,[61 55] ; [19 29],[56.58536585 59.41463415] ; [23.41463415 24.58536585],0
p5,1,0.143373,2.141376,[ 14 106] ; [ 2 45],[ 11.49700599 108.50299401] ; [ 4.50299401 42.49700599],0
p1,1,0.148201,2.090672,[ 21 100] ; [ 4 43],[ 18.00595238 102.99404762] ; [ 6.99404762 40.00595238],0
b4,1,0.158919,1.984481,[68 54] ; [21 27],[63.87058824 58.12941176] ; [25.12941176 22.87058824],0
b2,1,0.175798,1.832789,[24 54] ; [ 4 20],[21.41176471 56.58823529] ; [ 6.58823529 17.41176471],0
b3,1,0.175798,1.832789,[24 54] ; [ 4 20],[21.41176471 56.58823529] ; [ 6.58823529 17.41176471],0
u3,1,0.178275,1.811947,[25 32] ; [15 10],[27.80487805 29.19512195] ; [12.19512195 12.80487805],0
a2,1,0.179352,1.802985,[ 13 109] ; [ 2 46],[ 10.76470588 111.23529412] ; [ 4.23529412 43.76470588],0
p12,1,0.18008,1.796962,[  9 111] ; [ 1 47],[  7.14285714 112.85714286] ; [ 2.85714286 45.14285714],0
b5,1,0.189509,1.721431,[72 50] ; [23 25],[68.17647059 53.82352941] ; [26.82352941 21.17647059],0
s5,1,0.194795,1.680976,[30 85] ; [ 8 40],[26.80981595 88.19018405] ; [11.19018405 36.80981595],0
p6,1,0.208168,1.584124,[39 80] ; [11 37],[35.62874251 83.37125749] ; [14.37125749 33.62874251],0
n3,1,0.209056,1.57795,[22  7] ; [18  2],[23.67346939  5.32653061] ; [16.32653061  3.67346939],0
p8,1,0.224112,1.477848,[56 61] ; [18 30],[52.47272727 64.52727273] ; [21.52727273 26.47272727],0
s7,1,0.235806,1.405495,[47 65] ; [15 32],[43.67295597 68.32704403] ; [18.32704403 28.67295597],0
p2,1,0.349458,0.875424,[91 30] ; [32 15],[88.58928571 32.41071429] ; [34.41071429 12.58928571],0
a8,1,0.396667,0.718406,[12 98] ; [ 3 43],[10.57692308 99.42307692] ; [ 4.42307692 41.57692308],0
p10,1,0.39955,0.709681,[88 31] ; [31 15],[85.82424242 33.17575758] ; [33.17575758 12.82424242],0
d2,1,0.401331,0.704334,[33 89] ; [10 38],[30.85882353 91.14117647] ; [12.14117647 35.85882353],0
p9,1,0.420051,0.650172,[90 28] ; [33 14],[87.96363636 30.03636364] ; [35.03636364 11.96363636],0
s2,1,0.463317,0.537869,[42 76] ; [20 28],[44.07228916 73.92771084] ; [17.92771084 30.07228916],0
a3,1,0.495942,0.463609,[65 56] ; [23 25],[63.00591716 57.99408284] ; [24.99408284 23.00591716],0
a1,1,0.52157,0.410787,[  5 117] ; [ 1 47],[  4.30588235 117.69411765] ; [ 1.69411765 46.30588235],0
s8,1,0.532693,0.389252,[41 79] ; [14 34],[39.28571429 80.71428571] ; [15.71428571 32.28571429],0
p4,1,0.591226,0.288434,[61 60] ; [22 26],[59.4260355 61.5739645] ; [23.5739645 24.4260355],0
s4,1,0.614854,0.253167,[21 99] ; [10 38],[22.14285714 97.85714286] ; [ 8.85714286 39.14285714],0
b1,1,0.63328,0.227639,[46 76] ; [20 28],[47.36470588 74.63529412] ; [18.63529412 29.36470588],0
r3,1,0.703989,0.144355,[104  18] ; [42  6],[104.77647059  17.22352941] ; [41.22352941  6.77647059],0
s1,1,0.763732,0.09035,[  6 112] ; [ 3 45],[  6.39759036 111.60240964] ; [ 2.60240964 45.39759036],0
