Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000325,12.922483,[62 14] ; [10 13],[55.27272727 20.72727273] ; [16.72727273  6.27272727],1
d2,1,0.001138,10.588193,[39 37] ; [ 3 20],[32.24242424 43.75757576] ; [ 9.75757576 13.24242424],0
a6,1,0.003306,8.630215,[53 24] ; [ 8 15],[46.97 30.03] ; [14.03  8.97],0
r3,1,0.019458,5.459878,[54 23] ; [10 13],[49.28 27.72] ; [14.72  8.28],0
a7,1,0.022439,5.21139,[50 26] ; [ 9 14],[45.29292929 30.70707071] ; [13.70707071  9.29292929],0
r1,1,0.028002,4.82792,[43 33] ; [ 7 16],[38.38383838 37.61616162] ; [11.61616162 11.38383838],0
u3,1,0.032654,4.563831,[11 16] ; [ 1 12],[ 8.1 18.9] ; [3.9 9.1],0
d3,1,0.033748,4.50741,[45 30] ; [ 8 15],[40.56122449 34.43877551] ; [12.43877551 10.56122449],0
d5,1,0.041205,4.167546,[51 25] ; [10 13],[46.82828283 29.17171717] ; [14.17171717  8.82828283],0
d1,1,0.04163,4.150198,[35 42] ; [ 5 18],[30.8 46.2] ; [ 9.2 13.8],0
b1,1,0.042385,4.119751,[35 42] ; [16  7],[39.27 37.73] ; [11.73 11.27],0
a5,1,0.046055,3.979566,[45 32] ; [ 8 15],[40.81 36.19] ; [12.19 10.81],0
a8,1,0.051733,3.784374,[ 2 68] ; [ 3 19],[ 3.80434783 66.19565217] ; [ 1.19565217 20.80434783],0
p8,1,0.053022,3.743231,[22 53] ; [ 2 20],[18.55670103 56.44329897] ; [ 5.44329897 16.55670103],0
p6,1,0.06316,3.452405,[17 58] ; [ 1 20],[14.0625 60.9375] ; [ 3.9375 17.0625],0
a3,1,0.071689,3.243926,[50 25] ; [10 12],[46.39175258 28.60824742] ; [13.60824742  8.39175258],0
p10,1,0.112191,2.523087,[31 44] ; [ 5 17],[27.83505155 47.16494845] ; [ 8.16494845 13.83505155],0
v2,1,0.112796,2.514599,[23 52] ; [ 3 19],[20.10309278 54.89690722] ; [ 5.89690722 16.10309278],0
b4,1,0.148202,2.090663,[37 40] ; [15  8],[40.04 36.96] ; [11.96 11.04],0
a2,1,0.151129,2.060817,[17 60] ; [ 2 21],[14.63 62.37] ; [ 4.37 18.63],0
n6,1,0.197082,1.663866,[40 37] ; [ 8 14],[37.33333333 39.66666667] ; [10.66666667 11.33333333],0
a4,1,0.20161,1.630672,[31 45] ; [ 6 17],[28.4040404 47.5959596] ; [ 8.5959596 14.4040404],0
n1,1,0.204621,1.609084,[11 14] ; [ 3 10],[ 9.21052632 15.78947368] ; [4.78947368 8.21052632],0
s4,1,0.245252,1.350149,[10 67] ; [ 1 22],[ 8.47 68.53] ; [ 2.53 20.47],0
n2,1,0.257362,1.282895,[15 11] ; [5 8],[13.33333333 12.66666667] ; [6.66666667 6.33333333],0
v1,1,0.269835,1.217588,[22 54] ; [ 4 19],[19.95959596 56.04040404] ; [ 6.04040404 16.95959596],0
p9,1,0.280878,1.162835,[34 39] ; [ 7 14],[31.84042553 41.15957447] ; [ 9.15957447 11.84042553],0
n5,1,0.368136,0.809947,[45 32] ; [11 12],[43.12 33.88] ; [12.88 10.12],0
n4,1,0.368136,0.809947,[45 32] ; [11 12],[43.12 33.88] ; [12.88 10.12],0
s8,1,0.374299,0.789342,[ 8 69] ; [ 1 22],[ 6.93 70.07] ; [ 2.07 20.93],0
u2,1,0.377282,0.779539,[10 17] ; [ 3 10],[ 8.775 18.225] ; [4.225 8.775],0
p7,1,0.400125,0.707952,[27 49] ; [ 6 17],[25.33333333 50.66666667] ; [ 7.66666667 15.33333333],0
n3,1,0.428602,0.626609,[12 11] ; [5 8],[10.86111111 12.13888889] ; [6.13888889 6.86111111],0
p3,1,0.434632,0.610414,[20 56] ; [ 4 18],[18.6122449 57.3877551] ; [ 5.3877551 16.6122449],0
a1,1,0.439994,0.596298,[ 6 71] ; [ 3 20],[ 6.93 70.07] ; [ 2.07 20.93],0
s1,1,0.439994,0.596298,[ 6 71] ; [ 3 20],[ 6.93 70.07] ; [ 2.07 20.93],0
s3,1,0.565247,0.3307,[22 54] ; [ 5 17],[20.93877551 55.06122449] ; [ 6.06122449 15.93877551],0
p2,1,0.583462,0.300671,[38 38] ; [10 13],[36.84848485 39.15151515] ; [11.15151515 11.84848485],0
p4,1,0.632661,0.22847,[16 59] ; [ 6 17],[16.83673469 58.16326531] ; [ 5.16326531 17.83673469],0
d4,1,0.665425,0.187,[50 26] ; [14  9],[49.13131313 26.86868687] ; [14.86868687  8.13131313],0
b5,1,0.697987,0.150574,[47 30] ; [13 10],[46.2 30.8] ; [13.8  9.2],0
s2,1,0.764584,0.08968,[12 65] ; [ 3 20],[11.55 65.45] ; [ 3.45 19.55],0
s7,1,0.839576,0.04098,[12 59] ; [ 3 17],[11.7032967 59.2967033] ; [ 3.2967033 16.7032967],0
b3,1,0.869092,0.027163,[13 24] ; [ 6 10],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
b2,1,0.869092,0.027163,[13 24] ; [ 6 10],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
p1,1,0.87009,0.026747,[ 4 73] ; [ 1 22],[ 3.85 73.15] ; [ 1.15 21.85],0
