Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.005043,7.863898,[27  9] ; [ 5 10],[22.58823529 13.41176471] ; [9.41176471 5.58823529],0
s4,1,0.028621,4.790249,[ 3 32] ; [ 5 10],[ 5.6 29.4] ; [ 2.4 12.6],0
v4,1,0.037119,4.344947,[35  1] ; [12  3],[33.17647059  2.82352941] ; [13.82352941  1.17647059],0
a5,1,0.039281,4.248692,[21 15] ; [ 4 11],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
d1,1,0.039281,4.248692,[21 15] ; [ 4 11],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
s3,1,0.0457,3.992624,[23 13] ; [ 5 10],[19.76470588 16.23529412] ; [8.23529412 6.76470588],0
n6,1,0.047155,3.939865,[29  7] ; [8 7],[26.11764706  9.88235294] ; [10.88235294  4.11764706],0
d3,1,0.049715,3.851048,[25 11] ; [6 9],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
p7,1,0.050493,3.825,[21 15] ; [13  2],[24. 12.] ; [10.  5.],0
b4,1,0.070158,3.279321,[22 14] ; [ 5 10],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
v1,1,0.086043,2.946883,[16 19] ; [ 3 12],[13.3 21.7] ; [5.7 9.3],0
a4,1,0.087726,2.915606,[19 17] ; [ 4 11],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
s7,1,0.099958,2.706209,[20 14] ; [ 5 10],[17.34693878 16.65306122] ; [7.65306122 7.34693878],0
p2,1,0.124837,2.355567,[29  7] ; [9 6],[26.82352941  9.17647059] ; [11.17647059  3.82352941],0
d5,1,0.128655,2.308661,[27  9] ; [8 7],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
r1,1,0.128655,2.308661,[27  9] ; [8 7],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
d2,1,0.148042,2.092308,[20 16] ; [ 5 10],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
a3,1,0.167419,1.905901,[22 14] ; [6 9],[19.76470588 16.23529412] ; [8.23529412 6.76470588],0
v2,1,0.17416,1.846764,[19 16] ; [ 5 10],[16.8 18.2] ; [7.2 7.8],0
a2,1,0.252916,1.307122,[ 7 29] ; [ 1 14],[ 5.64705882 30.35294118] ; [ 2.35294118 12.64705882],0
a6,1,0.254838,1.296587,[23 13] ; [7 8],[21.17647059 14.82352941] ; [8.82352941 6.17647059],0
b1,1,0.275756,1.187888,[18 18] ; [10  5],[19.76470588 16.23529412] ; [8.23529412 6.76470588],0
s8,1,0.303626,1.058201,[16 20] ; [ 4 10],[14.4 21.6] ; [5.6 8.4],0
s6,1,0.324198,0.971935,[21 15] ; [6 8],[19.44 16.56] ; [7.56 6.44],0
p1,1,0.344354,0.894156,[ 6 30] ; [ 1 14],[ 4.94117647 31.05882353] ; [ 2.05882353 12.94117647],0
a8,1,0.34864,0.8784,[ 6 28] ; [ 1 13],[ 4.95833333 29.04166667] ; [ 2.04166667 11.95833333],0
u2,1,0.348861,0.877595,[9 5] ; [4 5],[7.91304348 6.08695652] ; [5.08695652 3.91304348],0
r2,1,0.362806,0.828157,[33  2] ; [13  2],[32.2  2.8] ; [13.8  1.2],0
r4,1,0.412457,0.671707,[30  6] ; [11  4],[28.94117647  7.05882353] ; [12.05882353  2.94117647],0
p4,1,0.481741,0.494919,[23 13] ; [8 7],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
n3,1,0.481924,0.494505,[11  2] ; [5 2],[10.4  2.6] ; [5.6 1.4],0
p9,1,0.514453,0.425,[18 18] ; [6 9],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
n1,1,0.514584,0.424735,[7 5] ; [3 4],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
u3,1,0.551848,0.354016,[8 6] ; [4 5],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
p8,1,0.636719,0.223059,[19 17] ; [9 6],[19.76470588 16.23529412] ; [8.23529412 6.76470588],0
s2,1,0.636719,0.223059,[17 19] ; [6 9],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
n2,1,0.639207,0.21978,[10  3] ; [6 1],[10.4  2.6] ; [5.6 1.4],0
a7,1,0.649873,0.206061,[24 12] ; [9 6],[23.29411765 12.70588235] ; [9.70588235 5.29411765],0
b2,1,0.86316,0.029705,[12 11] ; [5 4],[12.21875 10.78125] ; [4.78125 4.21875],0
b3,1,0.86316,0.029705,[12 11] ; [5 4],[12.21875 10.78125] ; [4.78125 4.21875],0
a1,1,0.877879,0.023611,[ 2 34] ; [ 1 14],[ 2.11764706 33.88235294] ; [ 0.88235294 14.11764706],0
p3,1,0.884458,0.021118,[16 20] ; [7 8],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
d4,1,0.900965,0.015486,[27  9] ; [11  4],[26.82352941  9.17647059] ; [11.17647059  3.82352941],0
s1,1,0.915944,0.01114,[ 2 32] ; [ 1 14],[ 2.08163265 31.91836735] ; [ 0.91836735 14.08163265],0
b5,1,0.935429,0.006564,[26 10] ; [11  4],[26.11764706  9.88235294] ; [10.88235294  4.11764706],0
p11,1,0.940968,0.005484,[22 14] ; [9 6],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
s5,1,0.983911,0.000407,[ 5 27] ; [ 2 11],[ 4.97777778 27.02222222] ; [ 2.02222222 10.97777778],0
