Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000376,12.649412,[ 3 11] ; [22  6],[8.33333333 5.66666667] ; [16.66666667 11.33333333],1
s5,1,0.018353,5.562162,[ 4 10] ; [ 1 27],[ 1.66666667 12.33333333] ; [ 3.33333333 24.66666667],0
p4,1,0.019172,5.485714,[5 9] ; [ 2 26],[ 2.33333333 11.66666667] ; [ 4.66666667 23.33333333],0
s6,1,0.040424,4.2,[6 8] ; [ 4 24],[ 3.33333333 10.66666667] ; [ 6.66666667 21.33333333],0
p8,1,0.046401,3.966981,[4 9] ; [ 2 26],[ 1.90243902 11.09756098] ; [ 4.09756098 23.90243902],0
r3,1,0.079479,3.075515,[9 5] ; [10 18],[6.33333333 7.66666667] ; [12.66666667 15.33333333],0
d4,1,0.24716,1.339286,[11  3] ; [17 11],[9.33333333 4.66666667] ; [18.66666667  9.33333333],0
d5,1,0.273047,1.201373,[6 8] ; [17 11],[7.66666667 6.33333333] ; [15.33333333 12.66666667],0
v2,1,0.355168,0.854906,[5 9] ; [ 6 21],[ 3.75609756 10.24390244] ; [ 7.24390244 19.75609756],0
b4,1,0.368803,0.807692,[10  4] ; [16 12],[8.66666667 5.33333333] ; [17.33333333 10.66666667],0
a4,1,0.39701,0.717365,[6 8] ; [ 8 19],[4.7804878 9.2195122] ; [ 9.2195122 17.7804878],0
n2,1,0.408451,0.683304,[2 4] ; [9 8],[2.86956522 3.13043478] ; [8.13043478 8.86956522],0
s7,1,0.420113,0.65,[4 9] ; [ 5 21],[ 3. 10.] ; [ 6. 20.],0
p7,1,0.425031,0.636364,[ 4 10] ; [ 5 23],[ 3. 11.] ; [ 6. 22.],0
d2,1,0.446805,0.578745,[9 5] ; [14 13],[7.85365854 6.14634146] ; [15.14634146 11.85365854],0
a2,1,0.457244,0.552632,[ 2 12] ; [ 2 26],[ 1.33333333 12.66666667] ; [ 2.66666667 25.33333333],0
n3,1,0.457438,0.552157,[3 2] ; [ 7 10],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
a6,1,0.508332,0.4375,[5 9] ; [13 15],[6. 8.] ; [12. 16.],0
b5,1,0.508332,0.4375,[7 7] ; [11 17],[6. 8.] ; [12. 16.],0
b1,1,0.512691,0.428571,[6 8] ; [15 13],[7. 7.] ; [14. 14.],0
v3,1,0.516923,0.420028,[4 9] ; [ 6 22],[3.17073171 9.82926829] ; [ 6.82926829 21.17073171],0
p9,1,0.528009,0.398222,[ 3 11] ; [ 8 18],[ 3.85 10.15] ; [ 7.15 18.85],0
s2,1,0.558185,0.342857,[ 3 11] ; [ 4 24],[ 2.33333333 11.66666667] ; [ 4.66666667 23.33333333],0
s1,1,0.558185,0.342857,[ 3 11] ; [ 4 24],[ 2.33333333 11.66666667] ; [ 4.66666667 23.33333333],0
r4,1,0.558185,0.342857,[ 3 11] ; [ 4 24],[ 2.33333333 11.66666667] ; [ 4.66666667 23.33333333],0
b2,1,0.625585,0.238095,[3 6] ; [ 9 12],[3.6 5.4] ; [ 8.4 12.6],0
b3,1,0.625585,0.238095,[3 6] ; [ 9 12],[3.6 5.4] ; [ 8.4 12.6],0
p11,1,0.636906,0.222812,[5 9] ; [ 8 20],[4.33333333 9.66666667] ; [ 8.66666667 19.33333333],0
d3,1,0.653173,0.201923,[6 8] ; [10 18],[5.33333333 8.66666667] ; [10.66666667 17.33333333],0
a7,1,0.661076,0.19222,[7 7] ; [12 16],[6.33333333 7.66666667] ; [12.66666667 15.33333333],0
a5,1,0.662161,0.190909,[8 6] ; [14 14],[7.33333333 6.66666667] ; [14.66666667 13.33333333],0
s3,1,0.691345,0.157633,[5 9] ; [ 8 19],[4.43902439 9.56097561] ; [ 8.56097561 18.43902439],0
n1,1,0.707787,0.140498,[3 3] ; [10  7],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
u2,1,0.709815,0.138462,[2 4] ; [3 9],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
n6,1,0.754376,0.09789,[5 9] ; [11 16],[5.46341463 8.53658537] ; [10.53658537 16.46341463],0
p1,1,0.78112,0.077206,[ 3 11] ; [ 5 23],[ 2.66666667 11.33333333] ; [ 5.33333333 22.66666667],0
p3,1,0.78112,0.077206,[ 3 11] ; [ 5 23],[ 2.66666667 11.33333333] ; [ 5.33333333 22.66666667],0
r1,1,0.816961,0.053571,[5 9] ; [ 9 19],[4.66666667 9.33333333] ; [ 9.33333333 18.66666667],0
v1,1,0.823563,0.049713,[ 3 11] ; [ 5 22],[ 2.73170732 11.26829268] ; [ 5.26829268 21.73170732],0
a3,1,0.896219,0.017014,[8 6] ; [16 11],[8.19512195 5.80487805] ; [15.80487805 11.19512195],0
r2,1,0.944955,0.004767,[8 6] ; [14 11],[7.8974359 6.1025641] ; [14.1025641 10.8974359],0
p10,1,0.953574,0.00339,[ 3 11] ; [ 6 21],[ 3.07317073 10.92682927] ; [ 5.92682927 21.07317073],0
s4,1,1.0,0.0,[ 2 12] ; [ 4 24],[ 2. 12.] ; [ 4. 24.],0
u3,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
d1,1,1.0,0.0,[6 8] ; [12 16],[6. 8.] ; [12. 16.],0
