Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.1e-05,17.326182,[31  1] ; [27 23],[22.63414634  9.36585366] ; [35.36585366 14.63414634],1
d1,1,0.000568,11.878286,[24  8] ; [18 32],[16.3902439 15.6097561] ; [25.6097561 24.3902439],1
s2,1,0.001132,10.597715,[22 10] ; [16 34],[14.82926829 17.17073171] ; [23.17073171 26.82926829],0
s4,1,0.006168,7.50052,[13 19] ; [ 7 43],[ 7.80487805 24.19512195] ; [12.19512195 37.80487805],0
s3,1,0.008344,6.958103,[22 10] ; [19 30],[16.19753086 15.80246914] ; [24.80246914 24.19753086],0
d4,1,0.009656,6.697285,[30  2] ; [35 15],[25.36585366  6.63414634] ; [39.63414634 10.36585366],0
p6,1,0.015753,5.830239,[16 15] ; [12 36],[10.98734177 20.01265823] ; [17.01265823 30.98734177],0
a7,1,0.024094,5.087883,[19 13] ; [41  9],[23.41463415  8.58536585] ; [36.58536585 13.41463415],0
n5,1,0.024449,5.0625,[ 6 26] ; [21 28],[10.66666667 21.33333333] ; [16.33333333 32.66666667],0
d3,1,0.028861,4.775879,[26  6] ; [29 21],[21.46341463 10.53658537] ; [33.53658537 16.46341463],0
a1,1,0.052584,3.757091,[ 4 28] ; [ 1 49],[ 1.95121951 30.04878049] ; [ 3.04878049 46.95121951],0
p1,1,0.068111,3.327964,[ 7 24] ; [ 4 45],[ 4.2625 26.7375] ; [ 6.7375 42.2625],0
n1,1,0.072461,3.226364,[5 6] ; [1 9],[3.14285714 7.85714286] ; [2.85714286 7.14285714],0
s8,1,0.086386,2.940469,[17 15] ; [17 33],[13.26829268 18.73170732] ; [20.73170732 29.26829268],0
a5,1,0.093994,2.804612,[26  6] ; [32 18],[22.63414634  9.36585366] ; [35.36585366 14.63414634],0
a4,1,0.095235,2.783582,[14 18] ; [13 37],[10.53658537 21.46341463] ; [16.46341463 33.53658537],0
b4,1,0.105523,2.620028,[23  9] ; [27 23],[19.51219512 12.48780488] ; [30.48780488 19.51219512],0
p10,1,0.119775,2.420266,[26  6] ; [32 17],[22.91358025  9.08641975] ; [35.08641975 13.91358025],0
v3,1,0.131943,2.269493,[11 20] ; [ 9 36],[ 8.15789474 22.84210526] ; [11.84210526 33.15789474],0
v4,1,0.160619,1.96839,[31  1] ; [44  6],[29.26829268  2.73170732] ; [45.73170732  4.26829268],0
p4,1,0.186508,1.744985,[26  6] ; [34 16],[23.41463415  8.58536585] ; [36.58536585 13.41463415],0
n3,1,0.216522,1.527273,[6 5] ; [8 2],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
d2,1,0.281229,1.161141,[14 18] ; [16 34],[11.70731707 20.29268293] ; [18.29268293 31.70731707],0
p11,1,0.296398,1.09033,[24  8] ; [32 18],[21.85365854 10.14634146] ; [34.14634146 15.85365854],0
p12,1,0.321082,0.984532,[ 3 29] ; [ 2 48],[ 1.95121951 30.04878049] ; [ 3.04878049 46.95121951],0
p7,1,0.380484,0.769136,[25  6] ; [36 14],[23.34567901  7.65432099] ; [37.65432099 12.34567901],0
p8,1,0.385949,0.751667,[21 11] ; [28 22],[19.12195122 12.87804878] ; [29.87804878 20.12195122],0
d5,1,0.447836,0.576124,[26  6] ; [37 13],[24.58536585  7.41463415] ; [38.41463415 11.58536585],0
p9,1,0.450781,0.568687,[27  5] ; [38 11],[25.67901235  6.32098765] ; [39.32098765  9.67901235],0
p5,1,0.502913,0.448784,[ 4 28] ; [ 4 46],[ 3.12195122 28.87804878] ; [ 4.87804878 45.12195122],0
r2,1,0.553306,0.351429,[30  2] ; [45  5],[29.26829268  2.73170732] ; [45.73170732  4.26829268],0
b1,1,0.560027,0.339657,[12 20] ; [22 28],[13.26829268 18.73170732] ; [20.73170732 29.26829268],0
a2,1,0.565653,0.330011,[ 6 26] ; [ 7 43],[ 5.07317073 26.92682927] ; [ 7.92682927 42.07317073],0
r1,1,0.607364,0.264031,[20 11] ; [35 15],[21.04938272  9.95061728] ; [33.95061728 16.04938272],0
r4,1,0.661809,0.191333,[28  4] ; [42  8],[27.31707317  4.68292683] ; [42.68292683  7.31707317],0
a6,1,0.673521,0.177511,[19 13] ; [32 18],[19.90243902 12.09756098] ; [31.09756098 18.90243902],0
v1,1,0.67783,0.172579,[15 16] ; [25 22],[15.8974359 15.1025641] ; [24.1025641 22.8974359],0
b2,1,0.694469,0.15429,[ 6 11] ; [ 8 19],[ 5.40909091 11.59090909] ; [ 8.59090909 18.40909091],0
b3,1,0.694469,0.15429,[ 6 11] ; [ 8 19],[ 5.40909091 11.59090909] ; [ 8.59090909 18.40909091],0
n2,1,0.695943,0.152727,[8 3] ; [8 2],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
