Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,26.167459,[ 19 103] ; [19 13],[30.1038961 91.8961039] ; [ 7.8961039 24.1038961],1
s6,1,0.00043,12.396074,[39 89] ; [20 11],[47.49685535 80.50314465] ; [11.50314465 19.49685535],1
p8,1,0.000504,12.100421,[43 85] ; [21 10],[51.52201258 76.47798742] ; [12.47798742 18.52201258],1
p3,1,0.000782,11.283772,[39 89] ; [20 12],[47.2 80.8] ; [11.8 20.2],1
p6,1,0.000874,11.076944,[ 23 101] ; [15 17],[30.20512821 93.79487179] ; [ 7.79487179 24.20512821],1
p10,1,0.002161,9.407209,[73 54] ; [27  4],[80.37974684 46.62025316] ; [19.62025316 11.37974684],0
p12,1,0.002284,9.306217,[  2 127] ; [ 4 26],[  4.86792453 124.13207547] ; [ 1.13207547 28.86792453],0
p4,1,0.002917,8.858426,[46 80] ; [21 11],[53.43037975 72.56962025] ; [13.56962025 18.43037975],0
p9,1,0.007883,7.059756,[84 43] ; [28  3],[90.02531646 36.97468354] ; [21.97468354  9.02531646],0
p7,1,0.012669,6.214696,[60 67] ; [23  9],[66.29559748 60.70440252] ; [16.70440252 15.29559748],0
r1,1,0.013746,6.070474,[75 55] ; [26  6],[81.04938272 48.95061728] ; [19.95061728 12.04938272],0
v3,1,0.014304,6.000192,[29 96] ; [14 17],[34.45512821 90.54487179] ; [ 8.54487179 22.45512821],0
r4,1,0.01784,5.611791,[86 44] ; [28  4],[91.48148148 38.51851852] ; [22.51851852  9.48148148],0
n6,1,0.037397,4.332257,[90 40] ; [28  4],[94.69135802 35.30864198] ; [23.30864198  8.69135802],0
p11,1,0.044408,4.040969,[86 44] ; [27  5],[90.67901235 39.32098765] ; [22.32098765  9.67901235],0
n4,1,0.073714,3.198319,[89 41] ; [27  5],[93.08641975 36.91358025] ; [22.91358025  9.08641975],0
a5,1,0.076359,3.140753,[71 59] ; [23  9],[75.43209877 54.56790123] ; [18.56790123 13.43209877],0
r3,1,0.08471,2.97213,[100  30] ; [29  3],[103.51851852  26.48148148] ; [25.48148148  6.51851852],0
a6,1,0.109445,2.562224,[61 69] ; [10 22],[56.97530864 73.02469136] ; [14.02469136 17.97530864],0
d1,1,0.127567,2.321866,[46 84] ; [16 16],[49.75308642 80.24691358] ; [12.24691358 19.75308642],0
a4,1,0.138849,2.190669,[50 78] ; [ 8 24],[46.4 81.6] ; [11.6 20.4],0
v4,1,0.176245,1.829004,[103  25] ; [29  3],[105.6  22.4] ; [26.4  5.6],0
n5,1,0.195098,1.678697,[90 39] ; [26  6],[92.94409938 36.05590062] ; [23.05590062  8.94409938],0
d2,1,0.204625,1.609051,[56 72] ; [18 14],[59.2 68.8] ; [14.8 17.2],0
b3,1,0.211675,1.55993,[30 46] ; [11  9],[32.45833333 43.54166667] ; [ 8.54166667 11.45833333],0
b2,1,0.211675,1.55993,[30 46] ; [11  9],[32.45833333 43.54166667] ; [ 8.54166667 11.45833333],0
v1,1,0.30085,1.070421,[45 83] ; [14 17],[47.49685535 80.50314465] ; [11.50314465 19.49685535],0
a3,1,0.314522,1.01159,[72 57] ; [21 11],[74.51552795 54.48447205] ; [18.48447205 13.51552795],0
d3,1,0.336078,0.925336,[45 85] ; [14 18],[47.34567901 82.65432099] ; [11.65432099 20.34567901],0
a8,1,0.361101,0.834059,[  9 112] ; [ 4 28],[ 10.28104575 110.71895425] ; [ 2.71895425 29.28104575],0
s5,1,0.366958,0.81394,[27 99] ; [ 9 22],[28.89171975 97.10828025] ; [ 7.10828025 23.89171975],0
s1,1,0.399861,0.708745,[  4 125] ; [ 2 30],[  4.80745342 124.19254658] ; [ 1.19254658 30.80745342],0
u3,1,0.417616,0.657014,[19 39] ; [5 6],[20.17391304 37.82608696] ; [3.82608696 7.17391304],0
a2,1,0.423864,0.639576,[  9 121] ; [ 1 31],[  8.02469136 121.97530864] ; [ 1.97530864 30.02469136],0
b5,1,0.429906,0.623077,[67 63] ; [14 18],[65. 65.] ; [16. 16.],0
u2,1,0.446785,0.578796,[24 33] ; [6 5],[25.14705882 31.85294118] ; [4.85294118 6.14705882],0
p1,1,0.480177,0.498462,[ 11 119] ; [ 4 28],[ 12.03703704 117.96296296] ; [ 2.96296296 29.03703704],0
n2,1,0.494678,0.466335,[31 15] ; [5 4],[30.10909091 15.89090909] ; [5.89090909 3.10909091],0
b4,1,0.530698,0.393054,[77 53] ; [17 15],[75.43209877 54.56790123] ; [18.56790123 13.43209877],0
b1,1,0.581794,0.303343,[62 68] ; [17 15],[63.39506173 66.60493827] ; [15.60493827 16.39506173],0
d4,1,0.583066,0.301304,[82 47] ; [22 10],[83.32919255 45.67080745] ; [20.67080745 11.32919255],0
s4,1,0.61675,0.250462,[ 16 114] ; [ 5 27],[ 16.85185185 113.14814815] ; [ 4.14814815 27.85185185],0
r2,1,0.619326,0.246815,[106  21] ; [27  4],[106.90506329  20.09493671] ; [26.09493671  4.90506329],0
v2,1,0.656938,0.197265,[47 78] ; [13 18],[48.07692308 76.92307692] ; [11.92307692 19.07692308],0
n3,1,0.684175,0.165464,[30 13] ; [5 3],[29.50980392 13.49019608] ; [5.49019608 2.50980392],0
p2,1,0.712051,0.136237,[87 40] ; [23  9],[87.86163522 39.13836478] ; [22.13836478  9.86163522],0
s3,1,0.770847,0.084837,[35 92] ; [ 8 24],[34.34591195 92.65408805] ; [ 8.65408805 23.34591195],0
d5,1,0.822067,0.050574,[80 50] ; [19 13],[79.44444444 50.55555556] ; [19.55555556 12.44444444],0
u1,1,0.846563,0.037445,[  5 125] ; [ 1 31],[  4.81481481 125.18518519] ; [ 1.18518519 30.81481481],0
p5,1,0.905351,0.014138,[ 13 116] ; [ 3 29],[ 12.81987578 116.18012422] ; [ 3.18012422 28.81987578],0
n1,1,0.933359,0.006992,[16 30] ; [3 6],[15.89090909 30.10909091] ; [3.10909091 5.89090909],0
