Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.008572,6.909914,[19 13] ; [56 11],[24.24242424  7.75757576] ; [50.75757576 16.24242424],0
v2,1,0.010781,6.501127,[16 15] ; [51 15],[21.41237113  9.58762887] ; [45.58762887 20.41237113],0
s2,1,0.012165,6.286705,[13 19] ; [45 22],[18.74747475 13.25252525] ; [39.25252525 27.74747475],0
n5,1,0.012844,6.190468,[23  9] ; [61  6],[27.15151515  4.84848485] ; [56.84848485 10.15151515],0
p2,1,0.018786,5.521326,[21 11] ; [56  9],[25.40206186  6.59793814] ; [51.59793814 13.40206186],0
r3,1,0.020867,5.337873,[26  6] ; [64  3],[29.09090909  2.90909091] ; [60.90909091  6.09090909],0
s5,1,0.029279,4.751146,[ 7 25] ; [29 36],[11.87628866 20.12371134] ; [24.12371134 40.87628866],0
p8,1,0.041193,4.168054,[13 18] ; [41 23],[17.62105263 13.37894737] ; [36.37894737 27.62105263],0
p10,1,0.042289,4.123608,[22 10] ; [56  9],[25.73195876  6.26804124] ; [52.26804124 12.73195876],0
p4,1,0.063262,3.449728,[14 16] ; [44 22],[18.125 11.875] ; [39.875 26.125],0
b5,1,0.063573,3.441619,[ 9 23] ; [32 35],[13.25252525 18.74747475] ; [27.74747475 39.25252525],0
r4,1,0.075046,3.169043,[25  7] ; [61  6],[27.7979798  4.2020202] ; [58.2020202  8.7979798],0
n2,1,0.077598,3.11451,[11  1] ; [6 4],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
s7,1,0.07962,3.072639,[15 15] ; [44 20],[18.82978723 11.17021277] ; [40.17021277 23.82978723],0
d5,1,0.082383,3.017259,[23  9] ; [57  9],[26.12244898  5.87755102] ; [53.87755102 12.12244898],0
d3,1,0.095551,2.778269,[11 21] ; [35 32],[14.86868687 17.13131313] ; [31.13131313 35.86868687],0
a8,1,0.096341,2.765099,[ 1 28] ; [10 55],[ 3.39361702 25.60638298] ; [ 7.60638298 57.39361702],0
p5,1,0.109424,2.562524,[ 3 29] ; [15 51],[ 5.87755102 26.12244898] ; [12.12244898 53.87755102],0
a4,1,0.112771,2.514959,[ 9 23] ; [30 37],[12.60606061 19.39393939] ; [26.39393939 40.60606061],0
r2,1,0.116909,2.458253,[26  5] ; [61  4],[28.09375  2.90625] ; [58.90625  6.09375],0
