Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-05,18.176541,[88  8] ; [99 46],[74.48962656 21.51037344] ; [112.51037344  32.48962656],1
p4,1,2.2e-05,18.035434,[81 16] ; [84 62],[65.86419753 31.13580247] ; [99.13580247 46.86419753],1
p3,1,0.000163,14.221053,[68 29] ; [67 80],[53.66803279 43.33196721] ; [81.33196721 65.66803279],1
s5,1,0.00177,9.774463,[35 58] ; [ 28 117],[24.61764706 68.38235294] ; [ 38.38235294 106.61764706],0
p5,1,0.002527,9.120899,[19 78] ; [ 10 137],[11.52868852 85.47131148] ; [ 17.47131148 129.52868852],0
p12,1,0.00303,8.789508,[12 85] ; [  4 142],[ 6.38683128 90.61316872] ; [  9.61316872 136.38683128],0
a4,1,0.003712,8.419585,[49 48] ; [ 47 100],[38.16393443 58.83606557] ; [57.83606557 89.16393443],0
s4,1,0.005611,7.67116,[21 72] ; [ 14 132],[13.61924686 79.38075314] ; [ 21.38075314 124.61924686],0
s6,1,0.009287,6.766696,[60 32] ; [68 74],[50.32478632 41.67521368] ; [77.67521368 64.32478632],0
a3,1,0.012505,6.237772,[67 29] ; [79 68],[57.67901235 38.32098765] ; [88.32098765 58.67901235],0
u1,1,0.014119,6.023191,[19 78] ; [ 13 135],[12.66938776 84.33061224] ; [ 19.33061224 128.66938776],0
a2,1,0.014188,6.014596,[26 71] ; [ 21 127],[18.60816327 78.39183673] ; [ 28.39183673 119.60816327],0
d2,1,0.016766,5.72067,[49 48] ; [52 96],[39.9877551 57.0122449] ; [61.0122449 86.9877551],0
a1,1,0.04468,4.030671,[ 7 90] ; [  3 145],[ 3.95918367 93.04081633] ; [  6.04081633 141.95918367],0
s7,1,0.058358,3.583431,[32 60] ; [ 33 108],[25.66523605 66.33476395] ; [ 39.33476395 101.66523605],0
b3,1,0.062925,3.458554,[18 38] ; [14 63],[13.47368421 42.52631579] ; [18.52631579 58.47368421],0
b2,1,0.062925,3.458554,[18 38] ; [14 63],[13.47368421 42.52631579] ; [18.52631579 58.47368421],0
b1,1,0.093519,2.812735,[41 56] ; [ 47 101],[34.84081633 62.15918367] ; [53.15918367 94.84081633],0
s2,1,0.10479,2.631086,[37 59] ; [ 42 105],[31.20987654 64.79012346] ; [47.79012346 99.20987654],0
n4,1,0.105547,2.619657,[77 20] ; [103  44],[71.55737705 25.44262295] ; [108.44262295  38.55737705],0
v1,1,0.118362,2.438868,[53 42] ; [65 78],[47.10084034 47.89915966] ; [70.89915966 72.10084034],0
p1,1,0.121427,2.398812,[15 82] ; [ 13 132],[11.2231405 85.7768595] ; [ 16.7768595 128.2231405],0
n5,1,0.125887,2.342508,[74 22] ; [100  47],[68.74074074 27.25925926] ; [105.25925926  41.74074074],0
p2,1,0.14379,2.136918,[88  9] ; [123  23],[84.22633745 12.77366255] ; [126.77366255  19.22633745],0
d1,1,0.149875,2.073523,[55 42] ; [70 78],[49.48979592 47.51020408] ; [75.51020408 72.48979592],0
r1,1,0.242336,1.366953,[78 18] ; [110  37],[74.27160494 21.72839506] ; [113.72839506  33.27160494],0
v3,1,0.245807,1.346977,[38 57] ; [46 95],[33.81355932 61.18644068] ; [50.18644068 90.81355932],0
n6,1,0.27646,1.184411,[84 12] ; [121  26],[80.98765432 15.01234568] ; [124.01234568  22.98765432],0
p11,1,0.282566,1.154705,[82 15] ; [117  31],[78.7877551 18.2122449] ; [120.2122449  27.7877551],0
p9,1,0.284126,1.147246,[84 13] ; [118  27],[80.96694215 16.03305785] ; [121.03305785  23.96694215],0
p10,1,0.310347,1.029198,[83 13] ; [119  27],[80.1322314 15.8677686] ; [121.8677686  24.1322314],0
d3,1,0.359646,0.839129,[69 28] ; [97 51],[65.72244898 31.27755102] ; [100.27755102  47.72244898],0
n2,1,0.375711,0.784689,[16  3] ; [16  6],[14.82926829  4.17073171] ; [17.17073171  4.82926829],0
b4,1,0.401298,0.704432,[59 38] ; [82 66],[55.8244898 41.1755102] ; [85.1755102 62.8244898],0
b5,1,0.522043,0.409854,[57 40] ; [93 55],[59.3877551 37.6122449] ; [90.6122449 57.3877551],0
v4,1,0.53002,0.394354,[93  3] ; [140   7],[92.04938272  3.95061728] ; [140.95061728   6.04938272],0
s3,1,0.543698,0.368728,[38 57] ; [52 92],[35.77405858 59.22594142] ; [54.22594142 89.77405858],0
r4,1,0.549062,0.359,[87 10] ; [129  19],[85.51836735 11.48163265] ; [130.48163265  17.51836735],0
d4,1,0.578279,0.309026,[77 20] ; [113  35],[75.2244898 21.7755102] ; [114.7755102  33.2244898],0
a6,1,0.630228,0.231751,[64 33] ; [102  46],[65.72244898 31.27755102] ; [100.27755102  47.72244898],0
a8,1,0.707616,0.14067,[ 9 77] ; [ 16 116],[ 9.86238532 76.13761468] ; [ 15.13761468 116.86238532],0
s1,1,0.75414,0.098085,[ 2 94] ; [  4 143],[ 2.37037037 93.62962963] ; [  3.62962963 143.37037037],0
a5,1,0.797778,0.06565,[68 29] ; [106  42],[68.88979592 28.11020408] ; [105.11020408  42.88979592],0
n1,1,0.816275,0.053981,[ 7 12] ; [ 7 14],[ 6.65 12.35] ; [ 7.35 13.65],0
u2,1,0.842339,0.039562,[15 15] ; [36 33],[15.45454545 14.54545455] ; [35.54545455 33.45454545],0
d5,1,0.844984,0.038229,[75 22] ; [116  32],[75.62040816 21.37959184] ; [115.37959184  32.62040816],0
a7,1,0.844984,0.038229,[75 22] ; [116  32],[75.62040816 21.37959184] ; [115.37959184  32.62040816],0
v2,1,0.849803,0.035861,[53 43] ; [75 64],[52.2893617 43.7106383] ; [75.7106383 63.2893617],0
r3,1,0.855267,0.033271,[88  7] ; [138  10],[88.35390947  6.64609053] ; [137.64609053  10.35390947],0
u3,1,0.876438,0.024176,[14 15] ; [34 34],[14.35051546 14.64948454] ; [33.64948454 34.35051546],0
r2,1,0.877768,0.023654,[88  7] ; [136  10],[88.29875519  6.70124481] ; [135.70124481  10.29875519],0
