Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.403822,[18 24] ; [188  51],[30.79003559 11.20996441] ; [175.20996441  63.79003559],1
p4,1,0.000276,13.22681,[17 23] ; [176  70],[26.99300699 13.00699301] ; [166.00699301  79.99300699],1
p8,1,0.000917,10.98743,[15 27] ; [153  90],[24.75789474 17.24210526] ; [143.24210526  99.75789474],1
p9,1,0.001189,10.507132,[31 10] ; [224  19],[36.81338028  4.18661972] ; [218.18661972  24.81338028],0
s1,1,0.007361,7.182812,[ 5 37] ; [  7 235],[ 1.77464789 40.22535211] ; [ 10.22535211 231.77464789],0
p10,1,0.01337,6.119448,[31 10] ; [220  26],[35.85714286  5.14285714] ; [215.14285714  30.85714286],0
p11,1,0.014877,5.931004,[27 15] ; [200  47],[32.98961938  9.01038062] ; [194.01038062  52.98961938],0
p3,1,0.015625,5.844573,[17 24] ; [152  95],[24.05902778 16.94097222] ; [144.94097222 102.05902778],0
n5,1,0.037009,4.349978,[28 14] ; [199  47],[33.10416667  8.89583333] ; [193.89583333  52.10416667],0
s4,1,0.040845,4.182453,[16 25] ; [ 58 185],[10.68309859 30.31690141] ; [ 63.31690141 179.68309859],0
n4,1,0.045567,3.997524,[28 14] ; [197  48],[32.92682927  9.07317073] ; [192.07317073  52.92682927],0
d5,1,0.05075,3.816489,[30 11] ; [210  36],[34.28571429  6.71428571] ; [205.71428571  40.28571429],0
p12,1,0.056839,3.627307,[ 9 33] ; [ 27 220],[ 5.23183391 36.76816609] ; [ 30.76816609 216.23183391],0
d1,1,0.079544,3.074187,[22 20] ; [164  83],[27.03114187 14.96885813] ; [158.96885813  88.03114187],0
b1,1,0.094781,2.791238,[21 21] ; [ 90 157],[16.13148789 25.86851211] ; [ 94.86851211 152.13148789],0
u2,1,0.106195,2.609956,[4 8] ; [33 23],[6.52941176 5.47058824] ; [30.47058824 25.52941176],0
s3,1,0.11679,2.459853,[24 17] ; [172  71],[28.29577465 12.70422535] ; [167.70422535  75.29577465],0
r1,1,0.1368,2.213591,[32 10] ; [209  36],[35.26829268  6.73170732] ; [205.73170732  39.26829268],0
u1,1,0.184537,1.760702,[ 6 36] ; [ 58 189],[ 9.30103806 32.69896194] ; [ 54.69896194 192.30103806],0
a2,1,0.192364,1.699422,[ 8 34] ; [ 71 176],[11.48096886 30.51903114] ; [ 67.51903114 179.48096886],0
d4,1,0.204491,1.610002,[33  8] ; [215  30],[35.55244755  5.44755245] ; [212.44755245  32.55244755],0
a3,1,0.207164,1.591137,[29 13] ; [191  54],[32.19512195  9.80487805] ; [187.80487805  57.19512195],0
d3,1,0.213858,1.545118,[26 15] ; [180  67],[29.32638889 11.67361111] ; [176.67361111  70.32638889],0
s7,1,0.244772,1.352897,[23 17] ; [158  78],[26.23188406 13.76811594] ; [154.76811594  81.23188406],0
s6,1,0.249466,1.326294,[39  3] ; [211  33],[36.71328671  5.28671329] ; [213.28671329  30.71328671],0
n3,1,0.258944,1.274394,[7 5] ; [41 14],[8.59701493 3.40298507] ; [39.40298507 15.59701493],0
a7,1,0.327034,0.960607,[26 16] ; [171  75],[28.72916667 13.27083333] ; [168.27083333  77.72916667],0
n1,1,0.378223,0.776471,[4 7] ; [28 27],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
p1,1,0.382567,0.762435,[ 7 35] ; [ 29 216],[ 5.26829268 36.73170732] ; [ 30.73170732 214.26829268],0
p6,1,0.383812,0.758456,[17 25] ; [116 127],[19.6 22.4] ; [113.4 129.6],0
a1,1,0.404136,0.695986,[ 4 38] ; [ 15 232],[ 2.76124567 39.23875433] ; [ 16.23875433 230.76124567],0
r4,1,0.47392,0.512821,[41  1] ; [235  12],[40.11072664  1.88927336] ; [235.88927336  11.11072664],0
a5,1,0.479142,0.500815,[35  7] ; [194  53],[33.28027682  8.71972318] ; [195.71972318  51.28027682],0
v1,1,0.505421,0.443535,[24 18] ; [152  91],[25.93684211 16.06315789] ; [150.06315789  92.93684211],0
v2,1,0.659057,0.194672,[24 15] ; [141 103],[22.7385159 16.2614841] ; [142.2614841 101.7385159],0
b5,1,0.691721,0.157228,[24 18] ; [133 114],[22.816609 19.183391] ; [134.183391 112.816609],0
s8,1,0.716847,0.131534,[25 16] ; [142 103],[23.94055944 17.05944056] ; [143.05944056 101.94055944],0
p5,1,0.723473,0.125189,[ 8 34] ; [ 53 194],[ 8.8650519 33.1349481] ; [ 52.1349481 194.8650519],0
a6,1,0.726178,0.12265,[25 16] ; [157  89],[26. 15.] ; [156.  90.],0
u4,1,0.726405,0.122438,[ 1 41] ; [  4 243],[ 0.7266436 41.2733564] ; [  4.2733564 242.7266436],0
b2,1,0.754775,0.097562,[11 17] ; [62 84],[11.74712644 16.25287356] ; [61.25287356 84.74712644],0
b3,1,0.754775,0.097562,[11 17] ; [62 84],[11.74712644 16.25287356] ; [61.25287356 84.74712644],0
r2,1,0.764281,0.089918,[41  1] ; [238   8],[40.6875  1.3125] ; [238.3125   7.6875],0
n2,1,0.851791,0.034907,[10  2] ; [47  8],[10.20895522  1.79104478] ; [46.79104478  8.20895522],0
u3,1,0.85272,0.034466,[8 5] ; [36 20],[8.28985507 4.71014493] ; [35.71014493 20.28985507],0
d2,1,0.864916,0.028941,[21 20] ; [129 116],[21.5034965 19.4965035] ; [128.4965035 116.5034965],0
s2,1,0.869608,0.026947,[30 12] ; [178  67],[30.43902439 11.56097561] ; [177.56097561  67.43902439],0
n6,1,0.929913,0.007736,[37  4] ; [220  25],[36.84265734  4.15734266] ; [220.15734266  24.84265734],0
r3,1,0.937549,0.006139,[40  2] ; [234  11],[40.09756098  1.90243902] ; [233.90243902  11.09756098],0
v3,1,0.952002,0.003623,[18 22] ; [109 136],[17.8245614 22.1754386] ; [109.1754386 135.8245614],0
b4,1,0.96401,0.002036,[26 16] ; [152  95],[25.86851211 16.13148789] ; [152.13148789  94.86851211],0
a4,1,0.980648,0.000588,[21 21] ; [124 123],[21.07266436 20.92733564] ; [123.92733564 123.07266436],0
a8,1,0.982743,0.000468,[ 5 34] ; [ 29 195],[ 5.0418251 33.9581749] ; [ 28.9581749 195.0418251],0
