Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.649292,[133  29] ; [23 25],[120.34285714  41.65714286] ; [35.65714286 12.34285714],1
p4,1,7.6e-05,15.667176,[93 71] ; [12 37],[80.84507042 83.15492958] ; [24.15492958 24.84507042],1
p10,1,9.8e-05,15.181082,[126  36] ; [24 25],[115.16587678  46.83412322] ; [34.83412322 14.16587678],1
p8,1,9.9e-05,15.162498,[84 80] ; [10 40],[72.03738318 91.96261682] ; [21.96261682 28.03738318],1
v4,1,0.001166,10.543946,[158   7] ; [41  9],[152.72093023  12.27906977] ; [46.27906977  3.72093023],0
p7,1,0.001742,9.803241,[102  60] ; [18 30],[92.57142857 69.42857143] ; [27.42857143 20.57142857],0
r3,1,0.002105,9.456018,[157   6] ; [42  8],[152.28638498  10.71361502] ; [46.71361502  3.28638498],0
s1,1,0.011094,6.450173,[  5 158] ; [ 6 43],[  8.45754717 154.54245283] ; [ 2.54245283 46.45754717],0
p3,1,0.017369,5.658692,[74 91] ; [13 37],[66.76744186 98.23255814] ; [20.23255814 29.76744186],0
d3,1,0.02198,5.247359,[99 65] ; [21 29],[91.96261682 72.03738318] ; [28.03738318 21.96261682],0
s4,1,0.038661,4.275683,[ 22 140] ; [13 37],[ 26.74528302 135.25471698] ; [ 8.25471698 41.74528302],0
a8,1,0.039101,4.256461,[ 24 127] ; [ 2 45],[ 19.82828283 131.17171717] ; [ 6.17171717 40.82828283],0
p6,1,0.042419,4.118393,[ 54 107] ; [ 9 40],[ 48.3 112.7] ; [14.7 34.3],0
s3,1,0.043252,4.085543,[91 71] ; [19 29],[84.85714286 77.14285714] ; [25.14285714 22.85714286],0
a6,1,0.045682,3.993296,[86 79] ; [18 32],[79.81395349 85.18604651] ; [24.18604651 25.81395349],0
a7,1,0.071665,3.24447,[113  49] ; [28 22],[107.74528302  54.25471698] ; [33.25471698 16.74528302],0
p5,1,0.077098,3.125033,[ 22 143] ; [ 2 46],[ 18.5915493 146.4084507] ; [ 5.4084507 42.5915493],0
d5,1,0.091772,2.843009,[110  54] ; [27 23],[104.99065421  59.00934579] ; [32.00934579 17.99065421],0
p11,1,0.119376,2.425487,[127  38] ; [33 17],[122.79069767  42.20930233] ; [37.20930233 12.79069767],0
s7,1,0.147872,2.09407,[62 96] ; [13 34],[ 57.80487805 100.19512195] ; [17.19512195 29.80487805],0
r2,1,0.155306,2.019342,[149  15] ; [41  8],[146.29107981  17.70892019] ; [43.70892019  5.29107981],0
s5,1,0.185887,1.749921,[ 41 117] ; [ 8 40],[ 37.58252427 120.41747573] ; [11.41747573 36.58252427],0
s2,1,0.195378,1.676589,[74 90] ; [17 32],[70.0657277 93.9342723] ; [20.9342723 28.0657277],0
b1,1,0.197737,1.65901,[ 53 112] ; [21 29],[ 56.79069767 108.20930233] ; [17.20930233 32.79069767],0
n5,1,0.210784,1.566031,[120  44] ; [32 18],[116.48598131  47.51401869] ; [35.51401869 14.48598131],0
r4,1,0.210998,1.564567,[141  24] ; [39 11],[138.13953488  26.86046512] ; [41.86046512  8.13953488],0
s8,1,0.228051,1.452973,[ 58 107] ; [13 37],[ 54.48837209 110.51162791] ; [16.51162791 33.48837209],0
d1,1,0.292114,1.109852,[ 56 109] ; [13 37],[ 52.95348837 112.04651163] ; [16.04651163 33.95348837],0
v1,1,0.295539,1.094217,[71 89] ; [18 32],[67.80952381 92.19047619] ; [21.19047619 28.80952381],0
a3,1,0.30961,1.032338,[80 83] ; [20 29],[76.88679245 86.11320755] ; [23.11320755 25.88679245],0
n4,1,0.323053,0.976547,[117  47] ; [32 18],[114.18691589  49.81308411] ; [34.81308411 15.18691589],0
p1,1,0.353165,0.862054,[ 17 147] ; [ 3 47],[ 15.3271028 148.6728972] ; [ 4.6728972 45.3271028],0
b2,1,0.355595,0.85339,[26 66] ; [ 5 21],[24.16949153 67.83050847] ; [ 6.83050847 19.16949153],0
b3,1,0.355595,0.85339,[26 66] ; [ 5 21],[24.16949153 67.83050847] ; [ 6.83050847 19.16949153],0
b5,1,0.360847,0.834942,[97 68] ; [33 17],[99.76744186 65.23255814] ; [30.23255814 19.76744186],0
d4,1,0.362442,0.829416,[113  51] ; [31 19],[110.35514019  53.64485981] ; [33.64485981 16.35514019],0
r1,1,0.401712,0.703195,[109  55] ; [30 20],[106.52336449  57.47663551] ; [32.47663551 17.52336449],0
a4,1,0.50778,0.43864,[ 34 131] ; [ 8 41],[ 32.38317757 132.61682243] ; [ 9.61682243 39.38317757],0
n3,1,0.534023,0.38673,[29 12] ; [8 5],[28.09259259 12.90740741] ; [8.90740741 4.09259259],0
b4,1,0.559508,0.340557,[98 67] ; [32 18],[99.76744186 65.23255814] ; [30.23255814 19.76744186],0
d2,1,0.681026,0.168973,[ 38 126] ; [13 37],[ 39.08411215 124.91588785] ; [11.91588785 38.08411215],0
u3,1,0.753909,0.098276,[42 42] ; [16 14],[42.73684211 41.26315789] ; [15.26315789 14.73684211],0
n1,1,0.776495,0.080594,[14 27] ; [5 8],[14.42592593 26.57407407] ; [4.57407407 8.42592593],0
s6,1,0.777057,0.080178,[97 64] ; [29 21],[96.14218009 64.85781991] ; [29.85781991 20.14218009],0
v2,1,0.794823,0.067627,[74 84] ; [21 26],[73.2195122 84.7804878] ; [21.7804878 25.2195122],0
a1,1,0.861577,0.030404,[  4 161] ; [ 1 49],[  3.8372093 161.1627907] ; [ 1.1627907 48.8372093],0
v3,1,0.876512,0.024147,[ 59 102] ; [17 31],[ 58.54545455 102.45454545] ; [17.45454545 30.54545455],0
n2,1,0.907537,0.01349,[27 13] ; [9 4],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
u2,1,0.954897,0.003199,[41 42] ; [15 15],[41.13274336 41.86725664] ; [14.86725664 15.13274336],0
p12,1,0.97983,0.000639,[ 10 154] ; [ 3 47],[  9.96261682 154.03738318] ; [ 3.03738318 46.96261682],0
