Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000384,12.606061,[37  2] ; [7 6],[33.  6.] ; [11.  2.],1
b3,1,0.047726,3.919596,[13 16] ; [1 9],[10.41025641 18.58974359] ; [3.58974359 6.41025641],0
b2,1,0.047726,3.919596,[13 16] ; [1 9],[10.41025641 18.58974359] ; [3.58974359 6.41025641],0
r3,1,0.085992,2.947846,[38  1] ; [11  2],[36.75  2.25] ; [12.25  0.75],0
d3,1,0.111719,2.52973,[30  9] ; [7 6],[27.75 11.25] ; [9.25 3.75],0
s6,1,0.150494,2.067235,[33  5] ; [9 4],[31.29411765  6.70588235] ; [10.70588235  2.29411765],0
p9,1,0.150494,2.067235,[33  5] ; [9 4],[31.29411765  6.70588235] ; [10.70588235  2.29411765],0
v1,1,0.188516,1.729179,[24 14] ; [5 7],[22.04 15.96] ; [6.96 5.04],0
v3,1,0.189145,1.724266,[13 22] ; [ 2 10],[11.17021277 23.82978723] ; [3.82978723 8.17021277],0
p3,1,0.198851,1.650794,[20 19] ; [4 9],[18. 21.] ; [6. 7.],0
s2,1,0.220616,1.50036,[22 16] ; [10  3],[23.84313725 14.15686275] ; [8.15686275 4.84313725],0
a5,1,0.232181,1.427451,[28 11] ; [7 6],[26.25 12.75] ; [8.75 4.25],0
a7,1,0.232181,1.427451,[28 11] ; [7 6],[26.25 12.75] ; [8.75 4.25],0
p6,1,0.232181,1.427451,[11 28] ; [6 7],[12.75 26.25] ; [4.25 8.75],0
r2,1,0.305749,1.048951,[36  3] ; [9 2],[35.1  3.9] ; [9.9 1.1],0
s7,1,0.389852,0.739405,[20 16] ; [9 4],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
a1,1,0.405033,0.693333,[ 1 38] ; [ 1 12],[ 1.5 37.5] ; [ 0.5 12.5],0
s3,1,0.422695,0.642809,[24 13] ; [10  3],[25.16 11.84] ; [8.84 4.16],0
p8,1,0.422996,0.641975,[20 19] ; [5 8],[18.75 20.25] ; [6.25 6.75],0
n1,1,0.437558,0.602679,[5 7] ; [2 1],[5.6 6.4] ; [1.4 1.6],0
p11,1,0.447185,0.577778,[29 10] ; [11  2],[30.  9.] ; [10.  3.],0
v2,1,0.504985,0.444444,[19 17] ; [5 7],[18. 18.] ; [6. 6.],0
a3,1,0.510358,0.433333,[25 14] ; [7 6],[24. 15.] ; [8. 5.],0
u3,1,0.515305,0.42328,[13  1] ; [5 1],[12.6  1.4] ; [5.4 0.6],0
n4,1,0.520603,0.412698,[19 20] ; [5 8],[18. 21.] ; [6. 7.],0
d5,1,0.525492,0.403101,[33  6] ; [10  3],[32.25  6.75] ; [10.75  2.25],0
s4,1,0.5791,0.307692,[ 9 30] ; [4 9],[ 9.75 29.25] ; [3.25 9.75],0
u1,1,0.616226,0.251208,[ 5 34] ; [ 1 12],[ 4.5 34.5] ; [ 1.5 11.5],0
b5,1,0.617919,0.248804,[24 15] ; [9 4],[24.75 14.25] ; [8.25 4.75],0
d1,1,0.624473,0.239631,[24 15] ; [7 6],[23.25 15.75] ; [7.75 5.25],0
b1,1,0.624473,0.239631,[24 15] ; [7 6],[23.25 15.75] ; [7.75 5.25],0
d2,1,0.628659,0.233883,[18 21] ; [5 8],[17.25 21.75] ; [5.75 7.25],0
p4,1,0.628659,0.233883,[21 18] ; [8 5],[21.75 17.25] ; [7.25 5.75],0
p10,1,0.656817,0.197413,[30  8] ; [11  2],[30.54901961  7.45098039] ; [10.45098039  2.54901961],0
p7,1,0.683393,0.166332,[24 13] ; [7 5],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
p2,1,0.684522,0.165079,[32  7] ; [10  3],[31.5  7.5] ; [10.5  2.5],0
d4,1,0.684522,0.165079,[32  7] ; [10  3],[31.5  7.5] ; [10.5  2.5],0
b4,1,0.745851,0.105051,[23 16] ; [7 6],[22.5 16.5] ; [7.5 5.5],0
s5,1,0.778505,0.079111,[14 23] ; [4 8],[13.59183673 23.40816327] ; [4.40816327 7.59183673],0
p1,1,0.78594,0.073759,[ 4 35] ; [ 1 12],[ 3.75 35.25] ; [ 1.25 11.75],0
n3,1,0.793258,0.068687,[8 4] ; [3 2],[7.76470588 4.23529412] ; [3.23529412 1.76470588],0
a8,1,0.841547,0.039966,[ 5 30] ; [ 2 10],[ 5.21276596 29.78723404] ; [ 1.78723404 10.21276596],0
a4,1,0.859726,0.031231,[11 28] ; [4 9],[11.25 27.75] ; [3.75 9.25],0
n2,1,0.86952,0.026984,[10  2] ; [4 1],[9.88235294 2.11764706] ; [4.11764706 0.88235294],0
n5,1,0.871932,0.025987,[17 22] ; [6 7],[17.25 21.75] ; [5.75 7.25],0
a6,1,1.0,0.0,[27 12] ; [9 4],[27. 12.] ; [9. 4.],0
a2,1,1.0,0.0,[ 6 33] ; [ 2 11],[ 6. 33.] ; [ 2. 11.],0
