Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,20.041032,[ 1 41] ; [8 8],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],1
s5,1,0.000243,13.462836,[ 3 38] ; [8 8],[ 7.9122807 33.0877193] ; [ 3.0877193 12.9122807],1
s2,1,0.001874,9.669027,[ 5 37] ; [8 8],[ 9.4137931 32.5862069] ; [ 3.5862069 12.4137931],0
n6,1,0.004165,8.210593,[16 25] ; [13  3],[20.85964912 20.14035088] ; [8.14035088 7.85964912],0
v4,1,0.009072,6.808696,[21 21] ; [14  2],[25.34482759 16.65517241] ; [9.65517241 6.34482759],0
p11,1,0.010122,6.613287,[11 31] ; [10  6],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
n4,1,0.020412,5.376295,[23 19] ; [14  2],[26.79310345 15.20689655] ; [10.20689655  5.79310345],0
n2,1,0.024464,5.061438,[10 14] ; [7 1],[12.75 11.25] ; [4.25 3.75],0
v1,1,0.031215,4.641098,[ 7 35] ; [7 9],[10.13793103 31.86206897] ; [ 3.86206897 12.13793103],0
p9,1,0.041007,4.17571,[15 24] ; [11  5],[18.43636364 20.56363636] ; [7.56363636 8.43636364],0
s8,1,0.041102,4.171823,[ 4 38] ; [ 5 11],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
b4,1,0.04456,4.035211,[22 20] ; [13  3],[25.34482759 16.65517241] ; [9.65517241 6.34482759],0
r1,1,0.049956,3.84294,[12 30] ; [9 7],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
s3,1,0.072756,3.219725,[11 29] ; [8 7],[13.81818182 26.18181818] ; [5.18181818 9.81818182],0
s4,1,0.089035,2.891738,[ 7 35] ; [ 6 10],[ 9.4137931 32.5862069] ; [ 3.5862069 12.4137931],0
n3,1,0.10247,2.666667,[10 14] ; [6 2],[12. 12.] ; [4. 4.],0
n5,1,0.112599,2.517361,[28 14] ; [14  2],[30.4137931 11.5862069] ; [11.5862069  4.4137931],0
s7,1,0.134288,2.242224,[ 7 31] ; [ 6 10],[ 9.14814815 28.85185185] ; [ 3.85185185 12.14814815],0
b5,1,0.149312,2.079266,[20 22] ; [11  5],[22.44827586 19.55172414] ; [8.55172414 7.44827586],0
p2,1,0.180889,1.790306,[18 24] ; [10  6],[20.27586207 21.72413793] ; [7.72413793 8.27586207],0
b3,1,0.198349,1.654486,[12 17] ; [ 3 11],[10.11627907 18.88372093] ; [4.88372093 9.11627907],0
b2,1,0.198349,1.654486,[12 17] ; [ 3 11],[10.11627907 18.88372093] ; [4.88372093 9.11627907],0
v2,1,0.233534,1.419207,[ 5 36] ; [ 4 12],[ 6.47368421 34.52631579] ; [ 2.52631579 13.47368421],0
d2,1,0.269257,1.220526,[14 27] ; [8 8],[15.8245614 25.1754386] ; [6.1754386 9.8245614],0
a7,1,0.280309,1.165594,[17 25] ; [9 7],[18.82758621 23.17241379] ; [7.17241379 8.82758621],0
r2,1,0.289918,1.12,[24 16] ; [12  4],[25.71428571 14.28571429] ; [10.28571429  5.71428571],0
s1,1,0.298593,1.080467,[ 2 40] ; [ 2 14],[ 2.89655172 39.10344828] ; [ 1.10344828 14.89655172],0
a3,1,0.30313,1.060372,[21 20] ; [10  5],[22.69642857 18.30357143] ; [8.30357143 6.69642857],0
n1,1,0.306488,1.045752,[10 14] ; [5 3],[11.25 12.75] ; [3.75 4.25],0
p10,1,0.313868,1.01433,[17 24] ; [9 7],[18.70175439 22.29824561] ; [7.29824561 8.70175439],0
p8,1,0.322289,0.979635,[10 31] ; [ 6 10],[11.50877193 29.49122807] ; [ 4.49122807 11.50877193],0
u3,1,0.326109,0.964286,[ 6 15] ; [3 3],[ 7. 14.] ; [2. 4.],0
p1,1,0.335035,0.929338,[ 4 38] ; [ 3 13],[ 5.06896552 36.93103448] ; [ 1.93103448 14.06896552],0
b1,1,0.410643,0.676937,[26 16] ; [8 8],[24.62068966 17.37931034] ; [9.37931034 6.62068966],0
d4,1,0.419289,0.652307,[24 18] ; [11  5],[25.34482759 16.65517241] ; [9.65517241 6.34482759],0
u2,1,0.455924,0.555882,[ 7 14] ; [3 3],[ 7.77777778 13.22222222] ; [2.22222222 3.77777778],0
d1,1,0.460658,0.544294,[14 28] ; [7 9],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
d5,1,0.488566,0.479682,[22 20] ; [10  6],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
p5,1,0.534236,0.386327,[ 3 38] ; [ 2 14],[ 3.59649123 37.40350877] ; [ 1.40350877 14.59649123],0
p3,1,0.563002,0.334533,[10 32] ; [ 5 11],[10.86206897 31.13793103] ; [ 4.13793103 11.86206897],0
a5,1,0.670301,0.18125,[21 21] ; [9 7],[21.72413793 20.27586207] ; [8.27586207 7.72413793],0
a2,1,0.691341,0.157637,[ 4 38] ; [ 1 15],[ 3.62068966 38.37931034] ; [ 1.37931034 14.62068966],0
p6,1,0.70178,0.146627,[ 6 35] ; [ 3 13],[ 6.47368421 34.52631579] ; [ 2.52631579 13.47368421],0
d3,1,0.791763,0.069708,[20 22] ; [7 9],[19.55172414 22.44827586] ; [7.44827586 8.55172414],0
a6,1,0.791763,0.069708,[20 22] ; [7 9],[19.55172414 22.44827586] ; [7.44827586 8.55172414],0
a1,1,0.950408,0.003868,[ 5 37] ; [ 2 14],[ 5.06896552 36.93103448] ; [ 1.93103448 14.06896552],0
p7,1,0.954621,0.003238,[14 27] ; [ 5 10],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
a4,1,0.954621,0.003238,[14 27] ; [ 5 10],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
p4,1,0.98253,0.000479,[13 29] ; [ 5 11],[13.03448276 28.96551724] ; [ 4.96551724 11.03448276],0
