Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000403,12.518031,[ 9 12] ; [65 15],[15.38613861  5.61386139] ; [58.61386139 21.38613861],1
p10,1,0.000421,12.438296,[10 11] ; [65 12],[16.07142857  4.92857143] ; [58.92857143 18.07142857],1
v4,1,0.007089,7.250299,[16  5] ; [76  4],[19.12871287  1.87128713] ; [72.87128713  7.12871287],0
r2,1,0.007908,7.054193,[15  6] ; [74  6],[18.5049505  2.4950495] ; [70.4950495  9.5049505],0
p11,1,0.008564,6.91158,[12  9] ; [67 13],[16.42574257  4.57425743] ; [62.57425743 17.42574257],0
a7,1,0.015469,5.8623,[10 11] ; [60 20],[14.55445545  6.44554455] ; [55.44554455 24.55445545],0
p9,1,0.02328,5.147475,[13  8] ; [65 12],[16.71428571  4.28571429] ; [61.28571429 15.71428571],0
p6,1,0.040171,4.210658,[ 3 18] ; [30 49],[ 6.93 14.07] ; [26.07 52.93],0
a6,1,0.043846,4.062475,[12  9] ; [63 17],[15.59405941  5.40594059] ; [59.40594059 20.59405941],0
a4,1,0.06393,3.432367,[10 11] ; [21 58],[ 6.51 14.49] ; [24.49 54.51],0
p8,1,0.064929,3.40677,[ 8 12] ; [49 29],[11.63265306  8.36734694] ; [45.36734694 32.63265306],0
s5,1,0.072993,3.214402,[ 3 17] ; [28 50],[ 6.32653061 13.67346939] ; [24.67346939 53.32653061],0
r4,1,0.092603,2.828538,[16  5] ; [72  8],[18.2970297  2.7029703] ; [69.7029703 10.2970297],0
n4,1,0.10745,2.591338,[12  9] ; [60 20],[14.97029703  6.02970297] ; [57.02970297 22.97029703],0
v2,1,0.11754,2.449802,[ 7 14] ; [41 37],[10.18181818 10.81818182] ; [37.81818182 40.18181818],0
s3,1,0.121605,2.396524,[15  6] ; [41 37],[11.87878788  9.12121212] ; [44.12121212 33.87878788],0
s1,1,0.155043,2.021921,[ 2 19] ; [ 2 75],[ 0.85714286 20.14285714] ; [ 3.14285714 73.85714286],0
d4,1,0.167738,1.903046,[ 8 13] ; [44 36],[10.81188119 10.18811881] ; [41.18811881 38.81188119],0
p2,1,0.197567,1.66027,[13  8] ; [60 19],[15.33  5.67] ; [57.67 21.33],0
n2,1,0.21371,1.546111,[6 2] ; [14  1],[6.95652174 1.04347826] ; [13.04347826  1.95652174],0
b4,1,0.216501,1.527415,[10 11] ; [50 30],[12.47524752  8.52475248] ; [47.52475248 32.47524752],0
b3,1,0.245016,1.351502,[4 8] ; [25 23],[5.8 6.2] ; [23.2 24.8],0
b2,1,0.245016,1.351502,[4 8] ; [25 23],[5.8 6.2] ; [23.2 24.8],0
s7,1,0.250481,1.320618,[ 7 11] ; [41 35],[9.19148936 8.80851064] ; [38.80851064 37.19148936],0
a8,1,0.251347,1.315801,[ 4 14] ; [ 9 67],[ 2.4893617 15.5106383] ; [10.5106383 65.4893617],0
s4,1,0.255327,1.29392,[ 2 19] ; [16 63],[ 3.78 17.22] ; [14.22 64.78],0
