Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.017858,5.610042,[32 50] ; [ 2 17],[27.6039604 54.3960396] ; [ 6.3960396 12.6039604],0
b2,1,0.017858,5.610042,[32 50] ; [ 2 17],[27.6039604 54.3960396] ; [ 6.3960396 12.6039604],0
v3,1,0.018851,5.515243,[55 75] ; [ 9 32],[48.65497076 81.34502924] ; [15.34502924 25.65497076],0
p4,1,0.021232,5.307649,[73 57] ; [15 27],[66.51162791 63.48837209] ; [21.48837209 20.51162791],0
n1,1,0.031444,4.628571,[13 11] ; [ 2 10],[10. 14.] ; [5. 7.],0
n4,1,0.037619,4.322179,[97 34] ; [24 18],[91.62427746 39.37572254] ; [29.37572254 12.62427746],0
a5,1,0.038222,4.295103,[80 51] ; [18 24],[74.20809249 56.79190751] ; [23.79190751 18.20809249],0
a3,1,0.057345,3.612558,[84 47] ; [20 22],[78.75144509 52.24855491] ; [25.24855491 16.75144509],0
a8,1,0.058557,3.57778,[27 99] ; [ 3 35],[ 23.04878049 102.95121951] ; [ 6.95121951 31.04878049],0
a4,1,0.091553,2.846845,[ 27 104] ; [14 28],[31.04624277 99.95375723] ; [ 9.95375723 32.04624277],0
s3,1,0.11795,2.444336,[108  22] ; [39  3],[111.10465116  18.89534884] ; [35.89534884  6.10465116],0
v1,1,0.11977,2.42032,[72 58] ; [17 24],[67.66081871 62.33918129] ; [21.33918129 19.66081871],0
d4,1,0.119864,2.419099,[89 42] ; [23 19],[84.80924855 46.19075145] ; [27.19075145 14.80924855],0
p3,1,0.122581,2.384024,[61 69] ; [14 28],[56.68604651 73.31395349] ; [18.31395349 23.68604651],0
s8,1,0.132866,2.258695,[71 61] ; [17 25],[66.75862069 65.24137931] ; [21.24137931 20.75862069],0
s5,1,0.159534,1.978634,[53 76] ; [21 18],[56.82142857 72.17857143] ; [17.17857143 21.82142857],0
v4,1,0.175622,1.834287,[118  11] ; [41  1],[119.94736842   9.05263158] ; [39.05263158  2.94736842],0
r1,1,0.18502,1.756837,[98 33] ; [27 15],[94.65317919 36.34682081] ; [30.34682081 11.65317919],0
p7,1,0.195416,1.676306,[89 38] ; [23 16],[85.68674699 41.31325301] ; [26.31325301 12.68674699],0
p10,1,0.218074,1.517002,[105  23] ; [30 11],[102.24852071  25.75147929] ; [32.75147929  8.24852071],0
u1,1,0.237451,1.395665,[  4 128] ; [ 3 39],[  5.31034483 126.68965517] ; [ 1.68965517 40.31034483],0
v2,1,0.260025,1.268623,[65 61] ; [17 24],[61.86826347 64.13173653] ; [20.13173653 20.86826347],0
p12,1,0.270259,1.21543,[  9 120] ; [ 1 41],[  7.54385965 121.45614035] ; [ 2.45614035 39.54385965],0
p9,1,0.274421,1.194512,[103  26] ; [35  5],[105.33727811  23.66272189] ; [32.66272189  7.33727811],0
p8,1,0.27911,1.17142,[66 63] ; [17 24],[62.98235294 66.01764706] ; [20.01764706 20.98235294],0
p6,1,0.310781,1.027356,[49 80] ; [12 29],[46.28823529 82.71176471] ; [14.71176471 26.28823529],0
n6,1,0.354846,0.856051,[106  23] ; [31 10],[103.95882353  25.04117647] ; [33.04117647  7.95882353],0
