Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5e-06,20.895204,[523  36] ; [51 15],[513.3856  45.6144] ; [60.6144  5.3856],1
d1,1,8.6e-05,15.41678,[356 204] ; [26 41],[341.18022329 218.81977671] ; [40.81977671 26.18022329],1
p3,1,0.000245,13.448525,[314 242] ; [22 45],[299.86516854 256.13483146] ; [36.13483146 30.86516854],1
a5,1,0.000793,11.25822,[437 122] ; [40 27],[425.94728435 133.05271565] ; [51.05271565 15.94728435],1
r2,1,0.001102,10.647532,[549   8] ; [62  5],[545.39583333  11.60416667] ; [65.60416667  1.39583333],0
p4,1,0.001607,9.951867,[373 182] ; [32 35],[361.37459807 193.62540193] ; [43.62540193 23.37459807],0
p6,1,0.002521,9.125084,[231 319] ; [15 51],[219.64285714 330.35714286] ; [26.35714286 39.64285714],0
d2,1,0.003442,8.55683,[296 260] ; [23 44],[284.69341894 271.30658106] ; [34.30658106 32.69341894],0
v3,1,0.004169,8.20877,[250 289] ; [18 47],[239.1589404 299.8410596] ; [28.8410596 36.1589404],0
d5,1,0.005455,7.722192,[467  90] ; [47 20],[458.81089744  98.18910256] ; [55.18910256 11.81089744],0
u1,1,0.006323,7.455806,[121 439] ; [ 5 62],[112.53588517 447.46411483] ; [13.46411483 53.53588517],0
p5,1,0.00634,7.450976,[ 84 469] ; [ 2 65],[ 76.70645161 476.29354839] ; [ 9.29354839 57.70645161],0
s4,1,0.008127,7.005362,[ 79 470] ; [18 49],[ 86.44967532 462.55032468] ; [10.55032468 56.44967532],0
n1,1,0.009956,6.642813,[49 46] ; [ 5 18],[43.47457627 51.52542373] ; [10.52542373 12.47457627],0
s7,1,0.011052,6.456896,[292 239] ; [24 39],[282.48484848 248.51515152] ; [33.51515152 29.48484848],0
p12,1,0.017942,5.601814,[ 58 496] ; [ 1 66],[ 52.63446055 501.36553945] ; [ 6.36553945 60.63446055],0
s5,1,0.024155,5.083451,[206 330] ; [16 50],[197.66112957 338.33887043] ; [24.33887043 41.66112957],0
a8,1,0.024871,5.032859,[ 90 413] ; [ 4 57],[ 83.83333333 419.16666667] ; [10.16666667 50.83333333],0
p2,1,0.025565,4.985192,[481  76] ; [51 16],[474.87820513  82.12179487] ; [57.12179487  9.87820513],0
r1,1,0.030026,4.707819,[487  71] ; [52 15],[481.2192  76.7808] ; [57.7808  9.2192],0
p10,1,0.031433,4.629173,[482  72] ; [51 15],[476.26129032  77.73870968] ; [56.73870968  9.26129032],0
a3,1,0.033475,4.521327,[416 140] ; [42 25],[408.74478331 147.25521669] ; [49.25521669 17.74478331],0
a4,1,0.039782,4.227155,[273 283] ; [24 43],[265.05939005 290.94060995] ; [31.94060995 35.05939005],0
p8,1,0.080593,3.052907,[318 228] ; [31 35],[311.3627451 234.6372549] ; [37.6372549 28.3627451],0
d4,1,0.15114,2.060712,[461  95] ; [50 16],[456.77813505  99.22186495] ; [54.22186495 11.77813505],0
a2,1,0.156499,2.007733,[154 406] ; [13 54],[149.15470494 410.84529506] ; [17.84529506 49.15470494],0
p1,1,0.160327,1.971135,[ 54 502] ; [ 3 64],[ 50.86998395 505.13001605] ; [ 6.13001605 60.86998395],0
s8,1,0.164761,1.929974,[273 281] ; [27 40],[267.63285024 286.36714976] ; [32.36714976 34.63285024],0
s2,1,0.207133,1.591352,[305 248] ; [31 35],[300.17447496 252.82552504] ; [35.82552504 30.17447496],0
n3,1,0.240866,1.375521,[75 21] ; [16  8],[72.8 23.2] ; [18.2  5.8],0
v1,1,0.241769,1.370252,[331 216] ; [35 31],[326.59380098 220.40619902] ; [39.40619902 26.59380098],0
d3,1,0.257072,1.284454,[387 170] ; [42 25],[382.9375 174.0625] ; [46.0625 20.9375],0
s3,1,0.301614,1.067045,[331 218] ; [36 31],[327.08279221 221.91720779] ; [39.91720779 27.08279221],0
p7,1,0.322565,0.978519,[371 174] ; [39 24],[367.51644737 177.48355263] ; [42.48355263 20.51644737],0
v2,1,0.325091,0.968356,[316 221] ; [33 30],[312.355 224.645] ; [36.645 26.355],0
s6,1,0.327323,0.959459,[397 148] ; [45 22],[393.61111111 151.38888889] ; [48.38888889 18.61111111],0
p11,1,0.422295,0.643921,[465  95] ; [53 14],[462.64752791  97.35247209] ; [55.35247209 11.64752791],0
b5,1,0.508513,0.437125,[336 224] ; [43 24],[338.50079745 221.49920255] ; [40.49920255 26.50079745],0
p9,1,0.630929,0.230804,[487  64] ; [57  9],[485.80875203  65.19124797] ; [58.19124797  7.80875203],0
b2,1,0.688763,0.160427,[143 209] ; [13 22],[141.89147287 210.10852713] ; [14.10852713 20.89147287],0
b3,1,0.688763,0.160427,[143 209] ; [13 22],[141.89147287 210.10852713] ; [14.10852713 20.89147287],0
b4,1,0.730282,0.118853,[322 238] ; [40 27],[323.31738437 236.68261563] ; [38.68261563 28.31738437],0
a6,1,0.731424,0.117808,[387 169] ; [48 19],[388.21829856 167.78170144] ; [46.78170144 20.21829856],0
a7,1,0.748427,0.102858,[410 148] ; [48 19],[408.9024 149.0976] ; [49.0976 17.9024],0
b1,1,0.754513,0.097777,[220 340] ; [25 42],[218.81977671 341.18022329] ; [26.18022329 40.81977671],0
u3,1,0.827283,0.047606,[84 60] ; [14 11],[83.50295858 60.49704142] ; [14.49704142 10.50295858],0
u2,1,0.944128,0.004912,[79 64] ; [14 11],[79.16071429 63.83928571] ; [13.83928571 11.16071429],0
n2,1,0.949112,0.004073,[77 21] ; [19  5],[77.1147541 20.8852459] ; [18.8852459  5.1147541],0
u4,1,0.952741,0.003512,[ 16 544] ; [ 2 65],[ 16.07655502 543.92344498] ; [ 1.92344498 65.07655502],0
