Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000437,12.368832,[11 13] ; [64 14],[17.64705882  6.35294118] ; [57.35294118 20.64705882],1
p8,1,0.01884,5.516344,[12 12] ; [58 19],[16.63366337  7.36633663] ; [53.36633663 23.63366337],0
p9,1,0.021373,5.296154,[18  6] ; [72  6],[21.17647059  2.82352941] ; [68.82352941  9.17647059],0
n4,1,0.03458,4.465795,[12 12] ; [57 21],[16.23529412  7.76470588] ; [52.76470588 25.23529412],0
n6,1,0.0406,4.19262,[17  7] ; [68  9],[20.1980198  3.8019802] ; [64.8019802 12.1980198],0
d2,1,0.047971,3.911006,[16  8] ; [34 44],[11.76470588 12.23529412] ; [38.23529412 39.76470588],0
p10,1,0.114832,2.486432,[19  5] ; [71  7],[21.17647059  2.82352941] ; [68.82352941  9.17647059],0
p2,1,0.114832,2.486432,[19  5] ; [71  7],[21.17647059  2.82352941] ; [68.82352941  9.17647059],0
v1,1,0.144755,2.126671,[ 9 15] ; [42 35],[12.11881188 11.88118812] ; [38.88118812 38.11881188],0
b1,1,0.173042,1.856387,[13 11] ; [30 48],[10.11764706 13.88235294] ; [32.88235294 45.11764706],0
a8,1,0.212587,1.55372,[ 2 21] ; [ 2 71],[ 0.95833333 22.04166667] ; [ 3.04166667 69.95833333],0
s2,1,0.213918,1.544712,[14 10] ; [56 22],[16.47058824  7.52941176] ; [53.52941176 24.47058824],0
d5,1,0.235339,1.408297,[21  2] ; [63 15],[19.12871287  3.87128713] ; [64.87128713 13.12871287],0
a2,1,0.262448,1.2558,[ 3 21] ; [18 60],[ 4.94117647 19.05882353] ; [16.05882353 61.94117647],0
s7,1,0.296934,1.087912,[12  9] ; [54 24],[14.  7.] ; [52. 26.],0
d4,1,0.30071,1.071045,[17  7] ; [63 15],[18.82352941  5.17647059] ; [61.17647059 16.82352941],0
s8,1,0.307253,1.042448,[11 13] ; [45 33],[13.17647059 10.82352941] ; [42.82352941 35.17647059],0
b5,1,0.307253,1.042448,[11 13] ; [45 33],[13.17647059 10.82352941] ; [42.82352941 35.17647059],0
r3,1,0.346085,0.887761,[21  2] ; [75  3],[21.86138614  1.13861386] ; [74.13861386  3.86138614],0
r2,1,0.357682,0.846016,[23  1] ; [70  8],[21.88235294  2.11764706] ; [71.11764706  6.88235294],0
v4,1,0.373284,0.792704,[22  2] ; [75  3],[22.82352941  1.17647059] ; [74.17647059  3.82352941],0
u1,1,0.377937,0.777401,[ 3 21] ; [16 62],[ 4.47058824 19.52941176] ; [14.52941176 63.47058824],0
p4,1,0.383507,0.75943,[16  8] ; [59 19],[17.64705882  6.35294118] ; [57.35294118 20.64705882],0
p1,1,0.394021,0.726496,[ 4 20] ; [ 8 70],[ 2.82352941 21.17647059] ; [ 9.17647059 68.82352941],0
s6,1,0.426437,0.632507,[18  4] ; [68  9],[19.11111111  2.88888889] ; [66.88888889 10.11111111],0
p12,1,0.443622,0.586896,[ 1 23] ; [ 7 71],[ 1.88235294 22.11764706] ; [ 6.11764706 71.88235294],0
r1,1,0.456565,0.554302,[17  7] ; [61 17],[18.35294118  5.64705882] ; [59.64705882 18.35294118],0
s3,1,0.460248,0.545293,[16  8] ; [58 20],[17.41176471  6.58823529] ; [56.58823529 21.41176471],0
n1,1,0.500352,0.454189,[3 8] ; [6 9],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
a5,1,0.511331,0.431342,[18  6] ; [53 25],[16.70588235  7.29411765] ; [54.29411765 23.70588235],0
d3,1,0.538055,0.379157,[18  5] ; [56 22],[16.85148515  6.14851485] ; [57.14851485 20.85148515],0
p5,1,0.550746,0.355983,[ 2 22] ; [10 68],[ 2.82352941 21.17647059] ; [ 9.17647059 68.82352941],0
a6,1,0.609212,0.261323,[14 10] ; [50 28],[15.05882353  8.94117647] ; [48.94117647 29.05882353],0
b3,1,0.638318,0.220949,[ 2 10] ; [11 37],[2.6 9.4] ; [10.4 37.6],0
b2,1,0.638318,0.220949,[ 2 10] ; [11 37],[2.6 9.4] ; [10.4 37.6],0
a3,1,0.702789,0.145586,[17  7] ; [52 26],[16.23529412  7.76470588] ; [52.76470588 25.23529412],0
p3,1,0.706928,0.141365,[15  9] ; [52 26],[15.76470588  8.23529412] ; [51.23529412 26.76470588],0
n2,1,0.734966,0.114601,[9 2] ; [13  2],[9.30769231 1.69230769] ; [12.69230769  2.30769231],0
v3,1,0.736449,0.113272,[ 7 16] ; [26 50],[ 7.66666667 15.33333333] ; [25.33333333 50.66666667],0
s5,1,0.759649,0.0936,[13  9] ; [41 33],[12.375  9.625] ; [41.625 32.375],0
p6,1,0.760392,0.093004,[13 11] ; [45 33],[13.64705882 10.35294118] ; [44.35294118 33.64705882],0
a7,1,0.833929,0.04396,[15  8] ; [49 29],[14.57425743  8.42574257] ; [49.42574257 28.57425743],0
r4,1,0.841864,0.039804,[21  3] ; [67 11],[20.70588235  3.29411765] ; [67.29411765 10.70588235],0
v2,1,0.85503,0.033381,[11 12] ; [38 38],[11.38383838 11.61616162] ; [37.61616162 38.38383838],0
d1,1,0.866558,0.028235,[14 10] ; [47 31],[14.35294118  9.64705882] ; [46.64705882 31.35294118],0
u2,1,0.876438,0.024176,[3 4] ; [12 14],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
a4,1,0.955651,0.003093,[10 14] ; [33 45],[10.11764706 13.88235294] ; [32.88235294 45.11764706],0
b4,1,0.978024,0.000759,[13 11] ; [42 36],[12.94117647 11.05882353] ; [42.05882353 35.94117647],0
u3,1,0.979171,0.000682,[4 3] ; [15 11],[4.03030303 2.96969697] ; [14.96969697 11.03030303],0
