Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.5e-05,17.150219,[13 16] ; [62 11],[21.32352941  7.67647059] ; [53.67647059 19.32352941],1
r2,1,0.004612,8.025554,[21  8] ; [68  5],[25.30392157  3.69607843] ; [63.69607843  9.30392157],0
p1,1,0.030397,4.686679,[ 1 28] ; [15 57],[ 4.59405941 24.40594059] ; [11.40594059 60.59405941],0
u2,1,0.039218,4.251379,[7 2] ; [ 9 15],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
v3,1,0.04249,4.115567,[ 7 21] ; [34 38],[11.48 16.52] ; [29.52 42.48],0
r1,1,0.042502,4.115094,[20  9] ; [63 10],[23.59803922  5.40196078] ; [59.40196078 13.59803922],0
p7,1,0.047478,3.928357,[20  9] ; [34 38],[15.5049505 13.4950495] ; [38.4950495 33.5049505],0
p6,1,0.103178,2.65572,[ 6 23] ; [27 45],[ 9.47524752 19.52475248] ; [23.52475248 48.47524752],0
n6,1,0.10745,2.591338,[20  9] ; [60 12],[22.97029703  6.02970297] ; [57.02970297 14.97029703],0
v4,1,0.111364,2.53476,[24  5] ; [68  5],[26.15686275  2.84313725] ; [65.84313725  7.15686275],0
v2,1,0.125147,2.351699,[10 18] ; [38 34],[13.44 14.56] ; [34.56 37.44],0
n1,1,0.133348,2.253089,[3 8] ; [7 5],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
s7,1,0.182871,1.774135,[11 16] ; [38 30],[13.92631579 13.07368421] ; [35.07368421 32.92631579],0
r4,1,0.197658,1.659599,[23  6] ; [65  8],[25.01960784  3.98039216] ; [62.98039216 10.01960784],0
p3,1,0.220461,1.501365,[11 18] ; [37 35],[13.78217822 15.21782178] ; [34.21782178 37.78217822],0
p10,1,0.236742,1.39989,[20  9] ; [56 14],[22.26262626  6.73737374] ; [53.73737374 16.26262626],0
p4,1,0.300812,1.070591,[18 11] ; [36 35],[15.66 13.34] ; [38.34 32.66],0
b2,1,0.3835,0.759452,[5 8] ; [25 23],[6.39344262 6.60655738] ; [23.60655738 24.39344262],0
b3,1,0.3835,0.759452,[5 8] ; [25 23],[6.39344262 6.60655738] ; [23.60655738 24.39344262],0
a8,1,0.387637,0.746341,[ 5 22] ; [ 8 60],[ 3.69473684 23.30526316] ; [ 9.30526316 58.69473684],0
d4,1,0.39614,0.720012,[17 12] ; [36 37],[15.06862745 13.93137255] ; [37.93137255 35.06862745],0
p12,1,0.40194,0.702514,[ 2 27] ; [ 9 62],[ 3.19 25.81] ; [ 7.81 63.19],0
