Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,56.323898,[22 50] ; [122  27],[46.91402715 25.08597285] ; [97.08597285 51.91402715],1
p10,1,4.4e-05,16.703564,[37 32] ; [119  29],[49.60368664 19.39631336] ; [106.39631336  41.60368664],1
n6,1,9.4e-05,15.246057,[48 24] ; [131  17],[58.58181818 13.41818182] ; [120.41818182  27.58181818],1
p4,1,0.000105,15.045568,[22 50] ; [87 62],[35.51131222 36.48868778] ; [73.48868778 75.51131222],1
s6,1,0.000111,14.933524,[31 39] ; [105  42],[43.87096774 26.12903226] ; [92.12903226 54.87096774],1
v1,1,0.001084,10.677465,[20 49] ; [77 69],[31.13023256 37.86976744] ; [65.86976744 80.13023256],0
p3,1,0.001292,10.354333,[18 54] ; [71 78],[28.99547511 43.00452489] ; [60.00452489 88.99547511],0
p2,1,0.001389,10.220495,[46 26] ; [124  25],[55.38461538 16.61538462] ; [114.61538462  34.38461538],0
p9,1,0.001898,9.645643,[44 24] ; [123  24],[52.81860465 15.18139535] ; [114.18139535  32.81860465],0
s3,1,0.002033,9.519618,[30 42] ; [93 53],[40.62385321 31.37614679] ; [82.37614679 63.62385321],0
p7,1,0.003679,8.435718,[33 39] ; [95 48],[42.86511628 29.13488372] ; [85.13488372 57.86511628],0
p8,1,0.007653,7.113044,[23 49] ; [75 72],[32.21917808 39.78082192] ; [65.78082192 81.21917808],0
s2,1,0.010365,6.571127,[24 48] ; [76 71],[32.87671233 39.12328767] ; [67.12328767 79.87671233],0
s7,1,0.017138,5.682224,[18 50] ; [61 79],[25.82692308 42.17307692] ; [53.17307692 86.82692308],0
p6,1,0.017187,5.677219,[16 53] ; [58 88],[23.74883721 45.25116279] ; [50.25116279 95.74883721],0
v3,1,0.032313,4.581788,[16 51] ; [56 88],[22.86255924 44.13744076] ; [49.13744076 94.86255924],0
d3,1,0.062222,3.477148,[48 23] ; [81 68],[41.63181818 29.36818182] ; [87.36818182 61.63181818],0
p12,1,0.068115,3.32788,[ 1 70] ; [ 11 138],[ 3.87272727 67.12727273] ; [  8.12727273 140.87272727],0
p11,1,0.074849,3.173345,[48 24] ; [116  33],[53.42986425 18.57013575] ; [110.57013575  38.42986425],0
a8,1,0.114969,2.484558,[ 6 63] ; [ 23 114],[ 9.71359223 59.28640777] ; [ 19.28640777 117.71359223],0
s8,1,0.125507,2.347215,[20 52] ; [57 92],[25.08597285 46.91402715] ; [51.91402715 97.08597285],0
a6,1,0.141129,2.165606,[33 39] ; [84 65],[38.11764706 33.88235294] ; [78.88235294 70.11764706],0
u3,1,0.142429,2.15152,[27 12] ; [43 35],[23.33333333 15.66666667] ; [46.66666667 31.33333333],0
d4,1,0.149211,2.080295,[55 17] ; [99 49],[50.4 21.6] ; [103.6  44.4],0
a1,1,0.185726,1.751197,[ 3 69] ; [  2 147],[ 1.62895928 70.37104072] ; [  3.37104072 145.62895928],0
p1,1,0.203285,1.618619,[ 4 68] ; [ 16 132],[ 6.54545455 65.45454545] ; [ 13.45454545 134.54545455],0
u1,1,0.217081,1.523564,[ 1 71] ; [  7 142],[ 2.60633484 69.39366516] ; [  5.39366516 143.60633484],0
n3,1,0.235605,1.406699,[18  3] ; [20  8],[16.28571429  4.71428571] ; [21.71428571  6.28571429],0
b1,1,0.262998,1.252905,[22 50] ; [57 92],[25.73755656 46.26244344] ; [53.26244344 95.73755656],0
u2,1,0.280636,1.164007,[24 14] ; [41 37],[21.29310345 16.70689655] ; [43.70689655 34.29310345],0
r1,1,0.377989,0.777233,[51 21] ; [113  35],[53.67272727 18.32727273] ; [110.32727273  37.67272727],0
r2,1,0.385044,0.754537,[70  2] ; [141   8],[68.74208145  3.25791855] ; [142.25791855   6.74208145],0
b3,1,0.435994,0.606804,[ 7 28] ; [23 63],[ 8.67768595 26.32231405] ; [21.32231405 64.67768595],0
b2,1,0.435994,0.606804,[ 7 28] ; [23 63],[ 8.67768595 26.32231405] ; [21.32231405 64.67768595],0
b5,1,0.484088,0.48964,[47 25] ; [90 59],[44.63348416 27.36651584] ; [92.36651584 56.63348416],0
a7,1,0.589668,0.290863,[51 20] ; [101  47],[49.27853881 21.72146119] ; [102.72146119  45.27853881],0
a3,1,0.591323,0.288283,[32 40] ; [71 76],[33.8630137 38.1369863] ; [69.1369863 77.8630137],0
u4,1,0.597452,0.278857,[ 1 71] ; [  1 148],[ 0.65158371 71.34841629] ; [  1.34841629 147.65158371],0
a4,1,0.615034,0.252909,[13 59] ; [ 31 117],[14.4 57.6] ; [ 29.6 118.4],0
v4,1,0.615894,0.25168,[68  4] ; [142   6],[68.72727273  3.27272727] ; [141.27272727   6.72727273],0
d1,1,0.635089,0.225222,[26 46] ; [ 49 100],[24.43438914 47.56561086] ; [50.56561086 98.43438914],0
d2,1,0.637154,0.222483,[18 54] ; [ 33 116],[16.61538462 55.38461538] ; [ 34.38461538 114.61538462],0
r3,1,0.731595,0.117652,[70  2] ; [144   3],[70.35616438  1.64383562] ; [143.64383562   3.35616438],0
s4,1,0.751855,0.099979,[14 58] ; [ 26 121],[13.15068493 58.84931507] ; [ 26.84931507 120.15068493],0
b4,1,0.776977,0.080237,[43 29] ; [86 63],[42.02714932 29.97285068] ; [86.97285068 62.02714932],0
s5,1,0.777323,0.079981,[16 51] ; [ 37 107],[16.82938389 50.17061611] ; [ 36.17061611 107.82938389],0
n2,1,0.783696,0.075353,[15  5] ; [20  8],[14.58333333  5.41666667] ; [20.41666667  7.58333333],0
n1,1,0.803566,0.061869,[ 9 12] ; [13 15],[ 9.42857143 11.57142857] ; [12.57142857 15.42857143],0
d5,1,0.820067,0.051737,[48 23] ; [103  46],[48.73181818 22.26818182] ; [102.26818182  46.73181818],0
v2,1,0.986341,0.000293,[31 37] ; [64 76],[31.05769231 36.94230769] ; [63.94230769 76.05769231],0
s1,1,0.992024,0.0001,[ 3 69] ; [  6 139],[ 2.98617512 69.01382488] ; [  6.01382488 138.98617512],0
