Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.002647,9.036297,[36  8] ; [3 6],[32.37735849 11.62264151] ; [6.62264151 2.37735849],0
n4,1,0.006946,7.286756,[40  4] ; [5 4],[37.35849057  6.64150943] ; [7.64150943 1.35849057],0
s4,1,0.01796,5.600011,[ 5 38] ; [4 5],[ 7.44230769 35.55769231] ; [1.55769231 7.44230769],0
p11,1,0.097666,2.743249,[32 12] ; [4 5],[29.88679245 14.11320755] ; [6.11320755 2.88679245],0
p10,1,0.097666,2.743249,[32 12] ; [4 5],[29.88679245 14.11320755] ; [6.11320755 2.88679245],0
a5,1,0.127485,2.322868,[35  9] ; [5 4],[33.20754717 10.79245283] ; [6.79245283 2.20754717],0
p4,1,0.133287,2.253796,[31 13] ; [4 5],[29.05660377 14.94339623] ; [5.94339623 3.05660377],0
d5,1,0.151583,2.056244,[38  6] ; [6 3],[36.52830189  7.47169811] ; [7.47169811 1.52830189],0
p9,1,0.257281,1.28333,[40  4] ; [7 2],[39.01886792  4.98113208] ; [7.98113208 1.01886792],0
d2,1,0.283471,1.150373,[28 16] ; [4 5],[26.56603774 17.43396226] ; [5.43396226 3.56603774],0
s5,1,0.289471,1.122078,[12 30] ; [3 3],[13.125 28.875] ; [1.875 4.125],0
d1,1,0.306572,1.045386,[32 12] ; [5 4],[30.71698113 13.28301887] ; [6.28301887 2.71698113],0
p8,1,0.349482,0.875336,[17 27] ; [2 7],[15.77358491 28.22641509] ; [3.22641509 5.77358491],0
v1,1,0.363319,0.826389,[21 21] ; [6 3],[22.23529412 19.76470588] ; [4.76470588 4.23529412],0
u1,1,0.364337,0.822888,[11 33] ; [1 8],[ 9.96226415 34.03773585] ; [2.03773585 6.96226415],0
s6,1,0.382934,0.76126,[31 13] ; [5 4],[29.88679245 14.11320755] ; [6.11320755 2.88679245],0
v2,1,0.407159,0.68708,[25 17] ; [4 5],[23.88235294 18.11764706] ; [5.11764706 3.88235294],0
v3,1,0.435866,0.607143,[15 27] ; [2 7],[14. 28.] ; [3. 6.],0
v4,1,0.437373,0.603165,[42  2] ; [8 1],[41.50943396  2.49056604] ; [8.49056604 0.50943396],0
n1,1,0.452209,0.56511,[7 6] ; [3 1],[7.64705882 5.35294118] ; [2.35294118 1.64705882],0
a7,1,0.500432,0.454021,[34 10] ; [6 3],[33.20754717 10.79245283] ; [6.79245283 2.20754717],0
a4,1,0.503809,0.446904,[24 20] ; [6 3],[24.90566038 19.09433962] ; [5.09433962 3.90566038],0
s8,1,0.503809,0.446904,[24 20] ; [6 3],[24.90566038 19.09433962] ; [5.09433962 3.90566038],0
a2,1,0.513907,0.426104,[ 9 35] ; [1 8],[ 8.30188679 35.69811321] ; [1.69811321 7.30188679],0
s3,1,0.533825,0.387105,[24 19] ; [4 5],[23.15384615 19.84615385] ; [4.84615385 4.15384615],0
r1,1,0.555094,0.34827,[29 15] ; [5 4],[28.22641509 15.77358491] ; [5.77358491 3.22641509],0
b4,1,0.584832,0.298487,[25 19] ; [6 3],[25.73584906 18.26415094] ; [5.26415094 3.73584906],0
p1,1,0.606724,0.264973,[ 8 36] ; [1 8],[ 7.47169811 36.52830189] ; [1.52830189 7.47169811],0
a8,1,0.608726,0.262034,[ 3 39] ; [1 7],[ 3.36 38.64] ; [0.64 7.36],0
a3,1,0.656771,0.19747,[31 13] ; [7 2],[31.54716981 12.45283019] ; [6.45283019 2.54716981],0
d4,1,0.714106,0.13421,[37  7] ; [8 1],[37.35849057  6.64150943] ; [7.64150943 1.35849057],0
p3,1,0.761303,0.092276,[22 22] ; [4 5],[21.58490566 22.41509434] ; [4.41509434 4.58490566],0
s2,1,0.784879,0.074511,[26 17] ; [5 4],[25.63461538 17.36538462] ; [5.36538462 3.63461538],0
d3,1,0.82156,0.050868,[31 13] ; [6 3],[30.71698113 13.28301887] ; [6.28301887 2.71698113],0
s7,1,0.82625,0.048186,[25 17] ; [5 4],[24.70588235 17.29411765] ; [5.29411765 3.70588235],0
n3,1,0.888153,0.01978,[10  3] ; [4 1],[10.11111111  2.88888889] ; [3.88888889 1.11111111],0
b5,1,0.929297,0.007873,[30 14] ; [6 3],[29.88679245 14.11320755] ; [6.11320755 2.88679245],0
a6,1,0.965123,0.001912,[29 15] ; [6 3],[29.05660377 14.94339623] ; [5.94339623 3.05660377],0
b1,1,0.965123,0.001912,[15 29] ; [3 6],[14.94339623 29.05660377] ; [3.05660377 5.94339623],0
p2,1,0.973685,0.001088,[34 10] ; [7 2],[34.03773585  9.96226415] ; [6.96226415 2.03773585],0
