Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.658301,[13 23] ; [88 13],[26.54014599  9.45985401] ; [74.45985401 26.54014599],1
r2,1,0.000395,12.555841,[23 11] ; [93  8],[29.21481481  4.78518519] ; [86.78518519 14.21481481],1
r3,1,0.002675,9.016581,[26 10] ; [92  8],[31.23529412  4.76470588] ; [86.76470588 13.23529412],0
s4,1,0.006348,7.448769,[12 24] ; [13 88],[ 6.56934307 29.43065693] ; [18.43065693 82.56934307],0
p8,1,0.016088,5.793193,[ 6 28] ; [40 59],[11.7593985 22.2406015] ; [34.2406015 64.7593985],0
v2,1,0.024228,5.078255,[11 24] ; [51 44],[16.69230769 18.30769231] ; [45.30769231 49.69230769],0
v4,1,0.02571,4.975444,[26 10] ; [89 12],[30.2189781  5.7810219] ; [84.7810219 16.2189781],0
d3,1,0.045254,4.009162,[22 14] ; [79 22],[26.54014599  9.45985401] ; [74.45985401 26.54014599],0
a1,1,0.056823,3.627761,[ 4 32] ; [ 3 98],[ 1.83941606 34.16058394] ; [ 5.16058394 95.83941606],0
p1,1,0.058935,3.567092,[ 4 32] ; [ 3 97],[ 1.85294118 34.14705882] ; [ 5.14705882 94.85294118],0
v3,1,0.063332,3.447906,[ 5 29] ; [29 64],[ 9.1023622 24.8976378] ; [24.8976378 68.1023622],0
p2,1,0.082007,3.024664,[19 15] ; [72 28],[23.08955224 10.91044776] ; [67.91044776 32.08955224],0
d5,1,0.084686,2.972586,[26 10] ; [86 15],[29.43065693  6.56934307] ; [82.56934307 18.43065693],0
b1,1,0.091567,2.846612,[23 13] ; [48 53],[18.65693431 17.34306569] ; [52.34306569 48.65693431],0
a5,1,0.094888,2.789426,[19 17] ; [69 32],[23.12408759 12.87591241] ; [64.87591241 36.12408759],0
a7,1,0.171453,1.870192,[22 14] ; [74 27],[25.22627737 10.77372263] ; [70.77372263 30.22627737],0
d2,1,0.205829,1.600524,[19 17] ; [41 60],[15.76642336 20.23357664] ; [44.23357664 56.76642336],0
n1,1,0.280318,1.165547,[6 6] ; [10 21],[4.46511628 7.53488372] ; [11.53488372 19.46511628],0
a6,1,0.33148,0.943107,[21 15] ; [68 33],[23.38686131 12.61313869] ; [65.61313869 35.38686131],0
v1,1,0.374624,0.788271,[13 21] ; [47 53],[15.2238806 18.7761194] ; [44.7761194 55.2238806],0
n2,1,0.420153,0.649888,[10  3] ; [20 11],[8.86363636 4.13636364] ; [21.13636364  9.86363636],0
d1,1,0.425891,0.634003,[19 17] ; [61 40],[21.02189781 14.97810219] ; [58.97810219 42.02189781],0
u1,1,0.42843,0.627075,[ 2 34] ; [10 91],[ 3.15328467 32.84671533] ; [ 8.84671533 92.15328467],0
p6,1,0.444616,0.584342,[ 9 24] ; [20 76],[ 7.41860465 25.58139535] ; [21.58139535 74.41860465],0
n4,1,0.468174,0.526282,[16 20] ; [52 49],[17.86861314 18.13138686] ; [50.13138686 50.86861314],0
p10,1,0.473042,0.514862,[19 16] ; [60 38],[20.78947368 14.21052632] ; [58.21052632 39.78947368],0
a3,1,0.476844,0.506072,[23 13] ; [71 30],[24.70072993 11.29927007] ; [69.29927007 31.70072993],0
u2,1,0.478308,0.502719,[9 4] ; [23  6],[9.9047619 3.0952381] ; [22.0952381  6.9047619],0
a2,1,0.504644,0.445157,[ 5 31] ; [19 82],[ 6.30656934 29.69343066] ; [17.69343066 83.30656934],0
s3,1,0.576343,0.312185,[21 14] ; [54 45],[19.58955224 15.41044776] ; [55.41044776 43.58955224],0
s1,1,0.582815,0.301706,[ 1 34] ; [ 5 93],[ 1.57894737 33.42105263] ; [ 4.42105263 93.57894737],0
s5,1,0.58469,0.298713,[ 9 25] ; [21 75],[ 7.84615385 26.15384615] ; [22.15384615 73.84615385],0
p4,1,0.585097,0.298067,[13 22] ; [42 57],[14.36567164 20.63432836] ; [40.63432836 58.36567164],0
s2,1,0.594927,0.282715,[14 22] ; [44 56],[15.35294118 20.64705882] ; [42.64705882 57.35294118],0
b4,1,0.611977,0.257305,[20 16] ; [61 40],[21.28467153 14.71532847] ; [59.71532847 41.28467153],0
s6,1,0.622944,0.241752,[17 19] ; [52 48],[18.26470588 17.73529412] ; [50.73529412 49.26470588],0
p11,1,0.629359,0.232931,[19 17] ; [58 43],[20.23357664 15.76642336] ; [56.76642336 44.23357664],0
s7,1,0.657909,0.196073,[13 22] ; [30 61],[11.94444444 23.05555556] ; [31.05555556 59.94444444],0
s8,1,0.662572,0.190415,[10 26] ; [32 69],[11.03649635 24.96350365] ; [30.96350365 70.03649635],0
b5,1,0.747577,0.103579,[21 15] ; [62 39],[21.81021898 14.18978102] ; [61.18978102 39.81021898],0
b2,1,0.823329,0.049848,[ 8 19] ; [15 40],[ 7.57317073 19.42682927] ; [15.42682927 39.57317073],0
b3,1,0.823329,0.049848,[ 8 19] ; [15 40],[ 7.57317073 19.42682927] ; [15.42682927 39.57317073],0
a8,1,0.844394,0.038524,[ 3 32] ; [ 7 86],[ 2.734375 32.265625] ; [ 7.265625 85.734375],0
p3,1,0.858396,0.031832,[12 22] ; [37 63],[12.43283582 21.56716418] ; [36.56716418 63.43283582],0
p7,1,0.891481,0.018613,[16 18] ; [46 49],[16.34108527 17.65891473] ; [45.65891473 49.34108527],0
p5,1,0.906832,0.013697,[ 2 34] ; [ 5 94],[ 1.86666667 34.13333333] ; [ 5.13333333 93.86666667],0
n5,1,0.924435,0.008996,[13 23] ; [37 63],[13.23529412 22.76470588] ; [36.76470588 63.23529412],0
n3,1,0.924503,0.00898,[8 5] ; [18 12],[7.86046512 5.13953488] ; [18.13953488 11.86046512],0
p12,1,0.951613,0.003682,[ 1 34] ; [ 3 95],[ 1.05263158 33.94736842] ; [ 2.94736842 95.05263158],0
