Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000664,11.588467,[14  9] ; [17 57],[ 7.35051546 15.64948454] ; [23.64948454 50.35051546],1
p2,1,0.004308,8.149345,[17  5] ; [32 43],[11.11340206 10.88659794] ; [37.88659794 37.11340206],0
p11,1,0.009763,6.677723,[16  7] ; [30 47],[10.58 12.42] ; [35.42 41.58],0
a7,1,0.012056,6.302678,[17  6] ; [33 42],[11.73469388 11.26530612] ; [38.26530612 36.73469388],0
d3,1,0.015461,5.863117,[16  7] ; [31 45],[10.91919192 12.08080808] ; [36.08080808 39.91919192],0
p9,1,0.016251,5.775463,[17  6] ; [33 40],[11.97916667 11.02083333] ; [38.02083333 34.97916667],0
s3,1,0.024148,5.084001,[ 8 14] ; [11 64],[ 4.30927835 17.69072165] ; [14.69072165 60.30927835],0
v2,1,0.030689,4.67027,[11 11] ; [19 55],[ 6.875 15.125] ; [23.125 50.875],0
s5,1,0.049319,3.864448,[ 5 17] ; [ 6 71],[ 2.44444444 19.55555556] ; [ 8.55555556 68.44444444],0
v4,1,0.063267,3.449601,[17  5] ; [42 34],[13.24489796  8.75510204] ; [45.75510204 30.24489796],0
d4,1,0.076913,3.128962,[18  5] ; [44 32],[14.4040404  8.5959596] ; [47.5959596 28.4040404],0
u2,1,0.098068,2.736691,[7 4] ; [12 22],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
s4,1,0.101427,2.682956,[ 5 18] ; [ 7 70],[ 2.76 20.24] ; [ 9.24 67.76],0
r3,1,0.110926,2.540981,[14  9] ; [31 43],[10.67010309 12.32989691] ; [34.32989691 39.67010309],0
p7,1,0.113673,2.502395,[ 9 11] ; [20 55],[ 6.10526316 13.89473684] ; [22.89473684 52.10526316],0
d5,1,0.120625,2.409185,[17  6] ; [43 34],[13.8  9.2] ; [46.2 30.8],0
n3,1,0.137781,2.202573,[8 3] ; [18 20],[5.83673469 5.16326531] ; [20.16326531 17.83673469],0
s8,1,0.178129,1.813163,[ 4 19] ; [ 6 71],[ 2.3 20.7] ; [ 7.7 69.3],0
b2,1,0.201139,1.634084,[ 3 10] ; [20 27],[4.98333333 8.01666667] ; [18.01666667 28.98333333],0
b3,1,0.201139,1.634084,[ 3 10] ; [20 27],[4.98333333 8.01666667] ; [18.01666667 28.98333333],0
b1,1,0.205601,1.602131,[10 13] ; [45 32],[12.65 10.35] ; [42.35 34.65],0
a6,1,0.205601,1.602131,[13 10] ; [32 45],[10.35 12.65] ; [34.65 42.35],0
r1,1,0.236742,1.39989,[ 9 14] ; [20 56],[ 6.73737374 16.26262626] ; [22.26262626 53.73737374],0
b5,1,0.280574,1.164305,[14  9] ; [37 40],[11.73 11.27] ; [39.27 37.73],0
p10,1,0.286072,1.138017,[12  9] ; [33 42],[ 9.84375 11.15625] ; [35.15625 39.84375],0
p3,1,0.301645,1.066909,[ 6 16] ; [13 62],[ 4.30927835 17.69072165] ; [14.69072165 60.30927835],0
p1,1,0.303149,1.060292,[ 1 22] ; [ 9 68],[ 2.3 20.7] ; [ 7.7 69.3],0
v3,1,0.337886,0.918437,[ 6 17] ; [13 63],[ 4.41414141 18.58585859] ; [14.58585859 61.41414141],0
u3,1,0.402767,0.700049,[4 7] ; [ 8 26],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
p5,1,0.411531,0.674372,[ 3 19] ; [ 6 70],[ 2.02040816 19.97959184] ; [ 6.97959184 69.02040816],0
a3,1,0.422591,0.6431,[11 12] ; [43 32],[12.67346939 10.32653061] ; [41.32653061 33.67346939],0
n4,1,0.461174,0.543045,[15  8] ; [43 33],[13.47474747  9.52525253] ; [44.52525253 31.47474747],0
n5,1,0.465321,0.533065,[12 10] ; [48 28],[13.46938776  8.53061224] ; [46.53061224 29.46938776],0
n6,1,0.524985,0.404089,[14  9] ; [40 35],[12.67346939 10.32653061] ; [41.32653061 33.67346939],0
s1,1,0.560952,0.338058,[ 1 22] ; [ 6 70],[ 1.62626263 21.37373737] ; [ 5.37373737 70.62626263],0
p6,1,0.568485,0.325224,[ 2 20] ; [10 63],[ 2.77894737 19.22105263] ; [ 9.22105263 63.77894737],0
d2,1,0.574467,0.315266,[ 8 15] ; [31 44],[ 9.15306122 13.84693878] ; [29.84693878 45.15306122],0
a1,1,0.579266,0.307422,[ 3 20] ; [ 7 70],[ 2.3 20.7] ; [ 7.7 69.3],0
d1,1,0.680829,0.169195,[ 7 16] ; [27 50],[ 7.82 15.18] ; [26.18 50.82],0
p12,1,0.682214,0.167644,[ 1 22] ; [ 2 73],[ 0.70408163 22.29591837] ; [ 2.29591837 72.70408163],0
p4,1,0.72345,0.125211,[ 7 16] ; [20 55],[ 6.33673469 16.66326531] ; [20.66326531 54.33673469],0
p8,1,0.725842,0.122964,[ 5 18] ; [19 56],[ 5.63265306 17.36734694] ; [18.36734694 56.63265306],0
n1,1,0.780439,0.0777,[4 7] ; [16 23],[4.4 6.6] ; [15.6 23.4],0
s7,1,0.833872,0.04399,[ 5 18] ; [14 57],[ 4.64893617 18.35106383] ; [14.35106383 56.64893617],0
n2,1,0.848264,0.036609,[6 5] ; [20 19],[5.72 5.28] ; [20.28 18.72],0
a2,1,0.860689,0.030799,[ 3 20] ; [ 9 68],[ 2.76 20.24] ; [ 9.24 67.76],0
u1,1,0.888547,0.01964,[ 2 21] ; [ 6 71],[ 1.84 21.16] ; [ 6.16 70.84],0
