Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,32.188914,[69  6] ; [ 4 10],[61.51685393 13.48314607] ; [11.48314607  2.51685393],1
r4,1,0.004712,7.986668,[52 24] ; [ 4 10],[47.28888889 28.71111111] ; [8.71111111 5.28888889],0
n5,1,0.010558,6.53827,[54 22] ; [5 9],[49.82222222 26.17777778] ; [9.17777778 4.82222222],0
n4,1,0.019614,5.445911,[52 24] ; [5 9],[48.13333333 27.86666667] ; [8.86666667 5.13333333],0
r2,1,0.029164,4.757878,[64  9] ; [9 5],[61.25287356 11.74712644] ; [11.74712644  2.25287356],0
p2,1,0.032396,4.577398,[62 13] ; [8 6],[58.98876404 16.01123596] ; [11.01123596  2.98876404],0
s8,1,0.043283,4.084318,[44 32] ; [ 4 10],[40.53333333 35.46666667] ; [7.46666667 6.53333333],0
s1,1,0.051843,3.780818,[ 2 74] ; [ 2 12],[ 3.37777778 72.62222222] ; [ 0.62222222 13.37777778],0
a7,1,0.060329,3.528324,[47 28] ; [5 9],[43.82022472 31.17977528] ; [8.17977528 5.82022472],0
p11,1,0.106284,2.608622,[59 17] ; [8 6],[56.57777778 19.42222222] ; [10.42222222  3.57777778],0
d1,1,0.117441,2.451124,[39 37] ; [ 4 10],[36.31111111 39.68888889] ; [6.68888889 7.31111111],0
p6,1,0.135334,2.230225,[32 43] ; [ 3 11],[29.49438202 45.50561798] ; [5.50561798 8.49438202],0
v4,1,0.195664,1.674448,[67  7] ; [11  3],[65.59090909  8.40909091] ; [12.40909091  1.59090909],0
v1,1,0.206299,1.597209,[39 33] ; [5 9],[36.8372093 35.1627907] ; [7.1627907 6.8372093],0
v3,1,0.2143,1.542136,[22 50] ; [ 2 12],[20.09302326 51.90697674] ; [ 3.90697674 10.09302326],0
d2,1,0.229495,1.443986,[29 47] ; [ 3 11],[27.02222222 48.97777778] ; [4.97777778 9.02222222],0
p7,1,0.248836,1.329825,[40 33] ; [10  4],[41.95402299 31.04597701] ; [8.04597701 5.95402299],0
r3,1,0.252435,1.309776,[68  8] ; [11  3],[66.71111111  9.28888889] ; [12.28888889  1.71111111],0
p4,1,0.299413,1.076806,[43 33] ; [10  4],[44.75555556 31.24444444] ; [8.24444444 5.75555556],0
u2,1,0.334696,0.930642,[17 14] ; [2 4],[15.91891892 15.08108108] ; [3.08108108 2.91891892],0
a4,1,0.394436,0.725222,[25 51] ; [ 3 11],[23.64444444 52.35555556] ; [4.35555556 9.64444444],0
s3,1,0.404809,0.693994,[57 19] ; [9 5],[55.73333333 20.26666667] ; [10.26666667  3.73333333],0
b3,1,0.407393,0.686396,[13 37] ; [1 7],[12.06896552 37.93103448] ; [1.93103448 6.06896552],0
b2,1,0.407393,0.686396,[13 37] ; [1 7],[12.06896552 37.93103448] ; [1.93103448 6.06896552],0
n6,1,0.45667,0.554044,[61 15] ; [10  4],[59.95555556 16.04444444] ; [11.04444444  2.95555556],0
b1,1,0.461987,0.541077,[30 46] ; [7 7],[31.24444444 44.75555556] ; [5.75555556 8.24444444],0
n1,1,0.483522,0.490909,[ 8 14] ; [1 4],[ 7.33333333 14.66666667] ; [1.66666667 3.33333333],0
d5,1,0.48928,0.47811,[55 20] ; [9 5],[53.93258427 21.06741573] ; [10.06741573  3.93258427],0
a6,1,0.531287,0.39193,[42 34] ; [9 5],[43.06666667 32.93333333] ; [7.93333333 6.06666667],0
d4,1,0.534049,0.386681,[60 16] ; [10  4],[59.11111111 16.88888889] ; [10.88888889  3.11111111],0
s7,1,0.537049,0.381036,[41 33] ; [6 7],[39.97701149 34.02298851] ; [7.02298851 5.97701149],0
s5,1,0.598824,0.276773,[32 37] ; [5 8],[31.13414634 37.86585366] ; [5.86585366 7.13414634],0
a5,1,0.600933,0.273591,[49 27] ; [8 6],[48.13333333 27.86666667] ; [8.86666667 5.13333333],0
a1,1,0.607159,0.264333,[ 9 67] ; [ 1 13],[ 8.44444444 67.55555556] ; [ 1.55555556 12.44444444],0
s4,1,0.685581,0.163911,[23 53] ; [5 9],[23.64444444 52.35555556] ; [4.35555556 9.64444444],0
n3,1,0.689995,0.159091,[13  9] ; [3 3],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
a2,1,0.698176,0.150376,[ 8 68] ; [ 1 13],[ 7.6 68.4] ; [ 1.4 12.6],0
p8,1,0.709538,0.138739,[33 41] ; [7 7],[33.63636364 40.36363636] ; [6.36363636 7.63636364],0
u3,1,0.715128,0.133209,[18 13] ; [3 3],[17.59459459 13.40540541] ; [3.40540541 2.59459459],0
d3,1,0.763142,0.090816,[45 30] ; [9 5],[45.50561798 29.49438202] ; [8.49438202 5.50561798],0
b4,1,0.812294,0.056391,[46 30] ; [8 6],[45.6 30.4] ; [8.4 5.6],0
b5,1,0.837062,0.042293,[51 25] ; [9 5],[50.66666667 25.33333333] ; [9.33333333 4.66666667],0
v2,1,0.848992,0.036254,[34 38] ; [7 7],[34.3255814 37.6744186] ; [6.6744186 7.3255814],0
s6,1,0.85961,0.031283,[55 17] ; [11  3],[55.25581395 16.74418605] ; [10.74418605  3.25581395],0
a3,1,0.885114,0.020877,[45 31] ; [8 6],[44.75555556 31.24444444] ; [8.24444444 5.75555556],0
u1,1,0.938043,0.006042,[ 5 71] ; [ 1 13],[ 5.06666667 70.93333333] ; [ 0.93333333 13.06666667],0
p3,1,1.0,0.0,[38 38] ; [7 7],[38. 38.] ; [7. 7.],0
