Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,63.721593,[14 57] ; [90 23],[40.13043478 30.86956522] ; [63.86956522 49.13043478],1
n6,1,2.8e-05,17.543607,[34 36] ; [88 24],[46.92307692 23.07692308] ; [75.07692308 36.92307692],1
a5,1,0.001466,10.121025,[38 33] ; [86 27],[47.84782609 23.15217391] ; [76.15217391 36.84782609],0
s7,1,0.002049,9.505352,[18 46] ; [54 49],[27.59281437 36.40718563] ; [44.40718563 58.59281437],0
p6,1,0.002983,8.817634,[11 57] ; [41 70],[19.75418994 48.24581006] ; [32.24581006 78.75418994],0
p2,1,0.003545,8.503569,[35 35] ; [80 32],[44.23076923 25.76923077] ; [70.76923077 41.23076923],0
n1,1,0.005839,7.599439,[ 8 25] ; [21 16],[13.67142857 19.32857143] ; [15.32857143 21.67142857],0
d2,1,0.008769,6.869296,[33 38] ; [74 38],[41.5136612 29.4863388] ; [65.4863388 46.5136612],0
p3,1,0.014593,5.964919,[20 49] ; [53 59],[27.82872928 41.17127072] ; [45.17127072 66.82872928],0
a3,1,0.026517,4.922013,[43 27] ; [86 26],[49.61538462 20.38461538] ; [79.38461538 32.61538462],0
a4,1,0.026645,4.913696,[28 43] ; [63 49],[35.30601093 35.69398907] ; [55.69398907 56.30601093],0
s8,1,0.02774,4.84416,[17 53] ; [45 67],[23.84615385 46.15384615] ; [38.15384615 73.84615385],0
p10,1,0.028387,4.804428,[30 37] ; [69 43],[37.05586592 29.94413408] ; [61.94413408 50.05586592],0
u1,1,0.033642,4.512795,[ 8 63] ; [27 86],[13.50543478 57.49456522] ; [21.49456522 91.50543478],0
r2,1,0.047411,3.93074,[60 11] ; [102   7],[63.9  7.1] ; [98.1 10.9],0
p9,1,0.053299,3.734525,[34 31] ; [75 37],[40.02824859 24.97175141] ; [68.97175141 43.02824859],0
n2,1,0.078486,3.095968,[18 15] ; [29 10],[21.54166667 11.45833333] ; [25.45833333 13.54166667],0
r1,1,0.080172,3.061402,[49 22] ; [90 22],[53.92896175 17.07103825] ; [85.07103825 26.92896175],0
s4,1,0.100019,2.705244,[20 51] ; [20 92],[15.51912568 55.48087432] ; [24.48087432 87.51912568],0
r4,1,0.102398,2.667791,[49 22] ; [90 23],[53.63586957 17.36413043] ; [85.36413043 27.63586957],0
p7,1,0.116579,2.462691,[25 44] ; [53 57],[30.06703911 38.93296089] ; [47.93296089 62.06703911],0
b1,1,0.158113,1.992182,[32 39] ; [63 50],[36.6576087 34.3423913] ; [58.3423913 54.6576087],0
d3,1,0.160894,1.965808,[48 23] ; [87 26],[52.0923913 18.9076087] ; [82.9076087 30.0923913],0
d1,1,0.171116,1.87314,[42 29] ; [78 35],[46.30434783 24.69565217] ; [73.69565217 39.30434783],0
v3,1,0.173665,1.851021,[18 48] ; [41 69],[22.125 43.875] ; [36.875 73.125],0
p4,1,0.181216,1.787624,[26 44] ; [52 58],[30.33333333 39.66666667] ; [47.66666667 62.33333333],0
v1,1,0.223308,1.482987,[26 43] ; [53 60],[29.95054945 39.04945055] ; [49.04945055 63.95054945],0
a2,1,0.224527,1.4752,[15 56] ; [33 80],[18.52173913 52.47826087] ; [29.47826087 83.52173913],0
v2,1,0.227341,1.457417,[28 38] ; [58 54],[31.88764045 34.11235955] ; [54.11235955 57.88764045],0
d5,1,0.29831,1.081732,[59 12] ; [100  13],[61.35326087  9.64673913] ; [97.64673913 15.35326087],0
p8,1,0.307676,1.040627,[19 50] ; [39 73],[22.11049724 46.88950276] ; [35.88950276 76.11049724],0
n3,1,0.344109,0.895061,[19 14] ; [26 12],[20.91549296 12.08450704] ; [24.08450704 13.91549296],0
s6,1,0.35366,0.860283,[40 29] ; [72 39],[42.93333333 26.06666667] ; [69.06666667 41.93333333],0
p12,1,0.402525,0.70077,[ 1 68] ; [  4 109],[ 1.8956044 67.1043956] ; [  3.1043956 109.8956044],0
b2,1,0.41389,0.667599,[ 9 23] ; [23 40],[10.77894737 21.22105263] ; [21.22105263 41.77894737],0
b3,1,0.41389,0.667599,[ 9 23] ; [23 40],[10.77894737 21.22105263] ; [21.22105263 41.77894737],0
s2,1,0.442542,0.589683,[32 39] ; [57 55],[34.53005464 36.46994536] ; [54.46994536 57.53005464],0
b4,1,0.474345,0.511836,[44 27] ; [64 49],[41.67391304 29.32608696] ; [66.32608696 46.67391304],0
b5,1,0.589779,0.290689,[48 23] ; [72 41],[46.30434783 24.69565217] ; [73.69565217 39.30434783],0
s5,1,0.598273,0.277608,[21 46] ; [37 68],[22.59302326 44.40697674] ; [35.40697674 69.59302326],0
a7,1,0.604473,0.268302,[49 22] ; [82 31],[50.54891304 20.45108696] ; [80.45108696 32.54891304],0
v4,1,0.688661,0.160538,[63  8] ; [98 15],[62.125  8.875] ; [98.875 14.125],0
a1,1,0.698998,0.149516,[ 4 67] ; [  8 105],[ 4.63043478 66.36956522] ; [  7.36956522 105.63043478],0
r3,1,0.724649,0.124082,[58 12] ; [95 17],[58.84615385 11.15384615] ; [94.15384615 17.84615385],0
u2,1,0.781354,0.077037,[14 12] ; [13 13],[13.5 12.5] ; [13.5 12.5],0
s1,1,0.813328,0.05576,[ 5 65] ; [  7 105],[ 4.61538462 65.38461538] ; [  7.38461538 104.61538462],0
p1,1,0.838935,0.041313,[ 5 65] ; [  9 104],[ 5.35519126 64.64480874] ; [  8.64480874 104.35519126],0
s3,1,0.879214,0.023094,[35 36] ; [56 55],[35.5 35.5] ; [55.5 55.5],0
u3,1,0.884399,0.02114,[14 12] ; [14 13],[13.73584906 12.26415094] ; [14.26415094 12.73584906],0
a6,1,0.958407,0.00272,[43 28] ; [68 45],[42.83152174 28.16847826] ; [68.16847826 44.83152174],0
