Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,105.745693,[509 120] ; [102 125],[448.97079439 180.02920561] ; [162.02920561  64.97079439],1
d2,1,0.0,101.354698,[369 257] ; [ 46 183],[303.84795322 322.15204678] ; [111.15204678 117.84795322],1
d1,1,0.0,91.283939,[431 199] ; [ 74 156],[369.94186047 260.05813953] ; [135.05813953  94.94186047],1
a4,1,0.0,90.74592,[345 283] ; [ 42 187],[283.58926488 344.41073512] ; [103.41073512 125.58926488],1
u1,1,0.0,47.683986,[148 482] ; [  7 223],[113.54651163 516.45348837] ; [ 41.45348837 188.54651163],1
d5,1,0.0,43.923347,[540  87] ; [151  78],[506.14135514 120.85864486] ; [184.85864486  44.14135514],1
n4,1,0.0,37.409521,[512 115] ; [141  88],[478.30724299 148.69275701] ; [174.69275701  54.30724299],1
d4,1,0.0,35.822025,[542  85] ; [157  72],[512.00116822 114.99883178] ; [186.99883178  42.00116822],1
a6,1,0.0,34.954687,[463 164] ; [121 109],[427.2672112 199.7327888] ; [156.7327888  73.2672112],1
r1,1,0.0,29.043247,[543  84] ; [162  67],[516.39602804 110.60397196] ; [188.60397196  40.39602804],1
d3,1,7e-06,20.130819,[459 169] ; [130  98],[432.11682243 195.88317757] ; [156.88317757  71.11682243],1
s8,1,3.2e-05,17.303621,[302 320] ; [ 75 155],[275.22769953 346.77230047] ; [101.77230047 128.22769953],1
s7,1,5.5e-05,16.273932,[319 281] ; [ 82 138],[293.41463415 306.58536585] ; [107.58536585 112.41463415],1
p4,1,0.000107,15.001257,[388 234] ; [108 119],[363.3828033 258.6171967] ; [132.6171967  94.3828033],1
v2,1,0.000164,14.199636,[362 244] ; [ 97 119],[338.38686131 267.61313869] ; [120.61313869  95.38686131],1
p3,1,0.000374,12.659072,[331 293] ; [ 90 139],[307.97655334 316.02344666] ; [113.02344666 115.97655334],1
r4,1,0.000378,12.63892,[601  29] ; [204  26],[589.70930233  40.29069767] ; [215.29069767  14.70930233],1
n5,1,0.00047,12.232609,[485 141] ; [149  78],[465.28018757 160.71981243] ; [168.71981243  58.28018757],1
