Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.3e-05,17.944748,[15 20] ; [11 93],[ 6.54676259 28.45323741] ; [19.45323741 84.54676259],1
s3,1,0.000142,14.477954,[23 12] ; [30 72],[13.54014599 21.45985401] ; [39.45985401 62.54014599],1
p10,1,0.000259,13.343808,[17 18] ; [18 85],[ 8.87681159 26.12318841] ; [26.12318841 76.87681159],1
s2,1,0.000485,12.171281,[18 17] ; [21 81],[ 9.96350365 25.03649635] ; [29.03649635 72.96350365],1
s6,1,0.000877,11.06986,[23 12] ; [35 69],[14.60431655 20.39568345] ; [43.39568345 60.60431655],1
v1,1,0.028755,4.782242,[16 19] ; [27 77],[10.82733813 24.17266187] ; [32.17266187 71.82733813],0
d5,1,0.036036,4.3954,[30  5] ; [70 34],[25.17985612  9.82014388] ; [74.82014388 29.17985612],0
v3,1,0.04083,4.18304,[16 19] ; [27 73],[11.14814815 23.85185185] ; [31.85185185 68.14814815],0
r3,1,0.053225,3.736845,[31  4] ; [74 28],[26.82481752  8.17518248] ; [78.17518248 23.82481752],0
p11,1,0.069592,3.292608,[21 14] ; [44 60],[16.36690647 18.63309353] ; [48.63309353 55.36690647],0
r1,1,0.073861,3.195066,[29  6] ; [69 34],[24.85507246 10.14492754] ; [73.14492754 29.85507246],0
d1,1,0.104407,2.636908,[20 15] ; [43 61],[15.86330935 19.13669065] ; [47.13669065 56.86330935],0
u1,1,0.104809,2.630803,[ 7 28] ; [10 94],[ 4.28057554 30.71942446] ; [12.71942446 91.28057554],0
v2,1,0.108809,2.571429,[18 17] ; [36 64],[14. 21.] ; [40. 60.],0
a2,1,0.12632,2.337157,[ 9 26] ; [15 89],[ 6.04316547 28.95683453] ; [17.95683453 86.04316547],0
d3,1,0.156749,2.005315,[22 13] ; [51 53],[18.38129496 16.61870504] ; [54.61870504 49.38129496],0
n4,1,0.161101,1.963858,[26  9] ; [63 40],[22.57246377 12.42753623] ; [66.42753623 36.57246377],0
s5,1,0.16872,1.89428,[ 9 26] ; [16 88],[ 6.29496403 28.70503597] ; [18.70503597 85.29496403],0
a3,1,0.1696,1.886473,[24 11] ; [57 46],[20.54347826 14.45652174] ; [60.45652174 42.54347826],0
r4,1,0.172132,1.864278,[26  9] ; [64 40],[22.6618705 12.3381295] ; [67.3381295 36.6618705],0
r2,1,0.191838,1.703444,[32  3] ; [83 18],[29.59558824  5.40441176] ; [85.40441176 15.59558824],0
a4,1,0.203561,1.616637,[15 20] ; [32 71],[11.92028986 23.07971014] ; [35.07971014 67.92028986],0
a8,1,0.21027,1.569569,[ 4 26] ; [ 6 90],[ 2.38095238 27.61904762] ; [ 7.61904762 88.38095238],0
b5,1,0.221971,1.491585,[22 13] ; [53 51],[18.88489209 16.11510791] ; [56.11510791 47.88489209],0
b1,1,0.222249,1.489792,[21 14] ; [50 54],[17.87769784 17.12230216] ; [53.12230216 50.87769784],0
p8,1,0.280496,1.164687,[11 24] ; [23 80],[ 8.62318841 26.37681159] ; [25.37681159 77.62318841],0
a6,1,0.297757,1.084214,[24 11] ; [61 43],[21.4028777 13.5971223] ; [63.5971223 40.4028777],0
n6,1,0.303379,1.059282,[25 10] ; [63 39],[22.48175182 12.51824818] ; [65.51824818 36.48175182],0
s4,1,0.350153,0.872903,[ 7 28] ; [14 90],[ 5.28776978 29.71223022] ; [15.71223022 88.28776978],0
d4,1,0.354973,0.855601,[27  8] ; [71 32],[24.85507246 10.14492754] ; [73.14492754 29.85507246],0
n1,1,0.365937,0.817416,[5 6] ; [13 29],[3.73584906 7.26415094] ; [14.26415094 27.73584906],0
u3,1,0.379781,0.77141,[7 4] ; [23 24],[5.68965517 5.31034483] ; [24.31034483 22.68965517],0
u2,1,0.382193,0.763636,[6 5] ; [18 27],[4.71428571 6.28571429] ; [19.28571429 25.71428571],0
a5,1,0.402613,0.700508,[23 12] ; [60 44],[20.89928058 14.10071942] ; [62.10071942 41.89928058],0
n2,1,0.462029,0.540974,[8 4] ; [23 19],[6.88888889 5.11111111] ; [24.11111111 17.88888889],0
n3,1,0.488136,0.480631,[5 6] ; [24 18],[6.01886792 4.98113208] ; [22.98113208 19.01886792],0
n5,1,0.497861,0.459494,[22 13] ; [58 45],[20.28985507 14.71014493] ; [59.71014493 43.28985507],0
b4,1,0.517377,0.41912,[24 11] ; [65 39],[22.41007194 12.58992806] ; [66.58992806 37.41007194],0
d2,1,0.523635,0.406728,[19 16] ; [49 53],[17.37226277 17.62773723] ; [50.62773723 51.37226277],0
v4,1,0.562178,0.335947,[28  6] ; [80 23],[26.80291971  7.19708029] ; [81.19708029 21.80291971],0
s1,1,0.569717,0.323156,[ 3 32] ; [ 6 97],[ 2.2826087 32.7173913] ; [ 6.7173913 96.2826087],0
p2,1,0.591232,0.288425,[19 16] ; [51 53],[17.62589928 17.37410072] ; [52.37410072 51.62589928],0
p7,1,0.694018,0.15477,[14 21] ; [37 65],[13.02919708 21.97080292] ; [37.97080292 64.02919708],0
a1,1,0.71546,0.132884,[ 3 32] ; [ 7 97],[ 2.51798561 32.48201439] ; [ 7.48201439 96.51798561],0
b2,1,0.816205,0.054023,[ 7 20] ; [17 43],[ 7.44827586 19.55172414] ; [16.55172414 43.44827586],0
b3,1,0.816205,0.054023,[ 7 20] ; [17 43],[ 7.44827586 19.55172414] ; [16.55172414 43.44827586],0
p1,1,0.83259,0.044682,[ 2 33] ; [ 7 97],[ 2.26618705 32.73381295] ; [ 6.73381295 97.26618705],0
p4,1,0.843911,0.038767,[13 22] ; [36 66],[12.51824818 22.48175182] ; [36.48175182 65.51824818],0
p3,1,0.958763,0.002674,[ 9 25] ; [28 76],[ 9.11594203 24.88405797] ; [27.88405797 76.11594203],0
a7,1,0.983709,0.000417,[21 14] ; [61 41],[20.94890511 14.05109489] ; [61.05109489 40.94890511],0
