Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,57.546408,[261  76] ; [55 79],[226.09766454 110.90233546] ; [89.90233546 44.09766454],1
d3,1,0.0,34.400445,[262  76] ; [67 67],[235.59745763 102.40254237] ; [93.40254237 40.59745763],1
u1,1,1e-06,24.758024,[ 94 246] ; [  9 125],[ 73.88185654 266.11814346] ; [ 29.11814346 104.88185654],1
a2,1,3e-06,22.16222,[110 230] ; [ 15 119],[ 89.66244726 250.33755274] ; [35.33755274 98.66244726],1
r4,1,1.9e-05,18.289412,[327  13] ; [114  20],[316.32911392  23.67088608] ; [124.67088608   9.32911392],1
b5,1,3.4e-05,17.181457,[232 108] ; [64 70],[212.32067511 127.67932489] ; [83.67932489 50.32067511],1
b1,1,0.000349,12.787837,[117 223] ; [70 64],[134.1350211 205.8649789] ; [52.8649789 81.1350211],1
v2,1,0.001154,10.562846,[206 122] ; [59 69],[190.61403509 137.38596491] ; [74.38596491 53.61403509],0
v4,1,0.001858,9.685209,[334   6] ; [123  10],[328.49894292  11.50105708] ; [128.50105708   4.49894292],0
d4,1,0.00187,9.673445,[292  46] ; [99 34],[280.59023355  57.40976645] ; [110.40976645  22.59023355],0
r2,1,0.00237,9.238478,[330   9] ; [120  12],[323.88535032  15.11464968] ; [126.11464968   5.88535032],0
r1,1,0.006713,7.348165,[294  44] ; [103  31],[284.29237288  53.70762712] ; [112.70762712  21.29237288],0
r3,1,0.006995,7.274302,[329   9] ; [123  11],[323.6779661  14.3220339] ; [128.3220339   5.6779661],0
d1,1,0.007917,7.052093,[220 120] ; [69 65],[207.29957806 132.70042194] ; [81.70042194 52.29957806],0
u3,1,0.017324,5.663286,[57 29] ; [15 20],[51.17355372 34.82644628] ; [20.82644628 14.17355372],0
d5,1,0.080593,3.052896,[287  51] ; [104  29],[280.59023355  57.40976645] ; [110.40976645  22.59023355],0
n2,1,0.101816,2.67687,[51 10] ; [25 11],[47.79381443 13.20618557] ; [28.20618557  7.79381443],0
p8,1,0.13907,2.188224,[193 140] ; [66 65],[185.87715517 147.12284483] ; [73.12284483 57.87715517],0
b4,1,0.172228,1.863442,[206 134] ; [72 62],[199.4092827 140.5907173] ; [78.5907173 55.4092827],0
a5,1,0.183275,1.770865,[261  79] ; [95 39],[255.35864979  84.64135021] ; [100.64135021  33.35864979],0
s7,1,0.188085,1.732558,[201 121] ; [91 41],[207.10132159 114.89867841] ; [84.89867841 47.10132159],0
s8,1,0.201589,1.630825,[187 150] ; [83 51],[193.18471338 143.81528662] ; [76.81528662 57.18471338],0
p4,1,0.2431,1.362527,[235 102] ; [86 48],[229.67515924 107.32484076] ; [91.32484076 42.67515924],0
a8,1,0.251054,1.31743,[ 54 250] ; [ 17 111],[ 49.96296296 254.03703704] ; [ 21.03703704 106.96296296],0
u2,1,0.268453,1.224635,[53 32] ; [18 17],[50.29166667 34.70833333] ; [20.70833333 14.29166667],0
v1,1,0.293236,1.104703,[206 125] ; [74 56],[201.04121475 129.95878525] ; [78.95878525 51.04121475],0
b3,1,0.319925,0.989254,[ 76 133] ; [37 50],[ 79.78716216 129.21283784] ; [33.21283784 53.78716216],0
b2,1,0.319925,0.989254,[ 76 133] ; [37 50],[ 79.78716216 129.21283784] ; [33.21283784 53.78716216],0
s4,1,0.374946,0.787208,[ 63 270] ; [ 30 103],[ 66.45708155 266.54291845] ; [ 26.54291845 106.45708155],0
p7,1,0.378384,0.775947,[227  99] ; [85 45],[223.05263158 102.94736842] ; [88.94736842 41.05263158],0
