Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000141,14.490666,[20  8] ; [11 32],[12.22535211 15.77464789] ; [18.77464789 24.22535211],1
p2,1,0.004092,8.242519,[23  6] ; [19 23],[17.15492958 11.84507042] ; [24.84507042 17.15492958],0
p7,1,0.00749,7.151589,[16 11] ; [11 30],[10.72058824 16.27941176] ; [16.27941176 24.72058824],0
r3,1,0.0109,6.481481,[23  5] ; [22 20],[18. 10.] ; [27. 15.],0
s3,1,0.016827,5.714286,[16 12] ; [12 30],[11.2 16.8] ; [16.8 25.2],0
s7,1,0.020257,5.389608,[13 15] ; [ 8 32],[ 8.64705882 19.35294118] ; [12.35294118 27.64705882],0
s5,1,0.025529,4.987616,[ 8 18] ; [ 4 38],[ 4.58823529 21.41176471] ; [ 7.41176471 34.58823529],0
v4,1,0.036343,4.380952,[22  5] ; [24 18],[18.  9.] ; [28. 14.],0
s8,1,0.041285,4.164288,[ 9 20] ; [ 5 38],[ 5.63888889 23.36111111] ; [ 8.36111111 34.63888889],0
d4,1,0.046501,3.963341,[26  3] ; [30 13],[22.55555556  6.44444444] ; [33.44444444  9.55555556],0
v1,1,0.056532,3.636324,[13 15] ; [10 31],[ 9.33333333 18.66666667] ; [13.66666667 27.33333333],0
s2,1,0.070206,3.278191,[12 17] ; [ 9 33],[ 8.57746479 20.42253521] ; [12.42253521 29.57746479],0
p11,1,0.075369,3.162036,[19 10] ; [19 24],[15.30555556 13.69444444] ; [22.69444444 20.30555556],0
p9,1,0.112289,2.521702,[21  8] ; [22 19],[17.81428571 11.18571429] ; [25.18571429 15.81428571],0
a4,1,0.121335,2.400008,[ 7 22] ; [18 25],[10.06944444 18.93055556] ; [14.93055556 28.06944444],0
s4,1,0.151709,2.054981,[ 8 21] ; [ 6 37],[ 5.63888889 23.36111111] ; [ 8.36111111 34.63888889],0
a2,1,0.162448,1.951293,[ 3 26] ; [10 33],[ 5.23611111 23.76388889] ; [ 7.76388889 35.23611111],0
d3,1,0.172718,1.859191,[23  6] ; [27 15],[20.42253521  8.57746479] ; [29.57746479 12.42253521],0
u3,1,0.183535,1.768767,[6 5] ; [ 5 12],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
d2,1,0.216174,1.529589,[ 8 21] ; [18 25],[10.47222222 18.52777778] ; [15.52777778 27.47222222],0
s1,1,0.218082,1.51695,[ 1 28] ; [ 5 38],[ 2.41666667 26.58333333] ; [ 3.58333333 39.41666667],0
b5,1,0.22764,1.455548,[19 10] ; [22 21],[16.51388889 12.48611111] ; [24.48611111 18.51388889],0
p10,1,0.286227,1.137282,[18  9] ; [22 19],[15.88235294 11.11764706] ; [24.11764706 16.88235294],0
d5,1,0.295953,1.09234,[24  5] ; [31 12],[22.15277778  6.84722222] ; [32.84722222 10.15277778],0
u2,1,0.344503,0.893601,[6 4] ; [ 7 10],[4.81481481 5.18518519] ; [8.18518519 8.81481481],0
u1,1,0.350044,0.873296,[ 2 27] ; [ 6 37],[ 3.22222222 25.77777778] ; [ 4.77777778 38.22222222],0
b4,1,0.350215,0.872677,[15 14] ; [27 16],[16.91666667 12.08333333] ; [25.08333333 17.91666667],0
p4,1,0.370943,0.800502,[11 18] ; [12 31],[ 9.26388889 19.73611111] ; [13.73611111 29.26388889],0
n1,1,0.466473,0.530318,[ 3 10] ; [ 7 13],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
p5,1,0.466667,0.529857,[ 2 27] ; [ 5 36],[ 2.9 26.1] ; [ 4.1 36.9],0
a1,1,0.506288,0.441732,[ 2 27] ; [ 5 38],[ 2.81944444 26.18055556] ; [ 4.18055556 38.81944444],0
n3,1,0.515406,0.423077,[8 5] ; [10 10],[7.09090909 5.90909091] ; [10.90909091  9.09090909],0
a5,1,0.517999,0.417875,[16 13] ; [27 16],[17.31944444 11.68055556] ; [25.68055556 17.31944444],0
b3,1,0.549667,0.357914,[ 3 11] ; [ 7 16],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
b2,1,0.549667,0.357914,[ 3 11] ; [ 7 16],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
n2,1,0.59015,0.29011,[9 4] ; [12  8],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
n4,1,0.597844,0.27826,[16 13] ; [21 22],[14.90277778 14.09722222] ; [22.09722222 20.90277778],0
r1,1,0.653296,0.20177,[ 8 21] ; [14 29],[ 8.86111111 20.13888889] ; [13.13888889 29.86111111],0
p3,1,0.65558,0.198937,[ 9 20] ; [11 31],[ 8.16901408 20.83098592] ; [11.83098592 30.16901408],0
n5,1,0.663457,0.189351,[13 14] ; [23 20],[13.88571429 13.11428571] ; [22.11428571 20.88571429],0
n6,1,0.695205,0.153509,[16 12] ; [22 20],[15.2 12.8] ; [22.8 19.2],0
a8,1,0.715456,0.132888,[ 2 25] ; [ 4 36],[ 2.41791045 24.58208955] ; [ 3.58208955 36.41791045],0
d1,1,0.738191,0.111723,[13 16] ; [21 22],[13.69444444 15.30555556] ; [20.30555556 22.69444444],0
r2,1,0.75293,0.099085,[15  9] ; [24 17],[14.4  9.6] ; [24.6 16.4],0
p8,1,0.75778,0.095109,[ 9 19] ; [15 27],[ 9.6 18.4] ; [14.4 27.6],0
a3,1,0.780763,0.077465,[17 12] ; [26 16],[17.56338028 11.43661972] ; [25.43661972 16.56338028],0
v3,1,0.788251,0.072137,[ 7 22] ; [ 9 33],[ 6.53521127 22.46478873] ; [ 9.46478873 32.53521127],0
p12,1,0.789328,0.071387,[ 1 28] ; [ 1 41],[ 0.81690141 28.18309859] ; [ 1.18309859 40.81690141],0
b1,1,0.803067,0.06219,[13 16] ; [18 25],[12.48611111 16.51388889] ; [18.51388889 24.48611111],0
a6,1,0.813249,0.055808,[19 10] ; [27 16],[18.52777778 10.47222222] ; [27.47222222 15.52777778],0
p6,1,1.0,0.0,[ 6 22] ; [ 9 33],[ 6. 22.] ; [ 9. 33.],0
