Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.019911,5.419676,[5 4] ; [53  8],[7.45714286 1.54285714] ; [50.54285714 10.45714286],0
d1,1,0.028355,4.806367,[3 6] ; [43 18],[5.91428571 3.08571429] ; [40.08571429 20.91428571],0
s8,1,0.053323,3.733766,[5 4] ; [50 10],[7.17391304 1.82608696] ; [47.82608696 12.17391304],0
s2,1,0.073105,3.2119,[4 5] ; [45 16],[6.3 2.7] ; [42.7 18.3],0
a1,1,0.080236,3.060109,[3 6] ; [ 7 54],[1.28571429 7.71428571] ; [ 8.71428571 52.28571429],0
v3,1,0.095295,2.782567,[3 6] ; [37 22],[5.29411765 3.70588235] ; [34.70588235 24.29411765],0
r4,1,0.117092,2.455791,[7 2] ; [57  4],[8.22857143 0.77142857] ; [55.77142857  5.22857143],0
a4,1,0.153447,2.037647,[2 7] ; [29 32],[3.98571429 5.01428571] ; [27.01428571 33.98571429],0
n1,1,0.163165,1.944643,[1 3] ; [9 5],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
p1,1,0.185286,1.754706,[1 8] ; [20 41],[2.7 6.3] ; [18.3 42.7],0
d5,1,0.233123,1.421703,[6 3] ; [50 10],[7.30434783 1.69565217] ; [48.69565217 11.30434783],0
b5,1,0.280408,1.165113,[2 7] ; [25 36],[3.47142857 5.52857143] ; [23.52857143 37.47142857],0
b3,1,0.36157,0.832434,[4 2] ; [23 26],[2.94545455 3.05454545] ; [24.05454545 24.94545455],0
b2,1,0.36157,0.832434,[4 2] ; [23 26],[2.94545455 3.05454545] ; [24.05454545 24.94545455],0
s3,1,0.365831,0.817778,[6 3] ; [48 12],[7.04347826 1.95652174] ; [46.95652174 13.04347826],0
n3,1,0.374857,0.7875,[3 1] ; [7 7],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
p4,1,0.38059,0.768796,[7 2] ; [53  7],[7.82608696 1.17391304] ; [52.17391304  7.82608696],0
a5,1,0.422686,0.642835,[6 3] ; [48 13],[6.94285714 2.05714286] ; [47.05714286 13.94285714],0
n6,1,0.464432,0.535192,[8 1] ; [57  3],[8.47826087 0.52173913] ; [56.52173913  3.47826087],0
p3,1,0.524828,0.404396,[8 1] ; [48 12],[7.30434783 1.69565217] ; [48.69565217 11.30434783],0
d3,1,0.595483,0.281863,[6 3] ; [45 15],[6.65217391 2.34782609] ; [44.34782609 15.65217391],0
p7,1,0.644143,0.213365,[8 1] ; [48 10],[7.52238806 1.47761194] ; [48.47761194  9.52238806],0
p12,1,0.644152,0.213353,[3 5] ; [18 43],[2.43478261 5.56521739] ; [18.56521739 42.43478261],0
u3,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
v1,1,0.666251,0.186018,[5 3] ; [42 18],[5.52941176 2.47058824] ; [41.47058824 18.52941176],0
u2,1,0.678845,0.171429,[2 2] ; [5 3],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
p8,1,0.68439,0.165225,[8 1] ; [51 10],[7.58571429 1.41428571] ; [51.41428571  9.58571429],0
a7,1,0.734795,0.114754,[6 3] ; [44 17],[6.42857143 2.57142857] ; [43.57142857 17.42857143],0
p6,1,0.740429,0.10975,[5 3] ; [41 19],[5.41176471 2.58823529] ; [40.58823529 19.41176471],0
d4,1,0.757288,0.095508,[8 1] ; [51  9],[7.69565217 1.30434783] ; [51.30434783  8.69565217],0
n5,1,0.770629,0.085003,[8 1] ; [56  5],[8.22857143 0.77142857] ; [55.77142857  5.22857143],0
p11,1,0.770629,0.085003,[8 1] ; [52  9],[7.71428571 1.28571429] ; [52.28571429  8.71428571],0
b1,1,0.79998,0.064198,[3 6] ; [23 38],[3.34285714 5.65714286] ; [22.65714286 38.34285714],0
a6,1,0.800112,0.064111,[5 4] ; [36 24],[5.34782609 3.65217391] ; [35.65217391 24.34782609],0
p10,1,0.814484,0.055059,[7 1] ; [55  6],[7.1884058 0.8115942] ; [54.8115942  6.1884058],0
n2,1,0.879563,0.022959,[3 1] ; [11  3],[3.11111111 0.88888889] ; [10.88888889  3.11111111],0
s6,1,0.918001,0.010599,[8 1] ; [54  6],[8.08695652 0.91304348] ; [53.91304348  6.08695652],0
s5,1,0.943179,0.00508,[5 3] ; [37 21],[5.09090909 2.90909091] ; [36.90909091 21.09090909],0
s1,1,0.974419,0.001028,[1 8] ; [ 7 54],[1.02857143 7.97142857] ; [ 6.97142857 54.02857143],0
v2,1,0.983088,0.000449,[5 4] ; [33 26],[5.02941176 3.97058824] ; [32.97058824 26.02941176],0
b4,1,0.991806,0.000105,[5 4] ; [34 27],[5.01428571 3.98571429] ; [33.98571429 27.01428571],0
