Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6e-06,20.357576,[11 28] ; [67 28],[22.70149254 16.29850746] ; [55.29850746 39.70149254],1
s3,1,5.8e-05,16.17745,[14 25] ; [68 25],[24.22727273 14.77272727] ; [57.77272727 35.22727273],1
s5,1,6.1e-05,16.064678,[ 4 34] ; [44 48],[14.03076923 23.96923077] ; [33.96923077 58.03076923],1
r4,1,0.002068,9.48796,[27 12] ; [86  9],[32.8880597  6.1119403] ; [80.1119403 14.8880597],0
p9,1,0.015181,5.895316,[25 13] ; [78 14],[30.10769231  7.89230769] ; [72.89230769 19.10769231],0
u2,1,0.069385,3.297514,[4 7] ; [14  6],[6.38709677 4.61290323] ; [11.61290323  8.38709677],0
v4,1,0.088734,2.8972,[32  6] ; [88  6],[34.54545455  3.45454545] ; [85.45454545  8.54545455],0
p1,1,0.096894,2.755932,[ 1 38] ; [11 84],[ 3.49253731 35.50746269] ; [ 8.50746269 86.49253731],0
a7,1,0.098754,2.725556,[25 14] ; [74 21],[28.81343284 10.18656716] ; [70.18656716 24.81343284],0
n5,1,0.111926,2.526816,[24 15] ; [70 23],[27.77272727 11.22727273] ; [66.22727273 26.77272727],0
b2,1,0.138877,2.190356,[12 13] ; [20 44],[ 8.98876404 16.01123596] ; [23.01123596 40.98876404],0
b3,1,0.138877,2.190356,[12 13] ; [20 44],[ 8.98876404 16.01123596] ; [23.01123596 40.98876404],0
r2,1,0.171571,1.869162,[34  4] ; [90  4],[35.6969697  2.3030303] ; [88.3030303  5.6969697],0
r3,1,0.190768,1.711679,[35  4] ; [89  4],[36.63636364  2.36363636] ; [87.36363636  5.63636364],0
a2,1,0.196716,1.666593,[ 8 31] ; [30 65],[11.05970149 27.94029851] ; [26.94029851 68.05970149],0
p5,1,0.197093,1.663784,[ 2 37] ; [12 83],[ 4.07462687 34.92537313] ; [ 9.92537313 85.07462687],0
s1,1,0.209227,1.576765,[ 1 38] ; [ 8 85],[ 2.65909091 36.34090909] ; [ 6.34090909 86.65909091],0
b4,1,0.2473,1.338491,[20 19] ; [59 36],[22.99253731 16.00746269] ; [56.00746269 38.99253731],0
s4,1,0.250288,1.321698,[ 7 32] ; [26 69],[ 9.60447761 29.39552239] ; [23.39552239 71.60447761],0
v3,1,0.251335,1.31587,[10 27] ; [35 58],[12.80769231 24.19230769] ; [32.19230769 60.80769231],0
n1,1,0.261366,1.261508,[7 5] ; [ 8 13],[5.45454545 6.54545455] ; [ 9.54545455 11.45454545],0
p4,1,0.335791,0.926435,[22 17] ; [62 33],[24.44776119 14.55223881] ; [59.55223881 35.44776119],0
p6,1,0.356096,0.851613,[13 26] ; [39 54],[15.36363636 23.63636364] ; [36.63636364 56.36363636],0
d3,1,0.360703,0.835446,[26 13] ; [70 24],[28.15037594 10.84962406] ; [67.84962406 26.15037594],0
n6,1,0.376373,0.782515,[29  9] ; [78 16],[30.8030303  7.1969697] ; [76.1969697 17.8030303],0
p3,1,0.379147,0.773467,[18 20] ; [53 42],[20.28571429 17.71428571] ; [50.71428571 44.28571429],0
p12,1,0.390017,0.738889,[ 1 37] ; [ 6 89],[ 2. 36.] ; [ 5. 90.],0
p11,1,0.407431,0.686286,[31  8] ; [69 26],[29.10447761  9.89552239] ; [70.89552239 24.10447761],0
v2,1,0.473219,0.51445,[18 20] ; [51 43],[19.86363636 18.13636364] ; [49.13636364 44.86363636],0
b5,1,0.483656,0.490609,[20 19] ; [55 40],[21.82835821 17.17164179] ; [53.17164179 41.82835821],0
p8,1,0.501935,0.450843,[17 22] ; [46 46],[18.75572519 20.24427481] ; [44.24427481 47.75572519],0
a5,1,0.513649,0.426627,[27 12] ; [71 24],[28.52238806 10.47761194] ; [69.47761194 25.52238806],0
a4,1,0.535649,0.383664,[17 22] ; [47 48],[18.62686567 20.37313433] ; [45.37313433 49.62686567],0
b1,1,0.579316,0.307342,[14 25] ; [39 56],[15.42537313 23.57462687] ; [37.57462687 57.42537313],0
r1,1,0.588268,0.293057,[30  9] ; [77 18],[31.14179104  7.85820896] ; [75.85820896 19.14179104],0
a3,1,0.603871,0.269197,[28 10] ; [74 21],[29.14285714  8.85714286] ; [72.85714286 22.14285714],0
p10,1,0.623318,0.241231,[31  8] ; [71 23],[29.90977444  9.09022556] ; [72.09022556 21.90977444],0
v1,1,0.633042,0.227958,[15 21] ; [44 51],[16.21374046 19.78625954] ; [42.78625954 52.21374046],0
d2,1,0.638308,0.220962,[19 20] ; [50 44],[20.23308271 18.76691729] ; [48.76691729 45.23308271],0
p2,1,0.642235,0.21583,[32  7] ; [81 14],[32.8880597  6.1119403] ; [80.1119403 14.8880597],0
a8,1,0.646204,0.21072,[ 6 27] ; [13 75],[ 5.18181818 27.81818182] ; [13.81818182 74.18181818],0
n4,1,0.684085,0.165564,[32  7] ; [75 20],[31.14179104  7.85820896] ; [75.85820896 19.14179104],0
u1,1,0.684085,0.165564,[ 7 32] ; [20 75],[ 7.85820896 31.14179104] ; [19.14179104 75.85820896],0
n2,1,0.687421,0.161892,[9 3] ; [17  4],[9.45454545 2.54545455] ; [16.54545455  4.45454545],0
p7,1,0.719952,0.128538,[24 15] ; [59 32],[24.9 14.1] ; [58.1 32.9],0
a6,1,0.755362,0.09708,[26 13] ; [60 34],[25.21804511 13.78195489] ; [60.78195489 33.21804511],0
d1,1,0.837186,0.042228,[21 18] ; [53 42],[21.53731343 17.46268657] ; [52.46268657 42.53731343],0
u3,1,0.863894,0.029385,[7 4] ; [14  7],[7.21875 3.78125] ; [13.78125  7.21875],0
d5,1,0.921647,0.009674,[31  8] ; [74 20],[30.78947368  8.21052632] ; [74.21052632 19.78947368],0
n3,1,0.923441,0.009235,[7 4] ; [13  8],[6.875 4.125] ; [13.125  7.875],0
a1,1,0.974558,0.001017,[ 2 37] ; [ 5 90],[ 2.03731343 36.96268657] ; [ 4.96268657 90.03731343],0
d4,1,0.985144,0.000347,[32  7] ; [77 17],[31.96240602  7.03759398] ; [77.03759398 16.96240602],0
