Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,87.12,[14 96] ; [96 36],[50. 60.] ; [60. 72.],1
d5,1,0.0,64.000452,[63 47] ; [132   2],[87.90983607 22.09016393] ; [107.09016393  26.90983607],1
d4,1,0.0,63.553986,[63 47] ; [131   2],[87.81893004 22.18106996] ; [106.18106996  26.81893004],1
d3,1,0.0,50.071395,[46 64] ; [114  20],[72.13114754 37.86885246] ; [87.86885246 46.13114754],1
u1,1,1e-06,23.469742,[  2 108] ; [ 31 103],[14.87704918 95.12295082] ; [ 18.12295082 115.87704918],1
a2,1,3e-06,21.528028,[  5 105] ; [36 98],[18.48360656 91.51639344] ; [ 22.51639344 111.48360656],1
a4,1,1.6e-05,18.651197,[29 81] ; [72 62],[45.53278689 64.46721311] ; [55.46721311 78.53278689],1
s2,1,0.000393,12.56751,[37 71] ; [75 56],[50.61087866 57.38912134] ; [61.38912134 69.61087866],1
a5,1,0.00066,11.597656,[62 48] ; [103  31],[74.3852459 35.6147541] ; [90.6147541 43.3852459],1
p4,1,0.00068,11.543873,[40 70] ; [78 56],[53.19672131 56.80327869] ; [64.80327869 69.19672131],1
v2,1,0.001326,10.305385,[40 64] ; [78 53],[52.2212766 51.7787234] ; [65.7787234 65.2212766],0
p6,1,0.002957,8.834082,[ 10 100] ; [ 31 101],[18.63636364 91.36363636] ; [ 22.36363636 109.63636364],0
a3,1,0.003788,8.38272,[60 50] ; [97 37],[70.77868852 39.22131148] ; [86.22131148 47.77868852],0
p12,1,0.007469,7.156475,[  2 106] ; [ 14 120],[  7.14049587 100.85950413] ; [  8.85950413 125.14049587],0
s6,1,0.007516,7.145259,[55 54] ; [89 43],[65.12863071 43.87136929] ; [78.87136929 53.12863071],0
s8,1,0.011433,6.396768,[28 82] ; [54 78],[37.27272727 72.72727273] ; [44.72727273 87.27272727],0
s3,1,0.013516,6.100264,[47 62] ; [78 54],[56.53526971 52.46473029] ; [68.46473029 63.53526971],0
v3,1,0.01752,5.643565,[24 83] ; [47 81],[32.32765957 74.67234043] ; [38.67234043 89.32765957],0
a7,1,0.018813,5.518785,[73 37] ; [106  27],[81.02880658 28.97119342] ; [97.97119342 35.02880658],0
r1,1,0.02779,4.841017,[74 36] ; [106  27],[81.48148148 28.51851852] ; [98.51851852 34.48148148],0
s7,1,0.042966,4.096756,[33 72] ; [56 70],[40.45454545 64.54545455] ; [48.54545455 77.45454545],0
s5,1,0.053131,3.739803,[19 87] ; [36 89],[25.23809524 80.76190476] ; [29.76190476 95.23809524],0
n6,1,0.053298,3.734555,[82 27] ; [114  20],[87.91769547 21.08230453] ; [108.08230453  25.91769547],0
a8,1,0.083985,2.986037,[15 86] ; [  9 110],[11.01818182 89.98181818] ; [ 12.98181818 106.01818182],0
p3,1,0.095334,2.781917,[31 79] ; [51 82],[37.11934156 72.88065844] ; [44.88065844 88.11934156],0
u2,1,0.112496,2.518796,[22 27] ; [23 14],[25.63953488 23.36046512] ; [19.36046512 17.63953488],0
a6,1,0.134085,2.244564,[68 42] ; [95 39],[73.48360656 36.51639344] ; [89.51639344 44.48360656],0
u3,1,0.144959,2.124515,[26 24] ; [25 12],[29.31034483 20.68965517] ; [21.68965517 15.31034483],0
r3,1,0.146377,2.10961,[99 10] ; [127   6],[101.79338843   7.20661157] ; [124.20661157   8.79338843],0
r2,1,0.167051,1.909208,[98 12] ; [125   8],[100.94650206   9.05349794] ; [122.05349794  10.94650206],0
n1,1,0.241047,1.374458,[ 8 20] ; [17 23],[10.29411765 17.70588235] ; [14.70588235 25.29411765],0
p5,1,0.250019,1.323199,[  5 105] ; [ 11 123],[  7.21311475 102.78688525] ; [  8.78688525 125.21311475],0
n5,1,0.266233,1.236053,[73 37] ; [97 36],[76.95473251 33.04526749] ; [93.04526749 39.95473251],0
b2,1,0.281723,1.158757,[15 37] ; [30 49],[17.86259542 34.13740458] ; [27.13740458 51.86259542],0
