Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,41.316763,[123  11] ; [10 15],[112.08805031  21.91194969] ; [20.91194969  4.08805031],1
p2,1,0.00133,10.300952,[123  12] ; [17  8],[118.125  16.875] ; [21.875  3.125],0
r3,1,0.00475,7.972341,[129   6] ; [20  5],[125.71875   9.28125] ; [23.28125  1.71875],0
n5,1,0.005443,7.726096,[109  25] ; [14 11],[103.66037736  30.33962264] ; [19.33962264  5.66037736],0
s6,1,0.013401,6.115428,[110  24] ; [15 10],[105.34591195  28.65408805] ; [19.65408805  5.34591195],0
p8,1,0.014475,5.979298,[79 56] ; [ 8 17],[73.40625 61.59375] ; [13.59375 11.40625],0
n6,1,0.021201,5.310166,[116  18] ; [17  8],[112.08805031  21.91194969] ; [20.91194969  4.08805031],0
s8,1,0.028877,4.774959,[91 45] ; [11 14],[86.16149068 49.83850932] ; [15.83850932  9.16149068],0
s1,1,0.029364,4.746141,[  6 128] ; [ 4 21],[  8.42767296 125.57232704] ; [ 1.57232704 23.42767296],0
r4,1,0.045506,3.999783,[119  17] ; [18  7],[115.72670807  20.27329193] ; [21.27329193  3.72670807],0
n1,1,0.06312,3.453453,[16 21] ; [7 2],[18.5 18.5] ; [4.5 4.5],0
b1,1,0.096939,2.755201,[52 84] ; [14 11],[55.7515528 80.2484472] ; [10.2484472 14.7515528],0
a3,1,0.128053,2.315951,[97 39] ; [14 11],[93.76397516 42.23602484] ; [17.23602484  7.76397516],0
a5,1,0.174773,1.841517,[90 46] ; [13 12],[87.00621118 48.99378882] ; [15.99378882  9.00621118],0
p7,1,0.191583,1.705401,[97 36] ; [15 10],[94.27848101 38.72151899] ; [17.72151899  7.27848101],0
u3,1,0.205344,1.603952,[29 10] ; [6 5],[27.3 11.7] ; [7.7 3.3],0
v1,1,0.213856,1.545128,[77 57] ; [11 14],[74.16352201 59.83647799] ; [13.83647799 11.16352201],0
p11,1,0.243539,1.359993,[107  29] ; [17  8],[104.74534161  31.25465839] ; [19.25465839  5.74534161],0
p3,1,0.261927,1.258543,[71 65] ; [10 15],[68.42236025 67.57763975] ; [12.57763975 12.42236025],0
p1,1,0.276303,1.185185,[ 15 120] ; [ 1 24],[ 13.5 121.5] ; [ 2.5 22.5],0
p5,1,0.285926,1.138707,[ 22 113] ; [ 2 23],[ 20.25 114.75] ; [ 3.75 21.25],0
n2,1,0.326087,0.964375,[28  9] ; [9 1],[29.12765957  7.87234043] ; [7.87234043 2.12765957],0
r1,1,0.333687,0.934536,[104  31] ; [17  8],[102.09375  32.90625] ; [18.90625  6.09375],0
s2,1,0.366131,0.816755,[89 47] ; [14 11],[87.00621118 48.99378882] ; [15.99378882  9.00621118],0
v2,1,0.386901,0.748659,[70 61] ; [11 14],[68.01923077 62.98076923] ; [12.98076923 12.01923077],0
b3,1,0.388119,0.744828,[38 49] ; [ 7 14],[36.25 50.75] ; [ 8.75 12.25],0
b2,1,0.388119,0.744828,[38 49] ; [ 7 14],[36.25 50.75] ; [ 8.75 12.25],0
a7,1,0.397717,0.715219,[83 53] ; [13 12],[81.0931677 54.9068323] ; [14.9068323 10.0931677],0
s4,1,0.408939,0.681882,[ 28 108] ; [ 7 18],[ 29.56521739 106.43478261] ; [ 5.43478261 19.56521739],0
p4,1,0.438353,0.600589,[82 54] ; [13 12],[80.2484472 55.7515528] ; [14.7515528 10.2484472],0
d2,1,0.439049,0.598765,[ 25 111] ; [ 3 22],[ 23.65217391 112.34782609] ; [ 4.34782609 20.65217391],0
n3,1,0.44561,0.581795,[25 12] ; [8 2],[25.9787234 11.0212766] ; [7.0212766 2.9787234],0
a2,1,0.474407,0.511692,[ 11 125] ; [ 1 24],[ 10.13664596 125.86335404] ; [ 1.86335404 23.13664596],0
n4,1,0.529109,0.396103,[105  30] ; [18  7],[103.78125  31.21875] ; [19.21875  5.78125],0
d4,1,0.539324,0.376795,[85 51] ; [14 11],[83.62732919 52.37267081] ; [15.37267081  9.62732919],0
v4,1,0.544993,0.366364,[127   7] ; [22  2],[126.36708861   7.63291139] ; [22.63291139  1.36708861],0
u1,1,0.568208,0.32569,[  7 129] ; [ 2 23],[  7.60248447 128.39751553] ; [ 1.39751553 23.60248447],0
a6,1,0.571829,0.319632,[79 57] ; [13 12],[77.71428571 58.28571429] ; [14.28571429 10.71428571],0
a8,1,0.574431,0.315325,[ 23 106] ; [ 3 20],[ 22.06578947 106.93421053] ; [ 3.93421053 19.06578947],0
a4,1,0.591749,0.287621,[ 34 102] ; [ 5 20],[ 32.94409938 103.05590062] ; [ 6.05590062 18.94409938],0
a1,1,0.596325,0.280574,[  3 133] ; [ 1 24],[  3.37888199 132.62111801] ; [ 0.62111801 24.37888199],0
r2,1,0.64124,0.217124,[121  12] ; [22  3],[120.37341772  12.62658228] ; [22.62658228  2.37341772],0
s5,1,0.702659,0.14572,[55 77] ; [ 9 15],[54.15384615 77.84615385] ; [ 9.84615385 14.15384615],0
b5,1,0.83035,0.045904,[73 63] ; [14 11],[73.49068323 62.50931677] ; [13.50931677 11.49068323],0
