Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.710884,[108   7] ; [28 14],[99.61783439 15.38216561] ; [36.38216561  5.61783439],1
v4,1,2.1e-05,18.126401,[112   2] ; [33  9],[105.96153846   8.03846154] ; [39.03846154  2.96153846],1
r3,1,5.3e-05,16.336058,[108   6] ; [30 12],[100.84615385  13.15384615] ; [37.15384615  4.84615385],1
p10,1,0.000384,12.609917,[99 15] ; [25 16],[91.2 22.8] ; [32.8  8.2],1
r1,1,0.001316,10.319293,[99 16] ; [25 15],[92. 23.] ; [32.  8.],0
p9,1,0.002614,9.058918,[102  13] ; [28 13],[95.83333333 19.16666667] ; [34.16666667  6.83333333],0
p6,1,0.003793,8.380276,[47 66] ; [ 7 35],[39.36774194 73.63225806] ; [14.63225806 27.36774194],0
n4,1,0.016799,5.717243,[94 21] ; [26 15],[88.46153846 26.53846154] ; [31.53846154  9.46153846],0
a5,1,0.017452,5.650328,[88 27] ; [24 18],[82.03821656 32.96178344] ; [29.96178344 12.03821656],0
p7,1,0.018287,5.568399,[76 37] ; [19 22],[69.70779221 43.29220779] ; [25.29220779 15.70779221],0
r2,1,0.019043,5.497547,[112   3] ; [37  5],[109.14012739   5.85987261] ; [39.85987261  2.14012739],0
n6,1,0.026968,4.892862,[97 18] ; [28 13],[92.1474359 22.8525641] ; [32.8525641  8.1474359],0
u2,1,0.051981,3.776383,[20 11] ; [ 6 11],[16.79166667 14.20833333] ; [9.20833333 7.79166667],0
p8,1,0.053116,3.740258,[66 48] ; [17 25],[60.65384615 53.34615385] ; [22.34615385 19.65384615],0
a6,1,0.058356,3.583495,[74 41] ; [20 22],[68.85350318 46.14649682] ; [25.14649682 16.85350318],0
s8,1,0.060042,3.536223,[56 59] ; [13 28],[50.86538462 64.13461538] ; [18.13461538 22.86538462],0
u3,1,0.060115,3.534208,[23  8] ; [8 9],[20.02083333 10.97916667] ; [10.97916667  6.02083333],0
a2,1,0.073029,3.21359,[29 86] ; [ 5 37],[24.9044586 90.0955414] ; [ 9.0955414 32.9044586],0
p2,1,0.079064,3.084041,[96 19] ; [29 12],[92.1474359 22.8525641] ; [32.8525641  8.1474359],0
p4,1,0.083334,2.998652,[75 40] ; [21 21],[70.31847134 44.68152866] ; [25.68152866 16.31847134],0
s1,1,0.114713,2.488059,[  4 109] ; [ 4 36],[  5.90849673 107.09150327] ; [ 2.09150327 37.90849673],0
u4,1,0.114811,2.486716,[  1 114] ; [ 2 40],[  2.19745223 112.80254777] ; [ 0.80254777 41.19745223],0
s3,1,0.125843,2.343044,[68 45] ; [19 22],[63.83766234 49.16233766] ; [23.16233766 17.83766234],0
n5,1,0.148439,2.088219,[92 23] ; [29 13],[88.63057325 26.36942675] ; [32.36942675  9.63057325],0
b2,1,0.151693,2.055147,[38 48] ; [ 5 14],[35.21904762 50.78095238] ; [ 7.78095238 11.21904762],0
b3,1,0.151693,2.055147,[38 48] ; [ 5 14],[35.21904762 50.78095238] ; [ 7.78095238 11.21904762],0
d1,1,0.163278,1.943606,[61 54] ; [17 25],[57.13375796 57.86624204] ; [20.86624204 21.13375796],0
a8,1,0.190057,1.717178,[17 88] ; [ 3 36],[14.58333333 90.41666667] ; [ 5.41666667 33.58333333],0
n1,1,0.194319,1.684564,[13  8] ; [6 9],[11.08333333  9.91666667] ; [7.91666667 7.08333333],0
b4,1,0.198294,1.654895,[68 47] ; [20 22],[64.45859873 50.54140127] ; [23.54140127 18.45859873],0
a3,1,0.208648,1.580786,[84 31] ; [25 15],[80.87096774 34.12903226] ; [28.12903226 11.87096774],0
a1,1,0.216833,1.525205,[  5 110] ; [ 4 38],[  6.59235669 108.40764331] ; [ 2.40764331 39.59235669],0
u1,1,0.225271,1.470472,[20 95] ; [ 4 38],[17.57961783 97.42038217] ; [ 6.42038217 35.57961783],0
a4,1,0.233474,1.419569,[54 60] ; [15 26],[50.7483871 63.2516129] ; [18.2516129 22.7483871],0
p1,1,0.305423,1.050367,[ 10 105] ; [ 6 36],[ 11.71974522 103.28025478] ; [ 4.28025478 37.71974522],0
