Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,90.0,[387   5] ; [18 10],[378.  14.] ; [27.  1.],1
r1,1,0.0,74.026036,[346  44] ; [10 22],[329.00473934  60.99526066] ; [26.99526066  5.00473934],1
v4,1,0.0,40.45615,[386   7] ; [23  7],[379.9929078  13.0070922] ; [29.0070922  0.9929078],1
r3,1,6.2e-05,16.046312,[385   6] ; [27  4],[381.73459716   9.26540284] ; [30.26540284  0.73459716],1
n6,1,7.1e-05,15.770993,[340  49] ; [19 12],[332.50238095  56.49761905] ; [26.49761905  4.50238095],1
a7,1,0.002808,8.928192,[292 100] ; [16 16],[284.75471698 107.24528302] ; [23.24528302  8.75471698],0
d1,1,0.007584,7.129155,[253 140] ; [13 19],[245.97176471 147.02823529] ; [20.02823529 11.97176471],0
p4,1,0.013939,6.04585,[256 135] ; [14 18],[249.57446809 141.42553191] ; [20.42553191 11.57446809],0
a2,1,0.019202,5.482985,[112 281] ; [ 3 29],[106.34117647 286.65882353] ; [ 8.65882353 23.34117647],0
a5,1,0.022306,5.221738,[294  99] ; [18 14],[288.50823529 104.49176471] ; [23.49176471  8.50823529],0
a4,1,0.028512,4.796862,[189 203] ; [ 9 23],[183.05660377 208.94339623] ; [14.94339623 17.05660377],0
p10,1,0.043708,4.067794,[330  59] ; [22  9],[326.01904762  62.98095238] ; [25.98095238  5.01904762],0
v3,1,0.054192,3.706783,[160 217] ; [ 8 24],[154.85574572 222.14425428] ; [13.14425428 18.85574572],0
d3,1,0.07243,3.227084,[279 112] ; [18 14],[274.53191489 116.46808511] ; [22.46808511  9.53191489],0
p8,1,0.074985,3.170377,[215 174] ; [12 19],[210.2452381 178.7547619] ; [16.7547619 14.2452381],0
d4,1,0.077635,3.113729,[337  53] ; [24  8],[333.62559242  56.37440758] ; [27.37440758  4.62559242],0
p9,1,0.078326,3.099289,[345  44] ; [25  7],[341.87648456  47.12351544] ; [28.12351544  3.87648456],0
s5,1,0.081592,3.032894,[182 199] ; [ 9 20],[177.4902439 203.5097561] ; [13.5097561 15.4902439],0
d2,1,0.092831,2.824578,[207 184] ; [12 20],[202.43262411 188.56737589] ; [16.56737589 15.43262411],0
s8,1,0.109589,2.56014,[251 140] ; [16 16],[246.80141844 144.19858156] ; [20.19858156 11.80141844],0
p3,1,0.134946,2.234668,[213 179] ; [13 19],[208.94339623 183.05660377] ; [17.05660377 14.94339623],0
n5,1,0.140673,2.170577,[310  82] ; [21 10],[306.74231678  85.25768322] ; [24.25768322  6.74231678],0
n3,1,0.151971,2.052358,[59 19] ; [8 6],[56.80434783 21.19565217] ; [10.19565217  3.80434783],0
s4,1,0.152398,2.048078,[ 90 299] ; [11 21],[ 93.32304038 295.67695962] ; [ 7.67695962 24.32304038],0
p1,1,0.159755,1.976547,[ 43 347] ; [ 1 31],[ 40.66350711 349.33649289] ; [ 3.33649289 28.66350711],0
s2,1,0.162072,1.954789,[332  61] ; [24  8],[329.19529412  63.80470588] ; [26.80470588  5.19529412],0
v1,1,0.16358,1.94082,[214 165] ; [13 17],[210.34963325 168.65036675] ; [16.65036675 13.34963325],0
b2,1,0.195611,1.674848,[ 91 146] ; [ 6 18],[ 88.08045977 148.91954023] ; [ 8.91954023 15.08045977],0
b3,1,0.195611,1.674848,[ 91 146] ; [ 6 18],[ 88.08045977 148.91954023] ; [ 8.91954023 15.08045977],0
u3,1,0.20194,1.628285,[67 29] ; [5 5],[65.20754717 30.79245283] ; [6.79245283 3.20754717],0
u2,1,0.279224,1.170863,[57 39] ; [7 2],[58.51428571 37.48571429] ; [5.48571429 3.51428571],0
