Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,49.161202,[115  18] ; [41 55],[90.60262009 42.39737991] ; [65.39737991 30.60262009],1
p6,1,0.0,26.735452,[74 60] ; [21 77],[54.87068966 79.12931034] ; [40.12931034 57.87068966],1
p4,1,2e-06,22.308558,[107  27] ; [50 49],[90.29184549 43.70815451] ; [66.70815451 32.29184549],1
p5,1,5e-06,21.02843,[41 94] ; [ 6 93],[ 27.11538462 107.88461538] ; [19.88461538 79.11538462],1
p2,1,5e-06,20.811255,[124  11] ; [68 31],[110.76923077  24.23076923] ; [81.23076923 17.76923077],1
p3,1,0.000236,13.52221,[93 41] ; [45 54],[79.36480687 54.63519313] ; [58.63519313 40.36480687],1
s5,1,0.001096,10.658762,[75 58] ; [34 64],[62.75757576 70.24242424] ; [46.24242424 51.75757576],0
p9,1,0.003445,8.555309,[125  10] ; [78 20],[117.61802575  17.38197425] ; [85.38197425 12.61802575],0
p1,1,0.004247,8.175198,[ 21 113] ; [ 4 96],[ 14.31623932 119.68376068] ; [10.68376068 89.31623932],0
r4,1,0.004942,7.900426,[132   3] ; [89 11],[126.95744681   8.04255319] ; [94.04255319  5.95744681],0
p11,1,0.005015,7.874108,[116  19] ; [71 29],[107.42553191  27.57446809] ; [79.57446809 20.42553191],0
p10,1,0.007454,7.160183,[123  12] ; [78 21],[115.96153846  19.03846154] ; [85.03846154 13.96153846],0
b5,1,0.011617,6.368343,[74 61] ; [71 29],[83.29787234 51.70212766] ; [61.70212766 38.29787234],0
u1,1,0.012345,6.260703,[ 22 113] ; [30 70],[ 29.87234043 105.12765957] ; [22.12765957 77.87234043],0
n2,1,0.012749,6.203608,[18  1] ; [19 11],[14.34693878  4.65306122] ; [22.65306122  7.34693878],0
s3,1,0.020888,5.336079,[105  29] ; [62 34],[97.29565217 36.70434783] ; [69.70434783 26.29565217],0
v2,1,0.037181,4.342105,[108  25] ; [68 30],[101.33333333  31.66666667] ; [74.66666667 23.33333333],0
v1,1,0.050892,3.811812,[101  34] ; [61 36],[94.26724138 40.73275862] ; [67.73275862 29.26724138],0
s2,1,0.05373,3.721058,[100  35] ; [61 37],[93.2832618 41.7167382] ; [67.7167382 30.2832618],0
s8,1,0.091276,2.851729,[87 45] ; [55 45],[80.79310345 51.20689655] ; [61.20689655 38.79310345],0
s7,1,0.129158,2.302591,[95 34] ; [61 34],[89.83928571 39.16071429] ; [66.16071429 28.83928571],0
